"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40016",18,26,48,43,29,21,8,10,21,24,11,25,1.00803012480527,1.42829949643466,3.81204485156603,0.00208132861431385,0.59732872352912,-2.57635337421916
"2","GB40303",21,57,75,83,42,48,12,26,40,38,36,41,0.832810456788664,2.29834655233033,3.67133978781431,0.00272873861281562,0.59732872352912,-2.32873507538012
"3","GB40493",22,31,34,37,28,23,101,58,102,43,37,65,-1.05340265116154,2.43733623259594,-3.62525814599207,0.00298261560651405,0.59732872352912,-2.32876241537791
"4","GB40565",84,137,297,282,162,153,69,91,103,125,99,178,0.780218648969758,4.08493342121313,4.14748870108079,0.00109794895638252,0.59732872352912,-1.13753401975169
"5","GB40608",299,657,491,387,426,793,1036,2883,1515,1239,735,759,-1.20447642264517,6.58935663737231,-3.88497326936706,0.00180971646491044,0.59732872352912,-1.4259189938907
"6","GB40796",18,45,89,77,51,51,21,31,28,48,36,40,0.730158967975518,2.36249376442502,3.57215411490266,0.00330506920058754,0.59732872352912,-2.39292341005486
"7","GB41343",30,94,160,83,86,71,25,48,73,59,65,57,0.725982050280549,3.01475569038578,3.61177902276267,0.00306131318690078,0.59732872352912,-2.11785649642678
"8","GB41639",122,233,446,305,207,245,142,250,231,187,167,280,0.336569257221202,4.80672470875792,3.18185900273595,0.00704876264405265,0.59732872352912,-2.30531396710178
"9","GB41739",18,26,46,47,39,29,20,19,23,17,21,33,0.659598478080828,1.7654754923735,3.37711162794098,0.00482353820794838,0.59732872352912,-2.77989351645228
"10","GB42467",60,170,347,60,93,103,249,836,379,407,153,288,-1.44051586453347,4.61754760304546,-3.7241812294833,0.00246447776774851,0.59732872352912,-1.61428239969701
"11","GB42520",55,123,161,149,117,97,167,185,201,137,111,195,-0.447155705216879,4.08440645144368,-3.39058414499931,0.00469902203929634,0.59732872352912,-2.09377413846798
"12","GB42827",6,14,24,20,17,18,6,10,7,13,13,10,0.789583161730729,0.658739411854921,3.34810701310914,0.00510298985956842,0.59732872352912,-3.16605506012846
"13","GB42831",36,74,161,149,125,126,25,54,80,79,80,68,0.855416646513051,3.29749954434591,3.40604041561833,0.00456015152688668,0.59732872352912,-2.26470148464818
"14","GB42919",361,1579,1826,1301,1918,1012,2869,2546,3341,1749,1604,2440,-0.934772488950209,7.70898938745872,-3.64226684997436,0.00288623094607648,0.59732872352912,-1.87847602658467
"15","GB42965",27,53,81,73,58,51,70,106,93,66,67,102,-0.504303260074762,3.08287832036489,-4.10902653880759,0.0011808952901037,0.59732872352912,-1.56395076161717
"16","GB42981",570,533,1380,1892,1339,1202,530,341,728,389,643,946,0.999620154599367,6.59024704969822,3.3945754847613,0.00466275816145869,0.59732872352912,-2.0609633216116
"17","GB43112",26285,30444,91595,64218,46502,38421,16224,21286,30185,14972,24999,32378,1.11350443255661,11.9671181662584,4.92754536653083,0.000259622626876569,0.59732872352912,-1.71414498957676
"18","GB43443",76,160,250,172,143,164,103,144,163,108,120,159,0.317068927879261,4.15474282142276,3.51265464246622,0.00370852635509531,0.59732872352912,-1.91738197722781
"19","GB43497",24,55,74,82,62,31,20,28,59,32,31,31,0.750002763230338,2.34446516079196,3.19160983314641,0.00691644794516275,0.59732872352912,-2.76806823970916
"20","GB43591",23,41,68,82,43,30,21,19,22,25,28,41,0.897709591402638,2.08210434208907,3.80492851223173,0.00210996736714958,0.59732872352912,-2.30058582217782
"21","GB43876",64,209,260,283,134,170,82,113,139,107,115,216,0.572149343497762,4.18236161842262,3.25443095741134,0.00612155490587521,0.59732872352912,-2.26297661574036
"22","GB44116",112,347,350,330,327,328,762,604,1629,726,337,472,-1.13650881427924,5.7664484030956,-3.94520534030343,0.00161282613345404,0.59732872352912,-1.26231391354319
"23","GB44328",55,58,85,139,72,98,24,30,49,77,57,37,0.982017309432822,2.88897217538677,3.24203339191574,0.00627082871794279,0.59732872352912,-2.5671362178333
"24","GB44344",88,136,179,299,157,245,100,77,92,78,118,127,0.923858777087489,4.02361591466533,3.84569620622894,0.00195117676712478,0.59732872352912,-1.53482763575672
"25","GB44509",19,29,36,28,23,31,39,55,56,43,28,63,-0.691991020320969,2.16993635201863,-3.89519507592883,0.00177464896054897,0.59732872352912,-2.18113969591122
"26","GB44553",39,79,158,130,100,97,42,66,62,83,83,77,0.586888448160237,3.31824960130598,3.44851407108096,0.00419945691769908,0.59732872352912,-2.20325710532629
"27","GB45052",912,1097,3061,2097,1446,1772,805,877,1022,1110,1094,1440,0.716426250152123,7.34217362282329,4.14723368571106,0.00109847874514727,0.59732872352912,-1.21293159456279
"28","GB45062",13,24,84,49,40,34,17,10,22,21,17,21,1.14712360967331,1.66476564656291,4.0634384826399,0.00128759417152092,0.59732872352912,-2.29082568211315
"29","GB45107",80,189,274,178,145,126,204,268,277,194,182,271,-0.462274376884137,4.57002191080786,-4.27922450809823,0.000856507075736992,0.59732872352912,-0.838656700774812
"30","GB45403",13,29,78,68,44,43,10,25,23,29,25,26,0.986256762655362,1.91540788388051,3.85638766610222,0.00191158776656579,0.59732872352912,-2.33149157761808
"31","GB45417",754,913,2054,1810,1146,1328,706,938,812,762,969,1256,0.601721940597179,7.05746394426762,3.82119700697652,0.00204507853327621,0.59732872352912,-1.56066252560383
"32","GB45453",13,19,58,57,32,46,17,10,20,17,28,20,1.00942673124428,1.63752186915073,3.20333189424589,0.00676066589206533,0.59732872352912,-2.9730072383621
"33","GB45454",11,16,58,54,30,20,11,16,14,21,14,15,0.959260036830101,1.35774061889712,3.24770400410987,0.00620210416880818,0.59732872352912,-3.02205811758144
"34","GB45540",214,367,671,510,381,352,228,385,299,332,277,429,0.396381700690181,5.47644132968539,3.68946004342675,0.00263502091255007,0.59732872352912,-1.57386032026555
"35","GB45870",97,161,232,170,155,191,182,265,275,195,227,237,-0.405676392311632,4.60132342819352,-3.8211517877784,0.00204525604720121,0.59732872352912,-1.43332921631964
