"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB42053",5227,1924,2348,3300,14221,9623,24547,32238,67844,36054,15128,15942,-2.23566554580979,10.7414331595367,-5.03557181975759,0.000201775886028745,0.749741777168577,-4.17403356541997
"2","GB51107",345,246,512,445,1535,1391,1452,1714,2179,4157,1139,2407,-1.44436503098289,7.33999852018821,-4.94928483991881,0.000235990486990424,0.749741777168577,-3.84087220684456
"3","GB52836",1057,599,1121,1187,2557,1315,2656,8586,4157,16084,4608,4916,-1.88958248980857,8.60834594439755,-5.21959474947718,0.000144948327656331,0.749741777168577,-3.97537710374596
"4","GB52837",22,11,23,47,48,43,73,140,174,627,165,157,-2.25732348774979,3.42124762910405,-4.65104529022264,0.000408482621463824,0.973311966292926,-3.94076040738924
"5","GB40064",32,17,26,65,124,118,76,189,476,269,91,150,-1.39981678353181,3.78605678859402,-3.23075283979215,0.00627234782621775,0.999919795884323,-4.08943621202477
"6","GB40137",2358,622,4764,3297,15350,10393,10680,11918,15192,18552,9171,9894,-1.39076377437029,10.0164421690014,-3.12974840300813,0.00764524100140552,0.999919795884323,-4.31318065912897
"7","GB40163",2118,866,4002,2376,9208,6275,3587,8428,12728,10512,5634,9093,-0.973272953442093,9.52977264400425,-2.93849008222759,0.0111143747586982,0.999919795884323,-4.31662634078245
"8","GB40261",580,301,994,1303,2528,3382,2837,2356,3945,4829,1276,2792,-1.0450521578572,8.04171837221494,-3.17507131853573,0.00699558702701143,0.999919795884323,-4.19098785840518
"9","GB40285",0,2,4,9,56,17,81,28,75,100,3,79,-2.33620474771602,1.25068848324109,-2.47350137884271,0.0273130803714225,0.999919795884323,-4.44497301604637
"10","GB40409",19,8,61,20,95,45,53,91,64,165,71,94,-1.03179039144101,2.93725475164478,-2.86388147791391,0.0128553504627675,0.999919795884323,-4.26018937231377
"11","GB40713",611,894,876,2042,3255,3190,2501,6636,7187,4877,2419,4909,-1.21586536019303,8.568221057542,-3.66939560515009,0.00265945411379484,0.999919795884323,-4.15108747316399
"12","GB40716",132,68,157,218,399,463,262,440,440,446,222,466,-0.525187809718942,5.32607027229928,-2.70873983175182,0.0173763507874059,0.999919795884323,-4.1068644497968
"13","GB40863",98,55,134,131,210,319,188,262,370,232,130,322,-0.437717404793251,4.75349805218254,-2.5535512064451,0.0234351881643842,0.999919795884323,-4.15649051929347
"14","GB41115",20,7,21,18,27,53,12,7,22,10,20,27,0.853504769053974,1.42704359805298,2.70482309148808,0.0175085873305724,0.999919795884323,-4.40299089795287
"15","GB41191",40,22,104,162,224,222,164,182,327,364,174,243,-0.809068348868969,4.47774847915584,-2.76430212234241,0.0156021713639455,0.999919795884323,-4.11890687853482
"16","GB41540",102,2,52,32,188,216,32,4,14,63,20,11,2.18352153846001,2.17520372030385,2.67687598661014,0.0184809921865118,0.999919795884323,-4.36194725928051
"17","GB41760",594,206,4056,971,3502,4042,3027,3094,3577,9492,2739,3973,-1.28586745525169,8.43759423797651,-2.47917578980629,0.0270190203178013,0.999919795884323,-4.34331560563447
"18","GB42012",46,29,79,71,73,132,55,73,54,50,49,83,0.465792659095809,3.22544405930052,3.16468962729378,0.00713936226215885,0.999919795884323,-4.1569700367301
"19","GB42307",36,23,85,75,200,216,111,180,297,355,124,273,-0.922596905619518,4.24805537741258,-3.05690431066607,0.00881740474359545,0.999919795884323,-4.06083802086669
"20","GB42314",2,1,11,5,3,27,11,15,23,18,8,22,-1.16888857291026,0.452285163394453,-2.88013608491762,0.0124545266770394,0.999919795884323,-4.43398744256015
"21","GB42425",32,24,72,43,218,263,134,147,480,390,108,449,-1.2386475585649,4.29734325011196,-2.87015334182868,0.0126992110214036,0.999919795884323,-4.11974515782549
"22","GB42426",804,535,3516,2052,6088,12856,4788,7497,12935,15604,3568,11277,-1.4573343525613,9.39984224888688,-3.05143832887339,0.00891223936475868,0.999919795884323,-4.2950648409855
"23","GB42434",2010,479,3890,4143,12097,10764,16120,6966,31605,34034,5391,10965,-1.73174122625963,10.0389834916048,-3.05671152894516,0.00882073240465451,0.999919795884323,-4.32436485686142
"24","GB42527",22,34,27,47,79,89,78,94,187,139,70,80,-0.87161374695372,3.32318315348904,-2.8632944122797,0.0128700618213046,0.999919795884323,-4.21311148248812
"25","GB42653",434,219,368,450,362,506,323,360,437,224,280,454,0.550461191489567,5.73927813466473,2.48320194471226,0.0268122213707995,0.999919795884323,-4.18168601710542
"26","GB42907",53,41,22,16,37,62,65,106,116,62,230,94,-1.27480622728584,3.16533597982017,-2.86033733495117,0.0129444155927127,0.999919795884323,-4.23691713628834
"27","GB43029",672,111,436,327,63,113,62,65,98,59,16,84,2.16840661603027,4.01864746913366,2.99338348449173,0.00998403727136226,0.999919795884323,-4.13620901921992
"28","GB43129",1611,424,3578,4257,11332,9149,6318,8465,9056,18663,8946,12174,-1.40922279978521,9.72535001081757,-2.94927952221369,0.0108826502590349,0.999919795884323,-4.32454319070951
"29","GB43182",10,4,15,11,16,22,10,8,4,5,9,11,0.986503770393338,0.548715082790021,3.39537797238732,0.00454287499620499,0.999919795884323,-4.38940487487167
"30","GB43310",35,16,245,139,697,624,796,540,383,1617,345,696,-1.60351194572217,5.49608260279014,-2.65918287627236,0.0191235607061356,0.999919795884323,-4.16665559485285
"31","GB43581",299,146,1061,644,1726,1899,905,1570,1565,3689,1100,2139,-1.02751808111929,7.30383645386162,-2.68445462436877,0.0182122229499036,0.999919795884323,-4.24047158221259
"32","GB43582",1,3,4,2,14,20,12,10,13,16,25,23,-1.22847706696114,0.440823306674707,-2.74069928097135,0.0163331188207131,0.999919795884323,-4.44653914395207
