"1","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6"
"2","NS.1","NS.4","NS.6","VC.2","VC.4","VC.5","NS.2","NS.3","NS.5","VC.1","VC.3","VC.6"
"3","NS.1","NS.2","NS.3","NS.6","VC.4","VC.5","NS.4","NS.5","VC.1","VC.2","VC.3","VC.6"
"4","NS.1","NS.3","VC.1","VC.2","VC.3","VC.5","NS.2","NS.4","NS.5","NS.6","VC.4","VC.6"
"5","NS.1","NS.4","NS.6","VC.2","VC.5","VC.6","NS.2","NS.3","NS.5","VC.1","VC.3","VC.4"
"6","NS.1","NS.2","VC.1","VC.3","VC.4","VC.6","NS.3","NS.4","NS.5","NS.6","VC.2","VC.5"
"7","NS.1","NS.2","NS.4","VC.1","VC.5","VC.6","NS.3","NS.5","NS.6","VC.2","VC.3","VC.4"
"8","NS.1","NS.2","NS.4","NS.5","NS.6","VC.5","NS.3","VC.1","VC.2","VC.3","VC.4","VC.6"
"9","NS.1","NS.2","NS.3","NS.6","VC.3","VC.6","NS.4","NS.5","VC.1","VC.2","VC.4","VC.5"
"10","NS.1","NS.2","NS.3","NS.6","VC.1","VC.6","NS.4","NS.5","VC.2","VC.3","VC.4","VC.5"
"11","NS.1","NS.6","VC.1","VC.2","VC.4","VC.6","NS.2","NS.3","NS.4","NS.5","VC.3","VC.5"
"12","NS.1","NS.2","NS.3","NS.6","VC.1","VC.2","NS.4","NS.5","VC.3","VC.4","VC.5","VC.6"
"13","NS.1","NS.2","NS.3","VC.1","VC.2","VC.4","NS.4","NS.5","NS.6","VC.3","VC.5","VC.6"
"14","NS.1","NS.4","NS.5","NS.6","VC.5","VC.6","NS.2","NS.3","VC.1","VC.2","VC.3","VC.4"
"15","NS.1","NS.2","NS.4","NS.5","VC.3","VC.5","NS.3","NS.6","VC.1","VC.2","VC.4","VC.6"
"16","NS.1","NS.3","NS.4","NS.5","VC.2","VC.5","NS.2","NS.6","VC.1","VC.3","VC.4","VC.6"
"17","NS.1","NS.4","VC.2","VC.4","VC.5","VC.6","NS.2","NS.3","NS.5","NS.6","VC.1","VC.3"
"18","NS.1","NS.3","NS.4","NS.5","VC.3","VC.5","NS.2","NS.6","VC.1","VC.2","VC.4","VC.6"
"19","NS.1","NS.2","NS.4","NS.5","VC.1","VC.4","NS.3","NS.6","VC.2","VC.3","VC.5","VC.6"
"20","NS.1","NS.2","NS.3","NS.4","NS.5","VC.5","NS.6","VC.1","VC.2","VC.3","VC.4","VC.6"
