"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40164",2765,2002,3112,2093,3088,1986,2701,1594,2024,514,1640,2392,0.6868611962791,7.76652429996047,3.06771463855792,0.00886448648640621,0.932349252277823,-4.00625961468041
"2","GB40517",50,116,178,71,110,209,186,389,206,93,158,228,-0.717245838673547,3.98921959768941,-2.79034158341057,0.0151442327877921,0.932349252277823,-4.0683958267225
"3","GB40608",2065,763,1022,1036,2883,1515,1513,950,815,299,657,491,1.06004694762957,6.74995668225642,2.92082547268591,0.0117764279114964,0.932349252277823,-3.97874746943012
"4","GB40796",24,59,54,21,31,28,37,96,102,18,45,89,-0.674813249913861,2.24133750258961,-2.68922528462863,0.0183886371930834,0.932349252277823,-4.31346830389503
"5","GB41348",14,18,24,9,18,17,14,18,17,3,8,16,0.566542002120613,0.590401763117023,2.61939467072198,0.0210154733604565,0.932349252277823,-4.43494438446321
"6","GB41545",6420,5337,6626,4173,4333,4445,5334,4414,6211,1445,4112,3560,0.493319911814297,8.91849476701495,2.52842363367803,0.0249887319843835,0.932349252277823,-4.22644750849016
"7","GB41723",229,293,327,229,272,296,197,327,271,99,282,277,0.325392305007912,4.76502474609144,2.75850346788287,0.0161001152523465,0.932349252277823,-3.97869658104509
"8","GB41900",384,435,549,295,416,683,534,1063,705,324,584,683,-0.400789201185849,5.83254140293512,-2.51292315704288,0.0257344721967168,0.932349252277823,-4.0677857452671
"9","GB42217",2351,2228,2532,2944,3907,2813,2154,1984,962,347,2058,1029,1.26737577671163,7.6346629627152,3.92475850912503,0.00169971991789444,0.932349252277823,-3.76776029826584
"10","GB42218",7249,7439,11814,9471,11965,9151,7460,6600,4147,1405,7315,5859,1.03283600440432,9.5158655067917,3.88496376770245,0.00183361699099005,0.932349252277823,-3.96195330764739
"11","GB42276",62,89,135,70,63,82,52,39,89,12,55,34,1.04127880455366,2.64625247573789,3.94932135544193,0.00162210522233537,0.932349252277823,-4.04710551522165
"12","GB42463",35,26,32,26,30,34,24,28,19,8,17,34,0.646371997694518,1.45046448535528,3.09591067203408,0.00839355059745956,0.932349252277823,-4.32514308817104
"13","GB42551",101,271,253,276,213,139,141,120,211,37,182,97,0.805022971641022,4.04328186416826,2.66091167168721,0.0194127465873311,0.932349252277823,-4.09484220980643
"14","GB42619",19,87,20,6,15,17,7,13,15,1,12,13,1.29025546643644,0.51315406481258,2.59205265976074,0.0221404154539089,0.932349252277823,-4.44147921263442
"15","GB42694",148,276,210,187,215,263,230,407,423,129,233,410,-0.343355932292554,4.73983231620105,-2.50321886385596,0.026212226196343,0.932349252277823,-4.0821368421933
"16","GB42787",778,847,1175,551,867,880,844,635,797,189,773,461,0.630197832499531,6.21211855145963,3.02529667404008,0.00962290490374853,0.932349252277823,-3.89829591885964
"17","GB42956",14,22,19,17,20,19,8,7,8,8,9,15,1.10040613757884,0.538246690840162,3.88335320173371,0.00183925765699794,0.932349252277823,-4.3230998124063
"18","GB42967",48,74,102,46,52,63,44,50,55,25,52,40,0.632603300268003,2.5063013263699,3.22932820575728,0.0064821609092507,0.932349252277823,-4.18519150925388
"19","GB43159",113,147,111,101,138,138,192,206,210,63,145,199,-0.299843146921721,3.93459313107184,-2.53355330080483,0.024746564038774,0.932349252277823,-4.1481076987325
"20","GB43208",2873,3417,3605,2123,2857,3951,1961,4122,3633,965,2551,3642,0.351291632091524,8.25345853917349,2.50807326086446,0.025972179836888,0.932349252277823,-4.19867052817059
"21","GB43261",63,97,124,66,93,78,97,287,167,113,102,145,-0.614206264717851,3.58221400397072,-2.58231130371636,0.0225551437240661,0.932349252277823,-4.18365584638571
"22","GB43453",427,181,502,160,303,182,188,246,213,78,208,137,0.739901439936759,4.5270144764286,2.52325801861532,0.0252349073823366,0.932349252277823,-4.08998117035082
"23","GB43717",137,83,120,138,173,153,131,73,109,21,76,125,0.756196433515905,3.46359738686135,2.77253419087948,0.0156717927038075,0.932349252277823,-4.14431977597521
"24","GB43733",80,151,154,60,120,101,114,292,249,97,126,171,-0.506067118796098,3.83579228657088,-2.52450075896526,0.0251754697880457,0.932349252277823,-4.16710283806748
"25","GB44156",71,118,87,46,92,78,107,152,174,38,99,149,-0.408537534577567,3.34336873815484,-2.88743217778677,0.0125605168793192,0.932349252277823,-4.1315832969741
"26","GB44294",62,59,53,49,70,44,38,53,39,19,55,53,0.524588168762631,2.38834279840415,2.60127429167007,0.0217546302892796,0.932349252277823,-4.31382151950669
"27","GB44457",711,936,1129,929,898,786,792,682,1187,243,780,689,0.489400350978913,6.39020832255573,2.74765461637504,0.0164391433308048,0.932349252277823,-4.00946521879207
"28","GB44663",27,48,119,69,83,109,91,187,232,120,110,127,-0.877146391255389,3.40519453723178,-2.6518199335479,0.0197532256698726,0.932349252277823,-4.19204609564586
"29","GB44742",63,130,116,53,110,76,107,165,188,44,105,194,-0.418480542937905,3.48544816224615,-2.54784578541014,0.0240837190969761,0.932349252277823,-4.20221090066632
"30","GB44774",118,168,259,110,153,137,164,100,180,33,131,98,0.597505545627586,3.78118485489721,2.63600895125265,0.020359222791184,0.932349252277823,-4.13493208007657
"31","GB46095",95,159,151,120,130,126,127,78,107,19,124,76,0.789228822973993,3.44015392982315,3.38804935583867,0.00476730257618582,0.932349252277823,-3.99136099472533
"32","GB46276",4,158,13,6,64,241,82,216,93,73,166,292,-1.91340759206661,2.83196375812759,-2.4991909961475,0.0264130223485547,0.932349252277823,-4.30994531461124
"33","GB46360",700,706,487,483,607,716,543,470,675,178,380,559,0.553731273770042,5.8098825911143,3.56089033487286,0.00341424737038805,0.932349252277823,-3.68300163148966
"34","GB46362",504,782,798,388,577,540,531,607,470,218,571,559,0.359958483195909,5.83352494986456,2.50176241846378,0.0262846622154608,0.932349252277823,-4.07294989510736
