"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40061",5,10,13,32,21,24,7,15,42,69,38,62,-0.890339505586771,1.68018247617358,-2.35463574410892,0.0344660307092295,0.999867750154656,-4.45274394658558
"2","GB40263",140,129,209,256,220,304,183,561,308,367,311,639,-0.737793885946147,5.31811706876204,-3.47574754291,0.00395659209294806,0.999867750154656,-3.9541285473495
"3","GB40266",129,186,200,305,440,281,109,179,191,217,227,274,0.466126696746828,4.98263514865306,2.64145862110903,0.0199789414763007,0.999867750154656,-4.1606426584196
"4","GB40310",62,89,165,179,254,204,159,555,218,299,231,406,-0.83141333566206,4.90006372523307,-3.03406303843613,0.00934748179425759,0.999867750154656,-4.0720574371376
"5","GB40433",0,4,9,10,12,16,5,15,16,29,26,21,-1.35220229454429,0.571957631020978,-2.54117112855709,0.0242059301933117,0.999867750154656,-4.47907450323241
"6","GB40600",42,45,53,40,97,52,27,63,32,42,28,43,0.663594299968969,2.72232800624654,2.36268814031723,0.0339480672892648,0.999867750154656,-4.39182143568843
"7","GB40713",611,2501,876,2500,3085,2562,894,6636,7187,3268,3608,3616,-0.899747985680472,8.50146977643511,-2.40725195445216,0.0312130091704889,0.999867750154656,-4.39290307797743
"8","GB40823",37,49,59,65,113,42,23,55,48,49,52,49,0.523062286141953,2.90120440294449,2.27298183397305,0.0401598878202443,0.999867750154656,-4.39485117722216
"9","GB40997",213,183,149,297,327,307,188,547,306,552,827,431,-0.755021184283177,5.55491939971275,-3.06021728826484,0.00888375761308816,0.999867750154656,-4.06645282395881
"10","GB41061",16,21,17,49,13,42,11,50,39,69,52,55,-0.703643801482521,2.19807955096301,-2.34708230948785,0.0349587253419104,0.999867750154656,-4.42712139975661
"11","GB41239",3,7,5,21,15,14,9,11,37,33,14,28,-0.864882512840855,1.00330071455922,-2.26320499427925,0.0408984437653832,0.999867750154656,-4.48870603500876
"12","GB41265",51,49,70,93,122,88,34,49,68,55,100,80,0.487254607542599,3.32408875521174,2.16750495875072,0.0488349094017331,0.999867750154656,-4.38548834119894
"13","GB41292",76,114,101,139,144,171,44,261,178,233,192,204,-0.348067163805503,4.37261596386647,-2.17533722021638,0.0481346989257063,0.999867750154656,-4.31547175711198
"14","GB41296",53,37,24,31,88,53,9,64,42,9,28,20,1.09577494889955,2.22904035305595,2.30041178736921,0.0381544924986169,0.999867750154656,-4.43207922190654
"15","GB41407",16,19,14,27,36,24,9,37,64,26,66,120,-0.836619692324978,2.15232984616411,-2.25624836503227,0.0414317422082789,0.999867750154656,-4.44226031442188
"16","GB41616",24,54,40,52,79,96,16,117,104,120,75,137,-0.516270206850455,3.25795023186757,-2.15712727808715,0.049777356749658,0.999867750154656,-4.39332274371446
"17","GB41679",3,6,2,16,10,7,4,7,14,34,15,17,-0.866742729919336,0.430862188963695,-2.11869129834198,0.053417787413774,0.999867750154656,-4.51580781201354
"18","GB41747",2,13,6,22,14,14,6,15,46,44,22,22,-0.95113317529135,1.12571049029022,-2.36606586439668,0.0337330112133518,0.999867750154656,-4.4748498994551
