"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40106",69,78,219,221,379,237,34,92,84,125,132,92,1.0244332750076,4.15886012952314,3.3487934643091,0.00506061129842504,0.999713880821596,-4.03782740185078
"2","GB40148",604,3411,3643,4178,906,1843,313,1758,797,1752,1154,921,1.00691459270538,7.65718059656291,2.40057950006769,0.0315977232593288,0.999713880821596,-4.3514231221932
"3","GB40263",140,129,209,367,220,311,183,561,308,256,304,639,-0.662871534975529,5.31811706876204,-2.90520471313292,0.0119995753431729,0.999713880821596,-4.09072773475477
"4","GB40654",778,1385,2532,2411,2616,2039,540,1253,1315,1526,1541,1858,0.512021777430998,7.7964829891477,2.68472207063479,0.0183766138303578,0.999713880821596,-4.30418560740067
"5","GB40699",7,9,13,52,30,26,0,10,5,14,4,10,1.90084195380519,0.535400200018051,3.76087706865953,0.00227531304179578,0.999713880821596,-4.39227444810352
"6","GB40783",893,1020,736,1334,1630,1428,1198,2642,1776,1577,1601,2468,-0.713790454262766,7.72118249850142,-2.99174848580623,0.0101428203392822,0.999713880821596,-4.24384009463414
"7","GB41540",102,32,52,4,63,70,2,4,14,6,9,15,2.21592044476636,1.31973942689052,2.41551022220822,0.0307189813020445,0.999713880821596,-4.46528007556278
"8","GB41723",87,95,100,142,131,127,50,132,184,168,143,294,-0.38302739763678,4.22809797955376,-2.46054599387687,0.0282077934880862,0.999713880821596,-4.24279804367989
"9","GB41792",23,36,28,62,68,104,30,105,77,97,68,176,-0.772357788632573,3.19296230369964,-3.00281651476096,0.0099268673710914,0.999713880821596,-4.23742238347707
"10","GB42083",52,78,62,120,71,96,18,62,58,56,71,86,0.512600689960637,3.24753084805376,3.29409781298856,0.00562943674863243,0.999713880821596,-4.17597037485607
"11","GB42154",17,34,36,64,42,25,3,42,20,19,36,27,0.72228154077138,1.935148411555,2.32865136317094,0.0361776089149402,0.999713880821596,-4.4427876702334
"12","GB42276",46,9,19,19,20,9,33,19,53,40,41,70,-1.1791781072169,1.98174920676112,-2.54798169080015,0.0238836730023408,0.999713880821596,-4.41452380030518
"13","GB42580",159,98,146,195,128,193,68,269,194,233,212,452,-0.510790146429906,4.70112108767815,-2.3775117568288,0.0330027020748424,0.999713880821596,-4.24274515442242
"14","GB42620",13,14,68,108,45,56,4,13,12,22,30,36,1.30162534016,1.9043108433256,2.98243330574436,0.0103281734390629,0.999713880821596,-4.36813842616081
"15","GB42637",61,76,284,139,145,218,12,33,43,107,135,57,1.41599261823235,3.59430126258247,3.44717871239501,0.00417882484622983,0.999713880821596,-4.11343751256183
"16","GB42772",55,74,95,103,92,94,30,77,74,65,69,74,0.453541222138337,3.42049232779594,3.06943469807693,0.0087200745450196,0.999713880821596,-4.19197058677433
"17","GB42891",37,26,21,79,16,11,8,42,61,109,67,131,-1.16650957734448,2.45532948979806,-2.46562080877467,0.0279374836268564,0.999713880821596,-4.39514960646282
"18","GB43292",11,14,17,14,15,17,3,15,8,7,13,16,0.613132044999367,0.82314113332153,2.33512046431065,0.0357411704199469,0.999713880821596,-4.48629240185539
