"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40083",1271,1464,349,378,528,1100,375,431,433,497,181,251,0.998648419863795,6.03145617182354,2.85269274065145,0.013142295252767,0.894915625699347,-4.08467342945063
"2","GB40129",43,87,38,36,30,25,55,87,102,103,22,26,-0.611726052764517,2.63964112586673,-2.71140161760926,0.017291302711297,0.894915625699347,-4.34097307672668
"3","GB40161",10,14,10,10,15,5,15,19,23,21,7,10,-0.603961562296024,0.73763490700287,-2.6459774911868,0.0196217754947813,0.894915625699347,-4.45739308434363
"4","GB40207",105,152,117,116,117,119,95,107,131,77,57,61,0.43242842915553,3.73365988607734,2.56546378633859,0.0229103804618008,0.894915625699347,-4.26403666403316
"5","GB40456",522,707,574,487,645,427,536,505,560,444,233,276,0.355076570293953,5.95856439273503,2.68384579767914,0.0182380501825281,0.894915625699347,-4.11992020909326
"6","GB40495",83,102,128,111,102,62,68,78,73,102,29,43,0.553970500374614,3.33298021534967,2.84279767873261,0.0133979315292491,0.894915625699347,-4.25160342013766
"7","GB40522",9,20,8,12,5,5,12,30,41,31,7,5,-0.993433197242747,0.70269120169349,-2.85735414979708,0.0130235352153511,0.894915625699347,-4.44113451391361
"8","GB40773",264,579,379,548,335,325,568,685,1132,1009,244,220,-0.537873205314409,5.91068735844013,-2.65806068931581,0.0191695245891094,0.894915625699347,-4.12415748203796
"9","GB41147",724,1793,981,926,729,744,1171,1283,1713,1395,709,707,-0.374472145269857,7.05706134948681,-2.57890560027171,0.0223265187647522,0.894915625699347,-4.22120303724844
"10","GB41279",66,88,39,49,72,50,37,46,58,28,24,16,0.763070868390725,2.5256566385803,3.27682540312691,0.00573305084842058,0.894915625699347,-4.27004334460502
"11","GB42052",92,91,120,87,94,38,45,68,80,61,22,43,0.648899492873447,3.07813857900837,2.83580875936486,0.0135814242489367,0.894915625699347,-4.28134395509949
"12","GB42380",17,21,21,31,24,15,12,18,11,14,10,8,0.743558083176271,1.09383574270823,2.65847113744965,0.0191543414587945,0.894915625699347,-4.44145926332575
"13","GB42424",491,437,256,360,210,355,423,787,981,442,426,413,-0.802750337692664,5.8157929011381,-2.95233692329037,0.0108211862636173,0.894915625699347,-4.03312703591674
"14","GB42729",29,73,36,17,28,18,11,26,15,24,7,12,0.970453452823256,1.47485826982106,3.11339906891392,0.00789682981605209,0.894915625699347,-4.37639253927936
"15","GB42796",8,11,13,22,18,6,38,38,18,32,17,23,-1.14858127109497,1.25836017881422,-3.09864588530252,0.00812830039760036,0.894915625699347,-4.3920494700344
