"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40148",3242,4327,3254,2258,1777,1151,904,971,403,1303,627,1347,1.31166905086902,7.56992468783727,2.809532352349,0.0142817708868738,0.999938594565527,-4.21316497832767
"2","GB40304",590,1194,657,389,228,419,529,616,288,150,356,168,0.5896313110431,5.70192833954576,2.50959219784979,0.0254832931710825,0.999938594565527,-4.17857799900733
"3","GB40439",61,130,99,81,60,118,118,183,109,98,146,94,-0.57332674789262,3.76741624665244,-2.92082529096536,0.011497197023887,0.999938594565527,-4.18908573005539
"4","GB40472",15,12,14,20,5,24,3,5,12,0,12,1,1.82875801144051,-0.090784506570371,3.28222683157218,0.00566570207512057,0.999938594565527,-4.42696131993346
"5","GB40536",17,28,19,6,11,22,39,76,49,12,22,14,-1.08471440892327,1.50258692085095,-2.82252699544024,0.0139252517843247,0.999938594565527,-4.40715719191334
"6","GB41425",315,510,433,449,191,351,345,418,284,155,274,194,0.320188973962846,5.33918982020763,3.16019958844496,0.00719701157934219,0.999938594565527,-3.97767778101771
"7","GB41665",37,28,37,37,18,47,22,19,18,5,18,15,0.948844145823363,1.56598688105138,3.43020603847872,0.0042394759708746,0.999938594565527,-4.34300754162814
"8","GB41708",1547,7561,1474,236,94,233,208,514,116,199,39,23,2.29827154320149,5.18987809473036,2.57272033379188,0.0225785078980145,0.999938594565527,-4.22115297732183
"9","GB41710",4027,8415,466,100,62,115,52,67,38,29,102,77,2.95084096646047,4.4273594320073,2.48945575521973,0.0264832477364122,0.999938594565527,-4.29771462606389
"10","GB41860",120,106,102,138,36,142,46,89,48,34,81,34,0.820278332972553,3.23812716048497,3.31488035285029,0.00531437364158242,0.999938594565527,-4.18727953073294
"11","GB41862",194,477,297,327,90,169,123,365,92,60,167,125,0.663248442220115,4.51128045624193,2.6383652692621,0.019897976656021,0.999938594565527,-4.1812411086175
"12","GB41923",12,26,25,19,7,9,5,14,6,3,7,7,1.03854583593877,0.417234024744555,3.76850937032451,0.00219055360550716,0.999938594565527,-4.38687043721489
"13","GB42306",131,155,166,152,93,110,175,213,158,156,211,187,-0.562472885083977,4.35308050927117,-2.79300785041312,0.0147480764225783,0.999938594565527,-4.14971938256127
"14","GB42319",136,409,169,329,117,181,375,500,375,160,229,174,-0.57811776062992,4.95766005278388,-2.82577397723205,0.0138375397490128,0.999938594565527,-4.09006242776108
"15","GB42409",145,510,147,293,71,44,38,34,13,54,60,122,1.82924056339251,3.40460971975925,3.01131166691422,0.00963364802228108,0.999938594565527,-4.23200285218308
"16","GB42469",130,151,160,351,30,61,77,88,53,15,82,44,1.01592382483337,3.34108238533563,2.65820660995305,0.0191503721712357,0.999938594565527,-4.29591694091242
"17","GB42705",108,117,119,143,79,149,140,231,236,67,148,136,-0.506001866176299,4.11525058468922,-2.55412501787858,0.0233992196786489,0.999938594565527,-4.23491926565903
"18","GB42985",315,400,414,709,170,292,618,1156,751,326,384,462,-0.789886637500071,5.86627143570114,-3.78772004874308,0.00211031657072366,0.999938594565527,-3.82362451744713
"19","GB43035",121,168,171,103,30,72,99,103,84,16,42,23,0.823651203261913,3.1808648245889,2.66268722394275,0.0189853609609489,0.999938594565527,-4.30881478777789
