"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB47382",514,739,518,572,691,912,490,491,474,790,371,420,1.09603110169917,6.20972105382159,5.30521405426007,0.000123080166304246,0.196433707691898,1.26682176917957
"2","GB49385",87,43,51,50,36,63,22,27,36,25,12,17,1.86453356645113,2.18411460985201,5.3959809033391,0.00010479856000701,0.196433707691898,0.644826694630906
"3","GB50550",3251,515,7067,6731,2525,4521,469,1075,513,548,406,361,3.38979696410646,7.39358802658179,5.90290946121646,4.35905560372502e-05,0.196433707691898,1.9042510536347
"4","GB50828",104,83,44,26,97,44,236,375,418,462,374,118,-1.63760292891604,4.14162521570796,-5.64533632978478,6.77691785534314e-05,0.196433707691898,1.55018669315927
"5","GB51728",115,137,72,73,115,119,94,83,108,112,56,64,0.959419515598425,3.61027641915013,5.37182314572789,0.000109368914347285,0.196433707691898,1.14182728448241
"6","GB53318",366,236,376,299,274,337,121,201,215,211,192,83,1.59575079169069,4.88308441248389,5.80495736094751,5.14990382493199e-05,0.196433707691898,1.9909035852043
"7","GB54634",304,212,198,201,215,191,144,202,190,249,170,148,0.91649120727489,4.70721540633957,5.23439515559169,0.000139640088742082,0.196433707691898,1.15644490054883
"8","GB44798",152,149,62,57,158,87,219,389,382,455,361,180,-0.91486356046771,4.55989798454785,-5.11964808499278,0.000171576410535426,0.211189114317793,0.928659748010573
"9","GB40106",354,166,247,202,246,170,123,247,148,151,140,103,1.24238309506335,4.57413421904398,4.9663902666048,0.000226517903521525,0.226927500967431,0.72899256101006
"10","GB41284",1488,492,317,498,583,1081,426,705,293,261,290,265,1.5827928458821,5.96402005561003,4.9047790235317,0.000253498782435436,0.226927500967431,0.657896868140213
"11","GB45073",1694,1054,540,566,1369,637,2156,3514,4383,5934,5385,1636,-1.29390920985255,7.84748361509298,-4.93259837410634,0.000240925022679422,0.226927500967431,0.51698075498483
"12","GB40234",281,273,75,129,332,106,300,901,533,670,563,412,-0.892125356498077,5.31710698368391,-3.76895748767838,0.00217931352527577,0.241607595921667,-1.22106459024853
"13","GB40263",214,233,100,155,388,114,342,1012,412,657,651,578,-0.968755979493295,5.40373878617078,-3.99150073780008,0.00141583973117316,0.241607595921667,-0.843350157304738
"14","GB40498",684,693,200,315,592,362,871,1553,1414,2099,1985,689,-0.937145523578745,6.63806523272953,-4.28189882427147,0.00081149801751168,0.241607595921667,-0.378308727470536
"15","GB40519",83,91,64,58,127,63,142,368,192,267,213,129,-0.735598403516166,4.06123174577092,-3.87330280057992,0.00177951978578718,0.241607595921667,-1.06564044751136
"16","GB41417",194,207,101,91,193,72,286,399,457,554,427,277,-0.867417045161519,4.89619709886734,-4.67244443387484,0.000389171099849565,0.241607595921667,0.267420999698949
"17","GB41469",610,746,431,489,657,715,603,716,511,763,622,563,0.624936948008065,6.32754914758569,4.50732322215622,0.000529868810773368,0.241607595921667,0.0115632352000929
"18","GB41495",1153,1091,293,493,1458,449,1759,5878,2703,4517,2241,1268,-1.25817560767013,7.49142720476706,-4.14240440060161,0.00105920438514275,0.241607595921667,-0.644714839830909
"19","GB41798",1052,1394,509,769,1573,873,1796,3946,2657,3714,1735,1939,-0.693237050479111,7.66786814455335,-3.84906583716956,0.001865169679706,0.241607595921667,-1.12042065498669
"20","GB41830",21,18,14,25,23,72,7,23,13,22,10,6,1.60455747957254,1.21541642694601,3.74206415987326,0.00229643593505882,0.241607595921667,-1.65396773319879
"21","GB42167",106,166,75,77,141,69,218,255,219,279,259,169,-0.520746869479249,4.32281639410776,-3.73313521979305,0.00233672024065164,0.241607595921667,-1.28689354558389
