"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40136",5612,3979,17504,1064,871,602,21181,5711,16930,5434,16820,1375,-1.90038681570639,9.44460218517321,-2.838511859407,0.0133016243319626,0.998620118776065,-4.38072241591914
"2","GB40336",919,711,1571,605,657,843,3051,551,2148,789,2532,489,-0.700818984510222,7.32317574653041,-2.65685279266758,0.0189646706358482,0.998620118776065,-4.30591180506071
"3","GB40450",8,10,36,3,21,7,39,8,34,29,43,10,-1.27316220428115,1.33562735302894,-3.1659303506462,0.0069796116175624,0.998620118776065,-4.41894240458381
"4","GB40908",208,161,131,78,99,83,102,66,47,59,113,24,0.736435652355684,3.75279982868891,2.68981443357846,0.0177868788824092,0.998620118776065,-4.28762516611414
"5","GB41011",1536,1344,1104,1018,910,950,989,713,636,483,789,217,0.795506290597839,6.98773954639877,3.00363847176351,0.00961436880908981,0.998620118776065,-4.220802333111
"6","GB41247",336,258,171,171,121,252,170,148,80,79,149,57,0.82267663638286,4.54154537614644,2.64557060822493,0.0193849281807904,0.998620118776065,-4.23407785660369
"7","GB41376",542,449,858,364,361,384,333,233,315,311,336,114,0.65922469700134,5.77521761954762,4.28070340726183,0.000786307646903978,0.998620118776065,-3.87618335571278
"8","GB41523",106,81,68,30,34,62,42,46,15,17,37,15,1.01288537058257,2.61677509489633,2.83425709307921,0.0134130357193871,0.998620118776065,-4.36660288979972
"9","GB41710",191,86,370,37,50,92,75,32,22,50,45,14,1.43951061484912,3.22866033910565,3.66911276616634,0.00258504292643828,0.998620118776065,-4.19857541224202
"10","GB42035",142,82,296,87,56,67,91,44,74,59,73,29,0.666433202114866,3.605725863603,2.69246924345986,0.017695171163757,0.998620118776065,-4.29904728151112
"11","GB42219",10,14,21,16,10,5,112,21,93,27,27,6,-1.71990843603142,1.63521225093793,-3.19219434423281,0.00662666363963413,0.998620118776065,-4.40052629424385
"12","GB42260",18,16,25,12,22,22,8,3,3,7,17,8,1.22842452618191,0.864948789619781,3.35262239331027,0.00482604083915381,0.998620118776065,-4.4297103348334
"13","GB42275",21,16,19,5,17,9,72,17,33,9,85,8,-1.22960002930522,1.56008071131843,-2.67072185582088,0.0184601507739821,0.998620118776065,-4.4487316121525
"14","GB42298",464,299,804,296,376,292,523,275,679,829,573,358,-0.586032473887325,6.13251541770013,-2.60677731849698,0.0208999214579558,0.998620118776065,-4.24431112843162
"15","GB42596",484,241,161,192,158,60,26,113,27,103,27,104,1.82167533512545,3.95877625644164,2.78464601728878,0.0147814961238137,0.998620118776065,-4.26800332295255
"16","GB43248",3590,3725,22499,1985,1706,2770,19179,4745,17853,8201,14428,2439,-1.42945166871096,9.82439938098939,-3.34549293667436,0.00489452041383893,0.998620118776065,-4.33977439076961
"17","GB43468",207,212,128,121,119,92,91,96,85,45,72,35,0.905221266287301,3.92951443713229,2.79262008147719,0.0145526771920424,0.998620118776065,-4.25253585131966
"18","GB43661",38,75,23,23,28,22,13,17,9,7,12,13,1.24524252639232,1.61471546173695,2.64929424819153,0.0192452353739725,0.998620118776065,-4.44988878602547
"19","GB43689",459,134,521,670,343,341,3131,260,11956,490,734,686,-1.78620007480698,6.68631489324932,-2.60189308705267,0.0210985979099037,0.998620118776065,-4.28487607237937
"20","GB43690",5186,1328,8906,2276,1466,406,25807,3938,28344,1962,8341,3010,-1.98205155752746,9.25703806216833,-2.92558993954558,0.0112110565246953,0.998620118776065,-4.362871424575
"21","GB43716",1172,679,5106,261,664,1531,3450,717,4147,2358,4325,651,-1.207083342319,7.81637181621775,-2.64147676225292,0.0195396434759802,0.998620118776065,-4.33564502103911
