"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40228",11,6,7,14,3,3,61,10,5,15,9,6,-1.12993205689523,0.525012610387607,-2.64271948576341,0.0195531612313612,0.999696433176349,-4.49097305560334
"2","GB40695",406,1144,574,774,321,1248,3032,1129,410,1692,1351,2040,-1.29813737516402,7.22619048071929,-2.79842093625633,0.0144404438970638,0.999696433176349,-4.26640438258166
"3","GB40696",1752,5572,2572,4290,2407,4757,16311,3876,2367,7526,12075,9365,-1.37078248146553,9.56818590261626,-2.84766217988087,0.0131145517760958,0.999696433176349,-4.37252481272957
"4","GB40697",3385,8100,3486,4596,2920,5487,20974,4644,4671,9770,14837,10087,-1.35066990894699,9.97627425213425,-3.20378705376805,0.0065097470578312,0.999696433176349,-4.34848287135328
"5","GB40716",290,197,235,368,112,171,505,430,164,494,322,112,-0.682671179931529,5.30324483956363,-3.03752407904329,0.00903337580084643,0.999696433176349,-4.10394988322719
"6","GB40845",75,152,93,129,72,50,299,144,75,158,208,46,-0.806125595918581,4.09031488735816,-2.67307931363135,0.0184345954947953,0.999696433176349,-4.25832096212869
"7","GB40873",42,30,13,19,24,14,5,7,6,5,15,7,1.49053072208848,1.02001086815531,3.1619534084466,0.00706950931788823,0.999696433176349,-4.43569910090011
"8","GB41233",250,182,155,337,136,301,423,405,188,646,181,128,-0.611127074753941,5.27355001604536,-2.63342260367061,0.0199086638063387,0.999696433176349,-4.20578618291297
"9","GB41698",171,111,46,47,67,51,41,60,32,14,13,29,1.20787730770144,2.82556819707867,2.65647671148995,0.0190383673924358,0.999696433176349,-4.37570213051902
"10","GB41985",308,187,166,305,154,157,261,174,92,134,102,100,0.405881715300129,4.7029848792336,2.65477169524722,0.0191014479701558,0.999696433176349,-4.21653053037868
"11","GB42084",814,539,428,2166,629,972,2106,1537,621,1446,977,521,-0.661845486804498,7.17977920893652,-2.63127215093749,0.0199917822678271,0.999696433176349,-4.29564874181775
"12","GB42191",90,68,89,114,52,104,233,114,86,99,80,52,-0.463887178133471,3.84709509031622,-2.68081185683153,0.0181597796908638,0.999696433176349,-4.27555528707315
"13","GB42412",45,41,44,36,53,60,18,36,22,14,17,13,1.09891151317972,2.23681216225145,3.1026212375638,0.00794650457235678,0.999696433176349,-4.36545052675685
"14","GB42433",238,159,310,198,196,170,252,145,52,112,67,99,0.744567268829914,4.54707826085973,3.00983970668571,0.00953909363921267,0.999696433176349,-4.1473743827787
"15","GB42917",218,163,140,104,148,149,75,129,53,54,46,72,1.01805457904329,3.99070132570725,3.18813468433546,0.00671381806153907,0.999696433176349,-4.16647860268228
"16","GB42963",372,275,205,484,176,255,639,435,214,566,371,148,-0.565170545527298,5.6200358755201,-3.05887633017613,0.0086615446820399,0.999696433176349,-4.10465660090272
"17","GB43205",160,122,101,121,119,137,139,112,60,64,61,51,0.523316867886286,3.94617663487085,2.79353330822446,0.0145789984314255,0.999696433176349,-4.24280722973056
"18","GB43214",350,183,164,279,146,187,449,482,213,294,173,118,-0.522077962143824,5.18342612689251,-3.09625132096268,0.00804686032123123,0.999696433176349,-4.08873951819251
"19","GB43362",112,74,108,552,128,278,795,317,163,416,275,143,-1.07438119807326,5.10864138665937,-3.00656610869562,0.00960071513502015,0.999696433176349,-4.12028589095425
"20","GB43390",200,159,124,189,121,168,186,146,82,107,81,54,0.428232000364381,4.3151084699702,3.16342117580693,0.00704908110348989,0.999696433176349,-4.12636763349129
"21","GB43427",37,54,41,62,45,28,63,33,7,22,7,14,0.921941850806346,2.15805347270204,2.81320922503359,0.0140290266008981,0.999696433176349,-4.40224347735397
"22","GB43441",51,37,46,55,54,35,41,43,11,19,8,30,0.868484959457392,2.3176428122685,2.72465529738465,0.0166753072871532,0.999696433176349,-4.40109776818423
"23","GB43657",19,10,10,14,20,18,3,10,2,3,5,4,1.55644720126046,0.371089711544195,3.70401886842253,0.0024312037350472,0.999696433176349,-4.42596965967913
"24","GB43660",51,56,25,49,42,51,38,33,18,18,20,9,0.863466689692119,2.27177966852648,3.46474902502745,0.00389122258133493,0.999696433176349,-4.32381565703048
"25","GB43689",459,134,490,734,343,341,521,3131,260,11956,670,686,-1.85926109241553,6.68631489324932,-2.7998978672918,0.0143988298945399,0.999696433176349,-4.23565347695895
