"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB43141",46,51,81,112,122,126,203,290,280,174,206,145,-1.0974151225318,4.06221723919186,-6.41237459712159,2.09195108513372e-05,0.158585769592986,2.76234363574247
"2","GB49535",200,238,364,331,299,540,803,776,774,630,533,518,-0.856891905128657,5.84101964485753,-6.14451470538934,3.22361560306914e-05,0.158585769592986,2.53611407299354
"3","GB50619",26,36,34,38,49,53,100,127,88,90,109,62,-1.08060145724228,2.92925178007612,-5.7946408655226,5.75632064118497e-05,0.188788129295396,1.61039737186593
"4","GB51190",23,71,64,59,71,85,114,171,131,122,140,95,-0.877761286266248,3.44005196031016,-5.5191172772793,9.19706189783189e-05,0.22622473003192,1.41504046875577
"5","GB42858",6,18,10,20,18,10,28,45,34,27,24,45,-1.1404346536918,1.39569337021699,-4.21373133573034,0.000971323325283675,0.367116849484169,-0.937941524372327
"6","GB43140",10,11,28,36,23,32,55,75,76,32,46,31,-0.969979416982895,2.03985662055333,-4.19510457832411,0.00100602879296622,0.367116849484169,-0.788674521069576
"7","GB43222",147,213,215,277,245,323,350,536,448,330,459,320,-0.575331337246801,5.2573119669712,-4.54830193563221,0.000520298778751015,0.367116849484169,0.0739120950674144
"8","GB43624",7,4,8,11,13,14,17,35,26,17,24,23,-1.11489581664488,0.894996252454083,-4.42374224466166,0.00065547548618134,0.367116849484169,-0.83895883901602
"9","GB44276",96,142,135,189,134,151,278,258,268,270,356,231,-0.783990125539363,4.62168934209126,-4.35518531339454,0.000744884032322156,0.367116849484169,-0.253446827146075
"10","GB44590",58,77,93,140,121,102,184,276,179,142,246,152,-0.794377648197969,4.08709970251041,-4.81287199799672,0.000320536190168987,0.367116849484169,0.474799137850343
"11","GB44974",17,13,16,19,22,22,43,55,72,37,53,25,-1.13543039906906,1.86594719625999,-4.41417740211509,0.000667252954419343,0.367116849484169,-0.538535525682518
"12","GB45101",129,88,123,247,303,217,357,553,549,419,562,341,-1.22328005443116,5.12403304829941,-4.69803659376592,0.000395121362816405,0.367116849484169,0.319547235057789
"13","GB45542",8,10,12,6,13,11,21,26,33,23,33,21,-1.15967346865756,1.04195472173126,-4.24027374298394,0.000923983919509466,0.367116849484169,-1.00992013068463
"14","GB46289",56,73,203,96,120,281,33,64,98,54,47,59,1.34620426437092,3.36641779774153,4.51325007894455,0.000555136863955567,0.367116849484169,-0.0729274488319467
"15","GB47779",66,88,42,80,161,72,162,239,219,215,235,179,-1.24736525298066,4.00478594202556,-4.19436374255247,0.00100743520033261,0.367116849484169,-0.535718344334669
"16","GB48684",38,39,29,51,77,61,79,131,129,120,144,116,-1.13417605067511,3.23438958381065,-4.30592503838303,0.000816823337901659,0.367116849484169,-0.413852370662926
"17","GB49255",5,5,6,8,6,10,15,18,22,16,25,17,-1.20075422259772,0.536236835187951,-4.86201052691488,0.00029323886940427,0.367116849484169,-0.498517799039544
"18","GB49790",42,51,79,72,63,79,80,151,143,98,109,120,-0.642935679347342,3.42272424902305,-4.46848719901527,0.000603164382480718,0.367116849484169,-0.131283037700467
"19","GB49966",11,9,12,24,17,14,29,45,30,29,50,29,-1.07850614419065,1.49130882984259,-4.33896719623241,0.000767818242555601,0.367116849484169,-0.747269357610676
"20","GB50415",206,211,185,314,337,342,584,653,714,588,687,431,-1.01755520732775,5.63352876756786,-4.90449291482008,0.000271587986245487,0.367116849484169,0.658620181358265
"21","GB52679",43,38,42,56,74,57,95,141,113,88,148,86,-0.927514781450478,3.2335717331026,-4.41167734746225,0.000670367209267176,0.367116849484169,-0.246720783243386
"22","GB53721",94,113,93,126,167,167,239,341,233,220,348,195,-0.87019265538123,4.48800034944188,-4.25031804821345,0.00090669453605494,0.367116849484169,-0.431311970771556
"23","GB54528",4,8,10,5,17,14,23,37,28,21,34,18,-1.32457642810811,0.965887905306487,-4.7111126713428,0.000385788387990942,0.367116849484169,-0.49220705676136
"24","GB54668",8,8,16,52,24,25,42,75,49,54,65,38,-1.24242183650628,1.97499670851773,-4.22507441335632,0.000950794392519692,0.367116849484169,-0.77186403365288
"25","GB54690",6,4,12,13,24,8,28,39,23,28,40,23,-1.34103347044076,1.12696528447356,-4.23222017339805,0.000938091505191201,0.367116849484169,-0.999527820089197
"26","GB55032",3,8,6,11,12,17,17,50,26,25,20,18,-1.25383160991451,0.898376512062779,-4.49725749780908,0.000571824927806439,0.367116849484169,-0.756616857239872
"27","GB55226",528,941,1323,993,1079,1376,907,1349,727,725,546,696,0.574622143270479,6.80495011699122,4.25688994458211,0.000895562768358647,0.367116849484169,-0.423452488078017
"28","GB42866",35,26,30,62,55,38,81,109,81,67,107,87,-0.962977784531915,2.89313069699358,-4.15659117987655,0.00108188848600787,0.380167886208266,-0.685584640617667
"29","GB42983",1,2,2,21,8,5,10,22,23,26,27,18,-1.90126922837702,0.291098720303134,-4.06752835207431,0.00128065402544097,0.382478872577524,-1.40343253538188
"30","GB44089",10,12,16,37,15,27,50,59,44,49,33,25,-0.982564456419481,1.79794084249196,-4.09659650948728,0.00121196218960362,0.382478872577524,-0.981834860836014
"31","GB45486",17,23,13,15,33,11,39,57,54,43,59,40,-1.29791892312815,1.89261558730638,-4.09819544975176,0.0012082952105887,0.382478872577524,-0.963257688218103
