"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40064",36,157,181,188,162,171,247,219,447,180,177,176,-0.605669938853518,4.45145948898948,-2.42904078910977,0.0300143184010237,0.999886511857343,-4.08016729130393
"2","GB40234",155,486,455,458,280,473,148,508,362,296,229,286,0.432749745552037,5.3295694648927,2.6834719542825,0.018478169535106,0.999886511857343,-3.91027614721043
"3","GB40263",195,452,486,367,304,639,117,556,335,256,220,311,0.594731862965642,5.33691416740963,2.89023602227909,0.0123997624351335,0.999886511857343,-3.81954024321483
"4","GB40392",26,56,101,229,115,137,188,261,195,149,108,145,-0.722442175852078,3.9595897714857,-2.54616800866707,0.0240313767421737,0.999886511857343,-4.10055895573236
"5","GB40713",619,2813,3575,3268,2562,3616,4421,4051,7749,2500,3085,3608,-0.672909146214163,8.59998355598573,-2.36313744355605,0.0339832355501314,0.999886511857343,-4.2544448669292
"6","GB40861",72,191,195,220,182,212,119,209,186,144,145,154,0.222900534798288,4.35996032907458,2.36726589021086,0.0337205747415072,0.999886511857343,-4.10752031557806
"7","GB40933",19,15,16,19,16,19,11,7,14,7,14,6,0.927103065176385,0.732220824617494,2.83778370861147,0.0137241767671708,0.999886511857343,-4.40584093826109
"8","GB41220",59,79,144,137,132,142,118,275,175,129,158,145,-0.45821765222354,4.06535802838042,-3.14839756170363,0.00751228274795336,0.999886511857343,-3.8592222706497
"9","GB41260",18,44,61,52,37,58,28,51,37,43,30,30,0.361600466669231,2.30228928887895,2.37576618523692,0.0331858451158238,0.999886511857343,-4.3473240223669
"10","GB41418",166,584,5839,2502,3144,1638,3969,5634,5316,4045,2493,3438,-1.52647173419255,8.21720056141931,-2.45899726910403,0.028360556286069,0.999886511857343,-4.2062244117648
"11","GB41665",17,31,25,22,15,35,16,34,12,14,11,10,0.698064809411226,1.25659448188012,2.61673800818735,0.0210008394322646,0.999886511857343,-4.39448285122967
"12","GB41833",15,37,36,43,42,68,70,88,78,33,52,63,-0.596341637091941,2.59397641291903,-2.69654080163675,0.0180199069121201,0.999886511857343,-4.25163529629366
"13","GB41916",76,125,135,185,122,139,81,154,93,113,82,116,0.371759685453342,3.85541428230942,2.57896139215125,0.0225738758595024,0.999886511857343,-4.09613199975347
"14","GB41945",132,232,339,226,343,676,271,201,281,205,94,100,0.825559879198508,4.82284341117291,2.54088952274472,0.0242743175372583,0.999886511857343,-4.0017507568011
"15","GB42012",42,94,102,78,65,100,35,94,65,54,68,59,0.441172691925694,3.10586412098583,3.18267286927561,0.00702795656031704,0.999886511857343,-4.05525250658642
"16","GB42149",1,4,6,18,9,8,9,46,11,8,13,11,-1.04908706211295,0.234203779563,-2.4565338677816,0.0284931834363868,0.999886511857343,-4.46727848400341
"17","GB42426",2184,4220,8644,20932,10188,9959,15204,25459,20877,11144,9079,13458,-0.933200754053667,10.3736662388548,-2.62595460724705,0.0206334940175719,0.999886511857343,-4.29346321161428
"18","GB42481",32,60,94,69,44,63,19,60,55,48,55,40,0.479467660175218,2.66278387774534,2.34185680408183,0.035368335781232,0.999886511857343,-4.32121088795115
"19","GB42549",22,28,24,85,17,20,38,114,50,46,70,53,-1.01127266995615,2.34685277387994,-3.07886743962223,0.00859937580060502,0.999886511857343,-4.21249086493758
"20","GB42660",51,115,159,96,91,129,62,156,101,59,72,69,0.39215881800056,3.51909567953985,2.52755441085677,0.0248986662339328,0.999886511857343,-4.16513603354411
"21","GB42748",246,498,547,571,435,525,534,791,587,509,541,571,-0.259692282420539,6.018442528449,-2.82967693463777,0.0139409227335138,0.999886511857343,-3.87578749131853
"22","GB42761",125,297,351,398,222,271,125,356,195,215,211,199,0.433943658930642,4.87307661825414,3.04536407679464,0.00917773110452968,0.999886511857343,-3.7684973270842
"23","GB42768",20,70,77,70,55,67,9,62,52,38,51,43,0.66940759210933,2.52015935763655,2.33346440089455,0.0359291976287557,0.999886511857343,-4.3375689801817
"24","GB42784",14,47,51,48,25,47,5,58,16,21,17,36,0.882887777413911,1.76748396210722,2.49903875947518,0.0262861320822828,0.999886511857343,-4.3733467339773
