"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40032",222,360,459,234,250,384,206,241,345,200,228,205,0.550695544405762,5.07525209749527,2.99358021611521,0.0101398059265732,0.597851044023133,-3.15384684566203
"2","GB40101",24,69,71,48,31,71,33,31,41,32,32,34,0.729840169504933,2.36133073485595,3.36621537946236,0.00491326438543528,0.597851044023133,-3.64722432769205
"3","GB40227",1,12,10,22,6,15,41,47,56,30,42,19,-1.86928541035329,1.19099529723644,-4.74599697192804,0.000358696043091837,0.597851044023133,-3.67774398379113
"4","GB40410",34,147,220,161,147,152,153,499,210,363,170,241,-0.757212665824756,4.48362518416966,-3.34606937464295,0.00510948596997179,0.597851044023133,-2.97840218176525
"5","GB40505",6,12,10,20,18,31,23,39,24,40,29,21,-0.791838625577117,1.3780374757841,-3.00185613830486,0.00997816948136909,0.597851044023133,-4.01616203192727
"6","GB40904",155,382,503,275,272,329,216,229,322,162,253,208,0.582791647158658,5.04146453498542,3.00062153511646,0.0100021194001886,0.597851044023133,-3.15043697006677
"7","GB40905",45,232,191,188,251,481,350,665,280,442,356,384,-0.831185659625556,5.11213145024943,-3.14463346319173,0.00756012447357338,0.597851044023133,-3.04888317213881
"8","GB41033",22,22,169,87,109,71,188,350,164,406,182,256,-1.76342775450517,3.95531211087672,-4.62021624688406,0.00045179534434364,0.597851044023133,-2.52069288199208
"9","GB41064",6,27,89,39,79,41,69,298,67,241,70,116,-1.51461611282075,3.03566607039296,-3.29016692651987,0.0056962037290643,0.597851044023133,-3.51136436250675
"10","GB41065",224,562,1413,595,1042,1003,1173,3310,1027,2659,1227,1990,-1.1661068680472,7.10428209977424,-3.93614985094542,0.00163452954427701,0.597851044023133,-2.70547813611821
"11","GB41126",99,207,274,170,223,281,271,583,308,332,219,247,-0.469903876385605,4.96431788913933,-3.51182292882533,0.00370331675861034,0.597851044023133,-2.74124092521512
"12","GB41388",217,492,630,424,487,748,730,858,679,682,570,688,-0.42659847277735,6.16787343679246,-3.16027481809042,0.00733358684814841,0.597851044023133,-3.06649956580391
"13","GB41670",60,218,534,201,228,430,1100,1718,394,497,644,789,-1.5247037220382,5.70973435545482,-4.20259145109295,0.000984925778184074,0.597851044023133,-2.31221253371821
"14","GB41675",32,91,78,78,76,79,78,173,120,126,100,66,-0.454075778053356,3.43057695168301,-3.17235768268087,0.00716323595332871,0.597851044023133,-3.40210301068978
