"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40054",3058,2397,2415,2684,4549,2779,1592,2655,3160,2846,3125,2631,0.928856579995715,8.46051915441383,3.13851141560396,0.00748182734666143,0.351909904963213,-4.28195794108669
"2","GB40204",4,1,9,7,9,47,15,28,25,50,74,43,-1.41820246192772,1.07689061599788,-3.50426166141592,0.00364971107749137,0.351909904963213,-4.36812699630633
"3","GB40577",80,34,143,110,203,430,223,308,354,440,742,389,-0.824634271183379,4.80783276552201,-3.41242824596471,0.00436977879349143,0.351909904963213,-4.02298962465095
"4","GB40710",1,0,6,12,3,22,8,18,19,29,43,19,-1.64370607723049,0.23642809251977,-3.21898519600739,0.00638841626076892,0.351909904963213,-4.42403219779142
"5","GB40857",142,108,226,313,355,341,108,199,265,291,310,382,0.600363075935006,4.90302924284375,3.20167184707025,0.00660933171159505,0.351909904963213,-4.03447770631193
"6","GB40859",6,1,15,10,19,53,19,38,32,90,82,48,-1.26324458532814,1.50956551389931,-3.14719500068518,0.00735538748159241,0.351909904963213,-4.37420065721569
"7","GB40996",21,13,27,23,33,75,20,113,98,225,149,147,-1.23651625979548,2.77405558319312,-3.26014741255596,0.00589235741570214,0.351909904963213,-4.25200257637592
"8","GB41026",53,29,67,68,82,85,57,57,70,50,69,35,0.859233120578682,2.89632725563102,3.42465207676852,0.00426623378000778,0.351909904963213,-4.19689954032453
"9","GB41401",11,10,59,30,20,107,39,67,104,263,127,188,-1.23766458356913,2.82874430053219,-3.16097650477993,0.00715907217503458,0.351909904963213,-4.26274857137504
"10","GB41649",22,7,70,44,53,258,107,169,114,321,376,245,-1.29093144068402,3.58351481021295,-3.3265582520494,0.00517196433678454,0.351909904963213,-4.16288538586171
"11","GB41746",10,3,25,30,30,63,36,42,50,121,133,119,-1.11858057828135,2.273451896929,-3.31332409189555,0.00530811453881389,0.351909904963213,-4.29519895746026
"12","GB41810",158,114,284,219,267,203,151,187,232,223,206,192,0.708688168107858,4.66361663767236,3.56671251119347,0.00322957762615098,0.351909904963213,-3.95323739399681
