"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB47805",288,221,905,1965,826,1679,6281,5408,11390,10197,4554,8285,-3.16692850881542,8.21047666884123,-8.59535073652524,8.11372617935411e-07,0.00778187477861853,3.04550260604901
"2","GB47771",3,2,13,20,9,14,59,54,204,116,95,235,-3.49055338796289,1.95192932241881,-7.72220410554416,2.71910142623875e-06,0.00869296725968528,1.71875998656792
"3","GB49544",1804,1225,10791,4672,9099,9914,496,1082,433,1049,1479,783,2.6846415309066,7.95685363229453,7.83144859756697,2.32576768255292e-06,0.00869296725968528,2.73409086362773
"4","GB44996",118,217,524,302,447,373,65,52,77,94,102,155,1.98301213428198,4.35346359592067,6.92167172717197,8.9453248853571e-06,0.021448652743865,2.59485117272843
"5","GB51223",1861,1964,12180,35386,16529,22543,149407,92123,233216,401505,42661,155886,-3.8944306352902,12.1776054292494,-6.20204234376971,2.80474786760371e-05,0.0538006735963744,0.00548995934336194
"6","GB41912",472,92,1914,677,1386,1254,163,117,61,151,210,275,2.34129331789162,5.34223420025635,5.87653544888384,4.8144058286231e-05,0.0769582771705402,1.55569147761841
"7","GB41428",6510,3887,17605,20076,15850,35657,44166,64180,144379,129241,25056,86341,-2.24665004484968,11.9175044061279,-5.05245242021092,0.000201877029373997,0.176018417156909,-0.734958742711864
"8","GB47318",5588,2407,5007,18041,6878,24885,39016,39752,100513,92989,21775,51250,-2.53174425974172,11.298732735494,-5.15646497303172,0.000167608254341261,0.176018417156909,-0.503483367540685
"9","GB50423",1204,527,1346,14413,2253,3717,13968,29258,112815,79603,5399,76839,-3.82795847989867,10.0999656765171,-5.23154517260786,0.000146678819657027,0.176018417156909,-0.172172812487556
"10","GB50662",16,18,82,49,160,55,16,24,12,17,15,19,1.74774252490952,1.8714647388022,5.08001077923505,0.000192141092869611,0.176018417156909,-0.223184207664706
"11","GB53755",1105,324,2199,3248,4535,2511,484,884,505,694,1161,658,1.45501537240584,7.14609176822028,5.19206577913095,0.000157320971808186,0.176018417156909,0.52755627004467
"12","GB46236",88,28,180,943,450,632,1635,653,3821,1998,1552,1661,-2.62909859779324,6.28372754422032,-4.82326693968741,0.000305687916166922,0.244321066996413,0.103134785482415
"13","GB49750",69,39,293,156,370,451,75,78,23,81,67,103,1.62614445864125,3.74032315106702,4.70715432557656,0.000378161405429483,0.259067574248155,-0.0513566572067541
"14","GB54123",215,215,355,671,746,643,161,168,183,340,363,444,0.924915625348254,5.38518243987161,4.70870644501876,0.000377083289174959,0.259067574248155,0.114777710290221
"15","GB47807",7,9,21,34,32,33,56,48,180,82,54,116,-1.75622706298145,2.34233894438198,-4.59369147751702,0.000466295664666465,0.298149447987737,-0.58638218151932
"16","GB54121",80,56,199,217,239,237,69,72,62,132,134,188,0.763792305440506,3.97596729020981,4.51367939069397,0.000541030379716471,0.324313898241292,-0.239538252742167
"17","GB41754",450,228,905,746,850,807,414,356,272,383,507,624,0.789255057318478,5.99523798494891,4.47093769724091,0.000585923600082775,0.330564308729052,-0.261298945234406
"18","GB54933",9,7,23,38,92,26,2,8,5,7,13,24,1.74855124078071,0.816347450547082,4.4090262658112,0.00065787921031444,0.350539972562544,-1.29611270583174
