"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40064",36,157,219,38,87,70,247,447,181,200,142,178,-1.05317409104269,4.31483132004547,-3.93887428448753,0.00151989584501082,0.622923677696602,-1.4149504072174
"2","GB40212",90,618,1510,168,304,121,884,1929,2264,530,675,1422,-1.71564381444177,6.39902901419702,-3.99483223517971,0.00136282009352971,0.622923677696602,-1.32285397636039
"3","GB40261",633,2219,6421,788,1395,1638,3368,6380,4148,2607,1952,4137,-0.896705309618384,8.46665284407277,-3.64183731787406,0.00272153478865049,0.622923677696602,-2.00102410288951
"4","GB40409",3,42,104,16,47,6,69,224,122,83,110,85,-1.93473269309639,2.81706753779098,-3.65750928654683,0.00263883139145649,0.622923677696602,-2.21280942423251
"5","GB41842",158,337,790,129,306,239,663,751,690,483,477,511,-0.855145200301292,5.89991189678382,-4.4004483047923,0.000623135130645316,0.622923677696602,-0.738966681293459
"6","GB42219",4,26,8,6,10,5,40,37,38,27,16,27,-1.57548116347925,1.25753932012189,-4.3076179116023,0.000744319321035967,0.622923677696602,-2.25496982299382
"7","GB42369",13,38,57,16,24,29,11,27,24,21,10,19,0.851138045426128,1.7119110850704,3.77258426026358,0.00210459104177937,0.622923677696602,-2.43258203096785
"8","GB42616",536,1671,5456,611,1162,868,3219,4871,3168,1836,1889,3054,-1.00266642216227,8.11131183014939,-3.69010028016209,0.00247489606470768,0.622923677696602,-1.89472384011969
"9","GB42924",25,54,238,18,45,38,164,297,193,81,90,149,-1.25935906781733,3.6400292314192,-4.01296138705798,0.00131556599842188,0.622923677696602,-1.51432541637158
"10","GB42931",279,1229,2997,416,972,592,3711,3650,4658,1000,1611,1633,-1.32304757457706,7.67172237203219,-3.66118469957769,0.00261980668671738,0.622923677696602,-1.8706558990506
"11","GB43713",1138,9371,19066,2387,3320,2688,19436,24769,16322,5508,8654,15148,-1.5009726312465,10.1015079235539,-3.63712175491801,0.00274692921125435,0.622923677696602,-2.27198194820203
"12","GB43890",204,508,744,259,465,345,647,1078,731,659,844,949,-0.804163071729409,6.37815271466067,-3.64139371246223,0.00272391355484789,0.622923677696602,-1.74759654145596
"13","GB45184",151,377,425,177,219,248,490,512,668,315,282,609,-0.604648049603838,5.65609745521986,-4.01096715022743,0.00132068108167443,0.622923677696602,-1.20777282079009
"14","GB45274",33,86,240,34,49,50,138,224,167,103,93,154,-0.808715539789773,3.81177371642229,-3.68719679662817,0.00248907266340502,0.622923677696602,-1.81870236087798
"15","GB45746",121,554,1364,204,418,302,3085,3064,3857,529,1850,1006,-2.0719543729829,6.92947864801955,-4.76685261023463,0.00031187491743066,0.622923677696602,-0.500444982547656
"16","GB45855",195,763,2036,235,473,246,1622,2474,1873,1096,785,1145,-1.39605338927037,6.89070021717402,-4.42138609069676,0.000598727215152027,0.622923677696602,-0.856480678192791
"17","GB45972",258,484,383,141,311,275,208,262,380,140,93,166,0.897687978239178,5.12783718154234,4.02924357192425,0.00127455294466957,0.622923677696602,-1.16935802765406
"18","GB46175",16,81,229,28,53,30,200,214,295,77,155,175,-1.39823876980163,3.78854182826167,-3.9344829276199,0.00153297828176828,0.622923677696602,-1.57319138342781
"19","GB46177",158,468,916,174,371,242,1100,1212,841,407,858,607,-1.05844063065613,6.23036558342707,-3.68747111730485,0.00248772974891993,0.622923677696602,-1.68064016561004
"20","GB46286",2633,7293,19658,1819,3704,1075,12578,32221,23760,16899,8943,17514,-1.95337188143151,10.2268232537518,-4.43247433927629,0.000586201972846325,0.622923677696602,-1.57998753992542
"21","GB46444",69,102,266,27,49,51,323,292,303,146,244,192,-1.39462954807057,4.29638877730149,-4.59075466942475,0.000434130688315696,0.622923677696602,-0.680949412912044
"22","GB46749",107,343,1686,76,318,97,1388,2400,986,767,350,851,-1.75647794788899,6.13068430678654,-3.6658475229378,0.00259587058833714,0.622923677696602,-1.72849168471231
"23","GB47040",75,347,579,108,129,111,407,658,488,232,318,508,-0.991158177172775,5.30665460380107,-3.82233011946914,0.00190896846007953,0.622923677696602,-1.46756144549299
"24","GB47933",288,532,2719,127,497,233,1488,3131,1374,1320,729,1106,-1.45844829966314,6.84459793180265,-3.73075372322524,0.00228477987025815,0.622923677696602,-1.68802411779355
"25","GB47974",155,638,1396,163,433,529,1599,1570,1585,574,551,1559,-1.16842970825495,6.67418541562293,-4.25376720411159,0.000825473321333721,0.622923677696602,-1.01706737556085
"26","GB48079",601,7403,28242,1018,3865,892,26876,43851,24079,10918,15628,12448,-2.69221080874658,10.1110628240648,-4.01561209561012,0.0013087984094375,0.622923677696602,-1.93682175562797
"27","GB48321",189,461,2136,257,627,292,1921,2651,1738,1009,1031,1074,-1.44907120017682,6.93212619013507,-4.18013995228109,0.000951369954946977,0.622923677696602,-1.14690813328011
"28","GB48664",1,5,38,1,10,1,33,97,40,50,20,12,-2.57910655961997,0.888059856056463,-3.77022723313188,0.00211434975574977,0.622923677696602,-2.71986806492815
"29","GB48905",434,1133,3245,539,1606,603,2497,4336,3208,2101,2978,1807,-1.24209724507088,7.92170233373102,-3.64525351890929,0.00270328620460957,0.622923677696602,-1.92264108408047
"30","GB49785",388,512,418,245,423,413,178,211,373,239,34,80,1.71843971848002,5.15606595190857,4.18918347763693,0.000934900835175523,0.622923677696602,-0.999352723680055
"31","GB49848",1165,3240,12264,816,2761,769,7442,13538,9153,7399,8325,5214,-1.78030163290161,9.26708082975713,-4.01556261971038,0.00130892440140276,0.622923677696602,-1.75058877289531
"32","GB50001",5,11,17,2,5,10,21,22,20,14,14,19,-0.99443708838625,0.806116149739705,-3.88770171291523,0.00167967833434501,0.622923677696602,-2.68061684320616
"33","GB50116",933,3147,12548,688,3408,777,9297,12619,7237,4790,11237,5839,-1.81823751056256,9.23316302442726,-3.62987810244578,0.00278640571527659,0.622923677696602,-2.14248738814699
"34","GB50522",13,38,80,24,14,34,18,25,23,7,4,20,1.25131855029497,1.57625394850895,3.75797792034615,0.00216580983357814,0.622923677696602,-2.50515529712973
"35","GB50734",12,13,54,5,16,21,9,8,6,8,3,15,1.37364140445357,0.75768905500911,3.86727187205779,0.00174815614050753,0.622923677696602,-2.72131322952399
"36","GB51107",302,1068,2591,419,931,339,2430,4734,2965,2005,1522,1930,-1.55101888856536,7.59851433061488,-4.68808628970491,0.000361436199005586,0.622923677696602,-0.69989369900054
"37","GB51198",321,394,318,200,181,386,209,200,299,149,67,125,1.14246776804218,4.99839655252354,3.84468974489082,0.00182716125785048,0.622923677696602,-1.4275832715138
"38","GB51489",63,145,229,32,52,74,44,66,113,34,14,75,0.999389031366504,3.22038106445057,3.64242730886976,0.00271837430810958,0.622923677696602,-2.02942763715896
"39","GB52670",20,33,71,17,28,46,100,98,111,41,108,84,-1.10085127753337,2.98389365740564,-3.8851001651566,0.00168824435538182,0.622923677696602,-1.86488689284052
"40","GB54207",14,32,52,8,16,14,8,13,16,12,8,18,0.958435346435652,1.21019626209594,3.82879479207825,0.00188494055037228,0.622923677696602,-2.57941120897693
"41","GB54237",113,293,451,131,153,269,449,572,387,287,321,420,-0.660806061044989,5.42594378429488,-3.75376426619791,0.0021838040090409,0.622923677696602,-1.54440162301548
"42","GB54918",54,128,103,76,59,128,46,79,71,34,7,24,1.46170020476648,3.03146416587532,3.7575872601601,0.00216747177856822,0.622923677696602,-1.98978752382016
"43","GB55170",14,30,71,9,12,9,182,70,102,37,30,98,-1.66923951878217,2.44259157029034,-3.98380539543217,0.0013924058147613,0.622923677696602,-2.01554704918472
"44","GB40716",111,247,580,112,112,171,406,540,415,235,322,368,-0.765144438600243,5.27296637084373,-3.60087058650518,0.00295032527481926,0.643695770920886,-1.75443589240867
"45","GB42307",21,137,330,30,81,33,243,385,344,112,231,210,-1.4046737477399,4.22392257444045,-3.59016695544234,0.00301324349229584,0.643695770920886,-1.89749089082343
"46","GB46103",6,21,95,4,35,6,58,138,89,101,68,42,-1.82690314485321,2.37294439527615,-3.52671204913508,0.00341508771751161,0.646538822911528,-2.4792237139266
"47","GB46914",1073,1424,1440,711,817,1368,938,1009,1331,588,500,671,0.784625752807319,7.12559368453839,3.53680482173224,0.00334772960981491,0.646538822911528,-1.95285502554636
"48","GB50901",14,31,13,12,13,14,11,7,12,2,3,2,1.71419301687664,0.456899913774652,3.50500763761926,0.00356460601417986,0.646538822911528,-3.03066999696993
"49","GB53440",103,466,599,145,258,291,999,873,936,226,690,711,-1.09146257046115,5.96832805725756,-3.50755316789477,0.0035467341785326,0.646538822911528,-1.90580789023049
"50","GB53769",267,713,2371,319,614,223,1319,2372,1373,1366,1418,1178,-1.26579909808597,7.0284993854893,-3.52715017484117,0.00341213553396532,0.646538822911528,-1.96187221147767
"51","GB54143",220,393,604,98,228,315,205,367,324,173,111,260,0.545075882608371,5.19382988167994,3.5231841285163,0.00343895363986292,0.646538822911528,-1.84379272589625
"52","GB55070",64,187,713,53,163,169,477,707,382,225,262,501,-1.02795627877977,5.20161893867731,-3.53965371349036,0.00332896000230341,0.646538822911528,-1.85120093587734
