"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40593",12,19,25,19,31,28,6,4,14,17,9,13,0.749242904737112,0.686481954212127,2.9545807379822,0.011010763092593,0.813397467763522,-4.39576639538371
"2","GB40810",103,170,212,178,238,116,94,162,169,247,243,243,-0.547365137347635,4.23990416773246,-3.7485472096344,0.0023715453782911,0.813397467763522,-3.70187827926371
"3","GB40837",22,53,211,95,57,69,49,87,134,331,195,62,-1.15328363182092,3.27345682668768,-2.73656347757246,0.0167651692272367,0.813397467763522,-4.17847505631879
"4","GB40839",60,44,73,74,65,80,6,20,29,39,30,34,1.02664054942927,2.09512821033149,4.7418164183936,0.000368734421996079,0.813397467763522,-4.05642739648235
"5","GB40976",2397,5050,8003,6252,6990,3435,4135,4056,5168,8629,7649,6266,-0.632759155098492,9.18573144849679,-2.82766600210514,0.0140689870511082,0.813397467763522,-4.17282190121519
"6","GB41034",232,315,295,197,233,216,112,310,231,421,295,350,-0.523153567576072,4.80230540188596,-2.9517861650118,0.0110704395256713,0.813397467763522,-3.89048162549308
"7","GB41078",107,122,118,109,100,87,65,127,139,121,161,158,-0.596308212389741,3.65426227790954,-3.16041281084356,0.00739018215029357,0.813397467763522,-3.99504980321305
"8","GB41213",199,254,257,182,228,162,131,226,245,250,328,242,-0.502745505995574,4.58870840429186,-3.01294292960435,0.00983478217974383,0.813397467763522,-3.88772549237565
"9","GB41326",26,80,148,129,48,60,54,255,294,152,95,156,-1.39598261008356,3.46470211281147,-3.31820146509332,0.00544257968047846,0.813397467763522,-4.00717329538362
"10","GB41377",57,57,58,86,67,64,4,30,25,56,34,34,0.877564337419835,2.13120127122319,3.11463674510384,0.008075995012993,0.813397467763522,-4.25639465761344
"11","GB41441",1729,2211,3235,2060,2433,2627,1393,2028,2697,2782,2401,2857,-0.37498852988041,7.98370020058024,-2.83945698185871,0.0137527532770109,0.813397467763522,-4.08966209336981
"12","GB41595",39,24,49,52,56,81,3,14,22,39,22,18,1.06788699017577,1.60611332220684,3.34941161470732,0.00512320518630283,0.813397467763522,-4.28301253984082
"13","GB41776",53,217,512,404,336,348,111,1330,1304,1135,916,406,-1.70435604629811,5.48928771063897,-3.28035896704542,0.00585677398142023,0.813397467763522,-3.77491225343265
"14","GB41777",302,2312,4385,1338,1472,2637,1892,10436,6083,4537,6559,5953,-2.15539812414845,8.30356127761608,-4.18672898530472,0.001030606682511,0.813397467763522,-3.79532522247385
"15","GB42635",14,20,51,18,33,20,17,48,35,34,41,32,-0.795894574212698,1.63334054696426,-3.00492826521619,0.00998858343270634,0.813397467763522,-4.31818430667045
"16","GB42739",1295,1241,1542,2452,2060,2159,364,813,1251,1666,1010,1155,0.501756835938183,7.12988125464837,2.77160844846658,0.0156728469349786,0.813397467763522,-4.04997696077459
"17","GB42801",67,35,66,90,109,136,8,37,19,22,34,15,1.54617188627455,2.12379805415927,4.19564336565723,0.00101346304266869,0.813397467763522,-4.11926010205186
