"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40139",8,641,27,99,181,202,179,387,264,230,433,498,-1.96532171614614,4.19828479387261,-2.80207232410946,0.0147581804778512,0.99995077257004,-4.08540789245755
"2","GB40145",177,1039,331,424,558,361,574,714,457,458,667,726,-0.822383851965509,5.75933219326781,-2.84650665291385,0.0135459803586712,0.99995077257004,-3.94696802598091
"3","GB40343",111,401,331,298,259,256,417,442,123,307,412,310,-0.577667113006269,4.95181445253532,-2.96186927107032,0.0108379650755017,0.99995077257004,-3.90415740591459
"4","GB40626",604,4347,763,1233,2967,1415,3145,3107,3032,2564,2546,3533,-1.37161121354679,7.83877963645227,-3.10964934148947,0.0081386102196998,0.99995077257004,-4.02608103410616
"5","GB40727",149,508,267,389,287,309,340,433,218,291,407,443,-0.506220171703626,5.13316375299612,-2.91179191809438,0.0119406899120386,0.99995077257004,-3.91485881549093
"6","GB41156",40,278,75,66,176,94,220,161,216,125,161,215,-1.06472753935101,3.86647063928352,-2.64446974515263,0.0199767875665217,0.99995077257004,-4.13987471498788
"7","GB41179",9,93,21,24,62,23,71,111,63,58,65,83,-1.52654964001476,2.35610012014176,-3.72504738031162,0.00247355545751247,0.99995077257004,-4.14330919396229
"8","GB41296",11,120,17,16,14,9,75,43,33,16,74,111,-1.61483382540951,1.76733505822343,-3.10804968192071,0.00816390496182564,0.99995077257004,-4.30180958778403
"9","GB41467",269,542,243,519,438,365,407,680,221,409,740,406,-0.534007724558858,5.4855067261498,-2.96621719901675,0.0107471147593383,0.99995077257004,-3.89198076796306
"10","GB41610",36,182,62,77,80,45,97,147,76,54,122,145,-0.778971434518482,3.20177234370195,-2.72585502347393,0.0170898215548944,0.99995077257004,-4.20070874718701
"11","GB41643",7,1062,8,253,99,340,302,774,646,318,454,941,-2.67427302267062,4.57984871302533,-2.80119492134371,0.0147831587549422,0.99995077257004,-4.08651587391225
"12","GB41756",6,91,30,24,99,20,107,92,48,81,40,101,-1.4449426738569,2.38910403216716,-2.67794424188194,0.0187359752429168,0.99995077257004,-4.30896805898757
"13","GB41758",2,211,5,33,19,70,37,131,109,54,121,163,-2.14150268466953,2.31380570981506,-2.74167641669419,0.0165779086137385,0.99995077257004,-4.31342117798787
