"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40007",158,617,68,73,356,124,327,377,867,899,501,753,-1.27561172447249,5.08426131005265,-3.28616949072905,0.00582124562424238,0.351893152175598,-2.9461861094255
"2","GB40132",13,34,9,6,32,14,19,54,84,91,76,40,-1.37333216489579,1.66163462155101,-3.44624570669622,0.00427214198388935,0.351893152175598,-3.72937093289222
"3","GB40204",9,50,7,9,20,20,25,47,74,43,62,29,-1.01677613545968,1.51741376760567,-3.34697261283896,0.00517542050832523,0.351893152175598,-3.78872239616001
"4","GB40335",162,346,48,272,184,272,366,518,923,648,916,221,-1.04229788430855,5.09397169792103,-3.35667259483278,0.005079270137925,0.351893152175598,-2.86852325899847
"5","GB40342",11,26,5,12,22,11,33,47,51,47,48,27,-1.19471836734657,1.36032021313173,-5.44895411720423,0.000106918354275955,0.351893152175598,-3.30615630209881
"6","GB40420",12,22,12,6,16,19,28,29,38,49,31,25,-0.816798525043711,1.22927223484671,-3.24893431232542,0.00625608630431647,0.351893152175598,-3.87685882502783
"7","GB40456",522,707,332,415,512,643,536,505,560,444,682,461,0.388085790853711,5.81863008152956,3.27541129935922,0.0059436709052738,0.351893152175598,-2.88831920916212
"8","GB40905",191,344,45,350,232,191,449,830,1133,402,665,280,-1.06988744987786,5.1593813701372,-3.28121043443307,0.00587736074390353,0.351893152175598,-2.9275906080644
"9","GB41239",6,29,3,8,14,16,11,41,61,36,44,46,-1.29845648581222,1.09218267792847,-3.30065258790982,0.00566041952089899,0.351893152175598,-3.89410796353252
"10","GB41279",66,88,20,40,56,75,37,46,58,28,67,28,0.772523798487852,2.36165794479516,3.88111893099199,0.00185408662607554,0.351893152175598,-3.31692008047357
"11","GB41442",76,180,46,86,111,139,170,236,325,270,258,140,-0.748244443238252,4.01715871050943,-4.50748869808066,0.000572641410945141,0.351893152175598,-2.29424128129965
"12","GB41523",64,81,25,39,89,38,34,30,28,52,45,46,0.863812252930577,2.28334986594899,3.31674822833594,0.00548691618490838,0.351893152175598,-3.5818310132795
"13","GB41701",236,601,113,208,316,297,351,620,788,584,810,358,-0.626682179538475,5.37905440231386,-3.45668919958101,0.00418687805001471,0.351893152175598,-2.74676613064025
"14","GB41751",167,345,40,110,178,208,245,328,642,368,427,222,-0.738131810007896,4.62516031208923,-3.29367118120197,0.00573737921475437,0.351893152175598,-2.94868391265806
"15","GB41812",28,40,18,19,29,29,27,23,23,21,28,15,0.639544450181986,1.43473783271209,3.44819424738594,0.00425610153119001,0.351893152175598,-3.75685321676131
"16","GB41884",39,69,21,31,58,55,67,127,166,58,125,81,-0.759523180300263,2.81769289249412,-3.32954297919368,0.00535281478980516,0.351893152175598,-3.42795216048916
"17","GB42072",179,290,114,212,251,223,174,181,204,245,230,194,0.430566915468042,4.47650675919691,3.42431742966395,0.00445691845552972,0.351893152175598,-2.82538508915753
"18","GB42329",452,1121,215,438,592,675,728,1362,1694,1152,1423,678,-0.660289879450542,6.37258204120226,-3.65750079431377,0.00284406636150422,0.351893152175598,-2.67188996951863
"19","GB42487",383,486,177,339,443,445,367,339,456,371,422,368,0.350506942454466,5.3507802873039,3.64755000608902,0.00289895253923093,0.351893152175598,-2.55683117685762
"20","GB42557",773,1384,677,1074,1165,1495,774,1309,1279,640,862,653,0.716073530203903,6.71816067014583,3.63735384299759,0.00295630850336581,0.351893152175598,-2.72541893230907
"21","GB42613",469,650,257,366,469,542,460,470,552,408,547,472,0.310034858752526,5.65625382754584,3.31281411846138,0.00552882429553155,0.351893152175598,-2.8457582977428
"22","GB43179",388,794,175,313,616,558,578,774,1163,866,923,665,-0.483346249091756,6.00022053510442,-3.39289164784058,0.00473587091592818,0.351893152175598,-2.82589946872401
"23","GB43187",1818,2520,1394,1452,1954,2943,2221,1053,1569,1491,1741,1759,0.731545190987012,7.58982182096795,3.47890643516911,0.00401116130497641,0.351893152175598,-2.98686385993355
"24","GB43204",47,63,36,34,49,39,35,23,29,33,32,41,0.862831019155704,2.04338216087854,3.94958853240165,0.00162764966623946,0.351893152175598,-3.40796314263334
"25","GB43301",25,117,14,26,60,55,66,122,248,99,179,76,-1.08719867172088,2.90492346259371,-3.34199280108399,0.00522549173056043,0.351893152175598,-3.40916374759549
"26","GB43468",182,210,65,91,173,146,115,106,106,104,120,134,0.696088145495992,3.75875529437818,4.35757283371886,0.00075577529176134,0.351893152175598,-2.45211504130484
"27","GB43911",148,183,59,84,121,102,111,88,89,87,129,110,0.551120906824095,3.52685601322253,3.24706179438172,0.00627879461244277,0.351893152175598,-3.22467030953507
"28","GB44090",162,338,74,64,191,107,229,244,406,463,424,258,-0.821994695871667,4.5025333514977,-3.2804804921713,0.00588566625166044,0.351893152175598,-2.98199360915514
"29","GB44252",29,93,12,8,38,33,43,93,157,82,142,73,-1.25307537143431,2.43197289248602,-3.45268697779349,0.00421934851851367,0.351893152175598,-3.51175274584964
"30","GB44304",160,249,97,152,168,195,171,176,192,164,194,151,0.338681573916919,4.2100068742097,3.58993721412637,0.00323855603861509,0.351893152175598,-2.76520762658134
"31","GB44365",19,85,12,27,36,35,44,86,105,87,125,61,-0.941561507798672,2.42873801083434,-3.65346416002081,0.0028662030928061,0.351893152175598,-3.41325370560682
"32","GB44599",194,179,113,145,169,207,181,124,149,89,127,141,0.727325177682237,4.01631164964526,3.60051747653874,0.00317329472553064,0.351893152175598,-2.8257329034695
"33","GB44636",247,495,142,257,328,259,377,461,604,487,571,387,-0.375301168558571,5.28856129801866,-3.41389191499502,0.00454757526878871,0.351893152175598,-2.76849422986113
