"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40022",151,58,168,311,242,137,189,129,120,114,58,64,0.974797489083506,4.49013186067792,3.69272863010286,0.0024245895856246,0.999405676913117,-4.01141722084681
"2","GB40217",66,61,132,184,68,73,86,114,64,103,59,64,0.555155206313098,3.8836743743109,2.57159514107226,0.0222152766879145,0.999405676913117,-4.29986832999136
"3","GB40218",1059,117,815,1222,432,324,1058,278,224,344,123,162,1.17495604687408,6.04159033037504,2.64553360109539,0.0192394994057887,0.999405676913117,-4.25245302756691
"4","GB40431",90,21,58,163,30,31,52,37,16,28,6,9,1.72591312241382,2.47275244511621,3.80466879694085,0.00194390940865407,0.999405676913117,-4.28988868029519
"5","GB40493",89,19,43,82,63,25,68,26,10,67,10,25,1.05685590255019,2.62050803143861,2.52943894369512,0.0241056822622462,0.999405676913117,-4.4146139613888
"6","GB40531",29,9,21,42,6,33,43,36,44,140,27,54,-0.995878632107877,2.44765844388807,-2.60978953982049,0.0206265154076872,0.999405676913117,-4.41853856687758
"7","GB40635",280,86,323,289,242,149,649,1976,249,533,319,886,-1.19674752403833,5.95832091024748,-3.07757254662802,0.00821682254094141,0.999405676913117,-4.16490591197625
"8","GB40758",832,386,1210,2359,615,842,2334,1352,1218,4353,833,2004,-0.650829885903715,7.76444437629899,-2.67879411429588,0.0180302696420657,0.999405676913117,-4.34769332051667
"9","GB40765",200,120,346,493,231,324,461,363,545,805,216,620,-0.496289257331288,5.92702234351546,-2.83071787018419,0.0133842129834766,0.999405676913117,-4.20306590375791
"10","GB41168",9,16,17,25,17,26,48,39,41,46,10,46,-0.695505477987444,2.12893965417731,-2.48680121374499,0.0261744269013652,0.999405676913117,-4.44866896003315
"11","GB41264",7,1,2,10,3,8,8,24,18,25,7,15,-1.35927429546392,0.532727416371681,-3.05658581222233,0.00856586656744046,0.999405676913117,-4.47177094664909
"12","GB41719",109,164,152,289,456,187,197,187,179,165,69,74,0.939587420057135,4.84765005180017,2.66348430006508,0.0185774346607987,0.999405676913117,-4.21794254337931
"13","GB41771",56,21,110,71,40,71,116,205,70,456,44,230,-1.03844160722169,3.94884773127166,-2.72210729066336,0.0165656774496731,0.999405676913117,-4.28146010905241
"14","GB42424",103,124,219,188,391,223,278,333,536,644,387,694,-0.96091825433323,5.68284094440222,-2.67279539746104,0.0182427722092615,0.999405676913117,-4.23497454339934
"15","GB42428",249,53,149,488,109,83,252,62,48,179,38,84,1.01944115000683,4.29725731712197,2.53266893753919,0.0239555314011711,0.999405676913117,-4.27973613761158
"16","GB42514",33,30,25,96,18,7,8,24,15,18,12,4,1.51540828065732,1.65869422844093,2.56857281136174,0.0223459146873767,0.999405676913117,-4.46368384167532
"17","GB42632",48,20,27,96,47,28,61,25,28,34,13,4,1.21220029280988,2.33848903017901,2.49723347735424,0.0256530716061429,0.999405676913117,-4.43593118774336
"18","GB42642",30,3,12,47,12,37,18,11,16,0,2,0,2.73200183162147,0.480874232843633,2.99958719828867,0.00958961026575253,0.999405676913117,-4.47436333156731
"19","GB42757",10,22,20,46,11,55,19,23,19,9,3,13,1.19098950332754,1.57342472537529,2.58811315277441,0.0215142026724409,0.999405676913117,-4.46499279699425
"20","GB43028",19,7,22,25,15,11,6,24,5,9,7,13,1.09703203090334,1.11377421929334,2.82755172148024,0.0134678783662766,0.999405676913117,-4.46542499264936
"21","GB43210",13,7,28,35,7,25,55,25,35,65,20,33,-0.757065129596879,2.09533816780467,-2.64411826916451,0.0192926614779063,0.999405676913117,-4.43463299293603
"22","GB43920",168,167,265,351,455,210,333,197,235,216,135,161,0.652372506463562,5.31273555317529,2.5418194218621,0.0235350229874697,0.999405676913117,-4.24303501884065
"23","GB43935",42,27,99,120,44,89,138,368,108,239,61,170,-0.953388064668185,4.10061055187917,-3.15830520792358,0.0070007286699771,0.999405676913117,-4.18209270844312
"24","GB44014",39,27,51,97,37,27,39,48,28,23,26,37,0.790108761992756,2.70697796900966,2.54864844071819,0.0232258319148033,0.999405676913117,-4.40478736766844
"25","GB44070",1584,233,906,1511,747,344,1266,751,311,487,87,80,1.51759608483536,6.37989323555711,2.56524612646302,0.0224905638911777,0.999405676913117,-4.29256118755127
"26","GB44079",3,1,3,15,1,11,11,12,13,19,7,8,-1.09966104743279,0.275927394659397,-2.48936493784733,0.0260453711366322,0.999405676913117,-4.511640450127
"27","GB44119",249,233,146,456,420,307,305,188,157,236,65,134,1.13629653796941,5.23247671658653,3.920526164834,0.0015477430472664,0.999405676913117,-3.93677034165644
"28","GB44140",641,184,451,683,428,252,734,455,191,413,118,238,0.761227753473405,5.92246551571184,2.49064516888693,0.0259811537943039,0.999405676913117,-4.27799162303619
"29","GB44399",6,0,17,13,3,3,22,24,11,51,2,33,-1.66130720048342,0.645886425882503,-2.7005790877003,0.0172785655097264,0.999405676913117,-4.49047587221291
"30","GB44659",8,6,27,34,4,19,35,31,25,72,16,36,-0.956131341860621,1.84944736861861,-2.76582328920401,0.0152050661184066,0.999405676913117,-4.43724217530836
"31","GB44850",53,28,66,82,45,79,117,105,84,236,36,103,-0.532180115828553,3.70256808560534,-2.62566506855847,0.0199989392488784,0.999405676913117,-4.31152812192673
"32","GB44887",23,24,20,19,26,24,24,17,6,15,10,16,0.979766757287942,1.65307483082267,2.65909830066691,0.018737132673464,0.999405676913117,-4.45475758337545
"33","GB44996",118,217,65,524,171,112,52,77,85,156,76,113,1.20607351150956,4.38221122467303,2.62298029948992,0.0201037581212935,0.999405676913117,-4.25598666706897
"34","GB45313",23,15,33,37,21,27,56,120,24,87,30,87,-0.86624484564779,2.75324412795232,-2.59330666476814,0.0212982187967059,0.999405676913117,-4.39929403788732
"35","GB45335",410,809,286,970,723,365,239,284,195,532,170,538,1.29121743389195,6.12471768335515,3.25277745716336,0.00580317112759786,0.999405676913117,-4.12755190751554
"36","GB45336",88,107,68,222,186,87,71,64,35,94,28,120,1.18599130880711,3.88177306225762,3.39877059230464,0.00434221656481662,0.999405676913117,-4.15196445939533
"37","GB45459",3012,3746,892,2013,3105,1598,1323,1863,745,2157,817,1559,1.14837561432122,8.20234602556306,2.48199547448261,0.0264179958809383,0.999405676913117,-4.39606129400665
"38","GB45875",61,23,114,96,62,51,137,112,92,184,50,144,-0.512791905082195,3.85306566215671,-2.71306617546648,0.016861512896726,0.999405676913117,-4.28138297695938
"39","GB45927",52,104,67,166,119,96,65,78,67,109,31,73,0.782663167458763,3.79786628789419,2.8289578127557,0.0134306594427758,0.999405676913117,-4.25975194951438
"40","GB45977",46,57,98,83,95,70,95,69,44,77,43,48,0.591079258819245,3.53709529580401,2.50013803421473,0.0255096962082294,0.999405676913117,-4.34558783480739
"41","GB46022",71,40,132,151,75,80,250,136,141,166,79,151,-0.428276895552971,4.27918810774973,-2.5156874414013,0.0247551192208349,0.999405676913117,-4.28628134905105
"42","GB46047",159,42,97,204,131,147,157,128,112,109,46,71,0.638199790729534,4.22439052638469,2.53076550678505,0.0240439059717093,0.999405676913117,-4.28041979980848
"43","GB46057",20,22,62,98,44,31,37,32,31,27,23,26,0.885333982133272,2.58577202720978,3.06631933918933,0.00840219292949278,0.999405676913117,-4.34982857232564
"44","GB46146",55,64,135,207,62,121,320,149,137,309,122,296,-0.735178987811412,4.61631855498468,-3.11872894590096,0.00757274205870929,0.999405676913117,-4.13663159998541
"45","GB46186",7,3,7,13,8,9,22,21,14,32,4,20,-0.81954258712345,0.99033599629794,-2.87801623056119,0.0121933385267779,0.999405676913117,-4.46739417392061
"46","GB46289",329,11,181,423,78,37,78,11,113,55,4,13,2.2528968096512,3.15431781918092,2.77612764819483,0.0149005812894995,0.999405676913117,-4.35193427299889
"47","GB46360",493,326,216,405,422,302,329,294,163,279,104,256,1.04549908860481,5.60718199027843,3.59899121938266,0.00291877780641417,0.999405676913117,-4.01315933215595
"48","GB46576",16,10,7,19,12,13,5,16,5,19,3,5,1.01614190229851,0.782489040410952,2.47883765984812,0.02657922321482,0.999405676913117,-4.50120994235441
"49","GB46626",13,4,15,16,15,9,20,48,23,86,13,63,-1.28092060364954,1.80520459936932,-3.20300626524969,0.0064061643830535,0.999405676913117,-4.40272073152685
"50","GB46702",7,9,19,16,19,10,4,13,5,4,8,7,1.33367479026182,0.713127580804426,3.03340904060144,0.00896840617835054,0.999405676913117,-4.46736719515474
"51","GB46737",1175,249,916,2247,1126,477,1435,253,145,1452,155,708,1.25662306486555,6.74429052481207,2.50186804347229,0.0254246645220602,0.999405676913117,-4.32416253226451
"52","GB46739",760,966,506,885,562,521,516,671,425,917,281,512,0.809983374970406,6.69899595570751,2.53820621612608,0.0237002121587981,0.999405676913117,-4.31283331095561
"53","GB46767",315,363,278,443,490,261,367,271,277,377,161,215,0.772143716349956,5.74225853166379,2.92317421939527,0.0111536802366173,0.999405676913117,-4.16669066698421
