"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB42626",523,413,2406,523,606,866,31,104,410,66,41,31,3.56414625512589,5.30101075276501,5.95099145616612,3.52625495439684e-05,0.332772680046429,-3.50109259217259
"2","GB47042",153,207,474,445,170,323,59,115,156,103,108,136,1.49200478567352,4.90257611698996,5.41054906556557,9.15179569588621e-05,0.431827479910391,-3.32479420750792
"3","GB53641",367,147,723,254,523,232,23,97,135,44,21,13,3.32430275329576,4.32144195702622,5.14285535210241,0.000148951504807816,0.468551783623788,-3.67289544218957
"4","GB40106",69,92,219,211,109,183,34,78,84,101,114,86,0.943045397889086,4.16976697695045,2.99031929283996,0.00972729997949789,0.996295637591106,-4.0028400277569
"5","GB40340",10,17,13,17,13,11,1,9,12,5,17,9,0.931484116072132,0.820356924184417,2.88844638874917,0.0119005294436593,0.996295637591106,-4.40154748606809
"6","GB40508",24,54,34,42,18,45,26,47,74,56,111,58,-0.581178052326293,2.95609333775883,-2.93895807214985,0.0107691009430288,0.996295637591106,-4.19741169967968
"7","GB40614",20,30,23,38,20,72,12,13,23,7,20,6,1.43720221212669,1.78433458428043,3.559317238359,0.00313764702652897,0.996295637591106,-4.24860653669241
"8","GB40671",17,28,17,31,9,30,7,13,21,3,16,11,1.10245661497178,1.37978574939194,3.30127087871786,0.00524260144289583,0.996295637591106,-4.31767918692852
"9","GB40684",359,393,1394,1455,128,576,22,437,403,297,125,15,2.25363707645043,5.42918980708322,2.81775209705071,0.0136821063688024,0.996295637591106,-4.05635483691024
"10","GB40699",7,10,13,44,31,16,0,9,5,7,3,4,2.21652255620362,0.499142247146657,3.45846564429057,0.00383422503525087,0.996295637591106,-4.36240237467985
"11","GB41723",87,132,100,34,46,65,50,95,184,138,298,311,-0.985248234756532,4.17178557493887,-3.03121067805056,0.00896951285662857,0.996295637591106,-4.00677607922866
"12","GB41921",30,59,50,46,30,29,24,89,109,76,104,77,-0.764676241988607,3.23309701357324,-3.92409480351684,0.00152478287419945,0.996295637591106,-3.95133838079518
"13","GB42004",10,14,35,43,9,29,4,12,12,7,8,11,1.34111875752106,1.23298222418065,3.30034645436358,0.00525225770512572,0.996295637591106,-4.33038566196401
"14","GB42212",28,28,31,47,27,31,8,22,39,12,31,16,0.795343389901441,2.11390470298085,2.82325412519542,0.0135345515265352,0.996295637591106,-4.31451437276094
"15","GB42217",894,1565,995,1007,1379,1013,1353,2538,4581,1992,5719,2054,-1.07030156349292,8.24461454089849,-3.82386730733695,0.00185780786002717,0.996295637591106,-4.02730788598531
"16","GB42218",3768,5346,3534,3048,4086,3221,3790,8726,12191,8369,18593,8521,-1.07611879738515,9.99545377084321,-3.94848008230778,0.00145338041186051,0.996295637591106,-4.16091119307188
"17","GB42549",3,43,24,26,10,15,27,115,100,67,40,61,-1.67101918248627,2.45245477677831,-3.5188948491024,0.00340008715584906,0.996295637591106,-4.18032444088213
"18","GB42551",93,123,55,43,67,72,56,128,291,162,302,207,-1.15140241810431,4.26093586767113,-4.21610060519247,0.000861240003516466,0.996295637591106,-3.68022533921068
"19","GB42594",93,99,200,377,56,407,11,72,240,67,69,40,1.54329450974626,4.07314922294402,2.91913767363255,0.0111998679970652,0.996295637591106,-4.0610180703255
"20","GB42907",53,106,22,31,51,67,41,65,116,130,257,201,-1.13440472917641,3.7099099412994,-2.83298342613401,0.0132774298527198,0.996295637591106,-4.12900359501314
"21","GB43079",16,12,34,22,7,16,1,6,13,4,13,15,1.28623043487841,0.917157119368451,3.1951443264666,0.00647556483151413,0.996295637591106,-4.36454489007503
"22","GB43140",13,16,20,23,9,20,3,10,17,0,12,10,1.52826427248651,0.794058774200765,2.80294209609339,0.0140871441357501,0.996295637591106,-4.41255579508377
"23","GB43285",133,312,322,1730,513,472,108,314,325,106,205,175,1.35741876035376,5.62096789916969,2.85335124661946,0.0127545450270977,0.996295637591106,-4.00835691177058
"24","GB43729",23,22,24,29,9,23,4,14,17,13,30,8,0.83443978414507,1.51027185177435,2.8222015325259,0.0135626593061133,0.996295637591106,-4.36492957092283
"25","GB43963",176,243,172,109,76,107,65,247,322,202,420,272,-0.573964604520727,4.93620937780032,-2.71531012629905,0.0167343925907688,0.996295637591106,-4.0359726860979
"26","GB44084",69,131,123,346,87,229,54,74,114,63,127,86,0.947554445591491,4.24394979964856,2.93898394007607,0.0107685495337448,0.996295637591106,-4.00923167632453
"27","GB44328",30,29,61,86,27,44,9,33,27,7,21,20,1.38095669270489,2.25669786307846,3.66205805569859,0.00255885527989678,0.996295637591106,-4.17478038252578
"28","GB44503",220,510,340,687,166,535,122,297,330,141,136,152,1.15304062905357,5.49332461788924,3.64263322421745,0.00265934860236786,0.996295637591106,-3.73935227894698
"29","GB45036",421,453,710,671,271,649,146,402,524,273,613,585,0.563722064015499,6.25959942671219,2.83620767651956,0.0131932801172351,0.996295637591106,-4.04914226553648
"30","GB45193",325,344,158,236,219,239,220,452,758,458,686,607,-0.858973665462781,5.93179926956881,-3.38495595172474,0.00443815353687521,0.996295637591106,-3.84892482699598
"31","GB45371",7,19,17,14,14,7,14,24,41,11,41,42,-0.927139633981761,1.66223544430048,-2.95191890494996,0.0104962764456959,0.996295637591106,-4.33737314398032
