"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40385",56,27,156,174,206,69,151,145,293,120,230,174,-0.755477025895217,4.4856763029817,-2.997695752535,0.00959495210021859,0.958780502463713,-4.16103136860339
"2","GB40625",25,17,39,48,51,42,52,58,106,34,166,79,-1.00435998117981,3.14733944745048,-2.76645665784285,0.015146967389193,0.958780502463713,-4.33876527419719
"3","GB41284",132,95,239,233,205,156,159,3327,619,603,530,198,-1.54945766034214,5.70267798743825,-2.82739985819597,0.0134350732887379,0.958780502463713,-4.21522110856034
"4","GB41361",49,72,434,90,19,28,809,2747,457,359,294,40,-2.61885241144263,4.83262760613993,-2.81266667215173,0.0138307253994793,0.958780502463713,-4.25190699140611
"5","GB41660",8,10,15,11,24,4,9,4,2,3,5,11,1.12324430321873,0.426581400229228,2.86755338451728,0.0124121716039045,0.958780502463713,-4.48735651523844
"6","GB41812",5,9,15,17,12,7,21,18,22,13,19,46,-1.01228650281391,1.40793994281546,-3.15395973161386,0.00703580339006287,0.958780502463713,-4.42600497098868
"7","GB42178",257,137,502,810,588,338,499,696,883,448,685,792,-0.659756421906699,6.43780003596212,-2.85542300535169,0.0127128667260957,0.958780502463713,-4.23141531486016
"8","GB42244",92,77,184,159,231,338,355,485,541,275,249,253,-1.03187424701874,5.35745395218373,-2.85921241007098,0.0126181737968171,0.958780502463713,-4.18256218590503
"9","GB42300",61,141,72,134,173,82,120,288,290,129,262,179,-0.956693288732791,4.64990547667541,-2.71351006288067,0.0168055352253466,0.958780502463713,-4.21754737143892
"10","GB42306",49,32,122,137,135,54,111,129,150,93,142,137,-0.570018589433325,4.10374884238057,-3.46996448727227,0.00375253073305785,0.958780502463713,-4.09672178678263
"11","GB42311",24,27,247,174,174,31,99,47,46,9,27,16,1.49949362209286,3.07373294625254,2.94466208129758,0.0106575951091814,0.958780502463713,-4.32638576099138
"12","GB42355",336,219,811,876,662,396,751,988,1172,962,820,784,-0.757465123323512,6.86391299647416,-3.61910555829949,0.00279054823545675,0.958780502463713,-4.12723318976289
"13","GB42409",7,2,124,31,42,15,86,265,55,65,58,57,-1.77141929914315,2.78393766913664,-3.16562273070805,0.00687454873964564,0.958780502463713,-4.33135879844568
"14","GB42529",19,13,83,61,78,20,67,107,75,63,88,63,-0.859836874883385,3.19781197517804,-3.6551606315646,0.00259802108501523,0.958780502463713,-4.20645769974792
"15","GB42621",482,389,2183,2016,1284,350,2815,10095,5365,685,1942,2776,-1.66143835150791,8.09589381573452,-3.66562440797883,0.00254470157505833,0.958780502463713,-4.21930421540583
"16","GB42624",115,89,294,158,284,85,242,396,174,273,208,230,-0.590035221533745,5.07590534214103,-2.73893025757982,0.0159882883629948,0.958780502463713,-4.19851492714754
"17","GB42634",114,70,253,214,275,108,257,398,300,147,195,236,-0.539535164497459,5.08357858398979,-3.04634114834261,0.00871255973132663,0.958780502463713,-4.12394670420445
"18","GB42835",2245,3601,6490,2200,2550,909,1149,1600,885,829,910,3258,1.20109812374773,8.29209609650642,2.81822100551827,0.0136802461279998,0.958780502463713,-4.34538596621544
"19","GB43465",81,37,67,124,266,41,30,39,31,54,55,72,1.01454119545019,3.40403142821074,3.0256895058351,0.0090769165924273,0.958780502463713,-4.27572337655293
"20","GB43474",2,2,10,11,4,3,11,8,15,17,21,10,-1.34414286567658,0.49139800953546,-3.33438583020086,0.00491410078456058,0.958780502463713,-4.45305866809631
"21","GB44055",36,11,125,99,96,44,107,362,177,63,102,94,-1.05648483384686,3.84904432810362,-2.77565132212836,0.0148756784239172,0.958780502463713,-4.27011592361415
"22","GB44095",16,18,39,22,25,17,22,7,6,13,11,10,1.05201280476096,1.45565119164035,2.89736620048752,0.011702483758202,0.958780502463713,-4.44381815709202
"23","GB44339",11,10,36,31,34,20,37,33,65,54,67,26,-0.912798124169007,2.44141549180742,-2.68525849036937,0.0177614730830255,0.958780502463713,-4.40679343955336
"24","GB44585",797,452,1926,1956,2594,799,2380,2645,2293,1189,1175,3468,-0.660469993551401,8.0885677731471,-2.77998153090168,0.0147495631027943,0.958780502463713,-4.34033951553756
"25","GB44871",44,137,889,159,229,220,1573,1614,546,1651,517,254,-2.05098896453668,6.10284609874242,-3.2389886762287,0.0059412256510763,0.958780502463713,-4.16366203178651
"26","GB44939",314,392,541,765,979,288,395,398,210,141,363,578,0.811573987233552,6.11165281868859,2.92541323661756,0.0110712891650592,0.958780502463713,-4.18534953860371
"27","GB45145",188,97,352,427,482,196,380,470,459,329,419,419,-0.574596466822944,5.81911410850797,-3.61270459408993,0.00282620571345443,0.958780502463713,-4.02919641896339
"28","GB45248",173,122,797,685,631,441,1291,1374,1474,774,824,1461,-1.47903073970699,6.87121922336409,-4.69056104152545,0.000347308288463971,0.958780502463713,-3.98402669440809
"29","GB45250",268,150,511,587,727,500,623,704,1554,850,1137,949,-1.05730387956645,6.74515970300301,-3.42183710325775,0.0041294005948817,0.958780502463713,-4.15247537737374
"30","GB45339",6,4,9,8,15,11,19,33,21,26,13,9,-1.07132123544016,1.16988994125905,-2.70035983048824,0.0172441079973674,0.958780502463713,-4.47156704470174
"31","GB45417",423,192,1074,826,1228,373,1241,1536,773,600,682,1128,-0.627974872717655,6.99775241007538,-2.86645971996369,0.0124389934935287,0.958780502463713,-4.26721918647265
"32","GB45514",55,35,94,105,95,31,86,151,91,87,75,93,-0.490529579675973,3.75490833591271,-2.68910316080642,0.0176283442451442,0.958780502463713,-4.28774657707844
"33","GB45696",20,15,127,81,76,117,263,504,319,73,137,325,-1.91210000556593,4.30207705280435,-4.17403929551899,0.000936610117419145,0.958780502463713,-4.00873372100303
"34","GB45833",22,9,49,47,51,15,74,53,58,40,64,30,-0.733192510205161,2.71159823485554,-2.7778696489001,0.0148109397910361,0.958780502463713,-4.37462592440009
"35","GB45910",189,102,272,516,493,94,278,514,674,361,230,520,-0.717769627239677,5.71671322191171,-2.71773827610469,0.0166668381043909,0.958780502463713,-4.22156093492399
"36","GB46039",2047,1040,4027,4550,3993,2126,2934,5477,8258,5922,7032,4542,-0.927065892849892,9.36879274126676,-3.20880766849344,0.00630883012780655,0.958780502463713,-4.34313959127608
