"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40280",2507,2386,2583,815,1853,2571,2959,8885,2054,2532,4602,4153,-0.663185722931296,8.44447326651269,-2.98406131790622,0.0104576917267775,0.99939816052988,-4.16090211842135
"2","GB40727",376,249,282,218,291,443,229,379,137,287,407,309,0.38320685098329,5.21007330771987,3.17274513935689,0.00726203630103898,0.99939816052988,-3.85180706853172
"3","GB40785",272,270,210,122,190,292,128,299,109,259,366,237,0.278870640418541,4.7923328088114,2.52042235620146,0.0254272471617184,0.99939816052988,-4.09497680228877
"4","GB41015",27,39,34,20,38,38,76,85,51,79,84,58,-0.83764809146868,2.62607770977653,-3.77222112627374,0.00228835953112933,0.99939816052988,-4.10475507762874
"5","GB41043",294,256,255,192,246,342,170,315,148,249,374,343,0.302749640667359,5.04198657787697,2.60534253347938,0.0216387313439733,0.99939816052988,-4.05668779071569
"6","GB41191",214,258,323,67,201,289,122,191,102,107,215,280,0.668672201196118,4.52637786500118,2.7071027442373,0.0178168817946201,0.99939816052988,-4.04506085178725
"7","GB41386",1066,935,846,564,1042,1154,645,1120,389,1029,1452,1037,0.337383100113316,6.83968689051667,2.88629104719575,0.0126279650986168,0.99939816052988,-4.06102864269721
"8","GB41798",1314,1603,1218,749,1131,1724,2189,2229,1157,1536,3189,2032,-0.411838599759326,7.6496260847522,-2.45330562429161,0.028866896289953,0.99939816052988,-4.24173575736372
"9","GB41896",46,51,46,28,41,60,30,56,21,45,61,57,0.315855020845902,2.48723880002224,2.42020531365938,0.030723731521182,0.99939816052988,-4.34982283700276
"10","GB41920",6,11,7,3,4,11,15,15,4,16,20,15,-0.710392988505078,0.295705726905154,-2.63566523563636,0.0204234013661997,0.99939816052988,-4.45846178868044
"11","GB41989",86,92,93,44,58,104,75,171,61,121,246,125,-0.410040258050012,3.62445165436348,-2.65662622002501,0.019622354621342,0.99939816052988,-4.17217086996502
"12","GB42110",327,212,238,172,284,400,184,292,103,268,352,281,0.434054056588149,4.98130762851144,3.3430477181039,0.00522475189150584,0.99939816052988,-3.79686334058368
"13","GB42276",54,117,53,12,70,82,22,31,37,55,34,63,0.900119214488367,2.55064577094226,2.38503419056438,0.0328218666229109,0.99939816052988,-4.35197895995511
"14","GB42469",43,133,88,9,80,37,45,351,35,140,339,210,-1.26951002373707,3.38628964357501,-2.52281076370253,0.025312427640792,0.99939816052988,-4.25026507867153
"15","GB42527",138,121,148,56,144,140,94,136,34,98,136,121,0.571824624074554,3.7723187298677,3.48150374603348,0.0039994729941533,0.99939816052988,-3.91957465414181
"16","GB42597",107,96,15,4,43,43,105,124,127,104,108,91,-1.22289811557081,2.95774978897888,-2.46243536054604,0.0283739965318804,0.99939816052988,-4.31156543840409
"17","GB42607",738,308,402,362,385,383,1982,1111,786,562,1341,666,-1.04486622379701,6.35039244263693,-2.79327721192112,0.0151026625546979,0.99939816052988,-4.0534807533294
"18","GB43227",78,60,28,34,68,55,48,51,17,56,12,9,1.34549229400887,2.22143999794062,2.71532363531573,0.0175386109362944,0.99939816052988,-4.32497243428425
"19","GB43298",29,21,19,9,23,30,27,40,21,55,100,47,-0.779588544869633,1.94771965662504,-3.27244292406923,0.0059886835496853,0.99939816052988,-4.27132426183755
"20","GB43518",33,47,19,22,22,55,10,3,11,25,10,55,1.56798350422701,1.39701137713108,2.7949218790716,0.0150550186175616,0.99939816052988,-4.38346122288267
"21","GB43691",31,12,17,16,22,21,9,8,3,23,15,21,0.989309833363012,0.939416734253899,2.76798229866043,0.0158543312262628,0.99939816052988,-4.41412839641432
"22","GB43693",32,46,20,10,41,33,7,46,8,27,20,25,0.802608280141942,1.54830404152816,2.50457633867256,0.0262018445277678,0.99939816052988,-4.40706661049858
"23","GB43696",13,10,11,4,11,18,14,30,10,25,28,23,-0.666358420295194,0.941410140360786,-3.4707032687218,0.0040836303452577,0.99939816052988,-4.34692574063338
