"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40136",1768,9561,23412,10108,9869,6711,9507,10304,410,617,3657,771,1.9395144947905,9.21111231984357,2.89005770887767,0.0119395837811562,0.985085740516752,-4.26232497305312
"2","GB40388",129,195,275,275,275,242,204,296,96,115,223,141,0.294855513015642,4.82877228122437,2.90536358001735,0.011584791639752,0.985085740516752,-3.99797101029686
"3","GB40493",22,101,58,102,71,91,31,34,9,18,115,13,1.22975601900401,2.61078783060998,3.07213650374291,0.00833234201659258,0.985085740516752,-4.26496982588004
"4","GB40541",38,38,27,76,38,89,87,160,49,60,80,76,-0.931252110697712,3.16950960745049,-3.43027460901172,0.00409602168541267,0.985085740516752,-4.11983960387894
"5","GB40683",109,616,452,607,493,412,170,336,99,78,315,161,1.07878678882577,5.24330541729392,4.00124777948965,0.00132921924396939,0.985085740516752,-3.66734177522704
"6","GB40689",6,6,12,20,11,27,20,50,14,10,21,20,-0.857198487204444,1.21284292679804,-2.85091162587822,0.0128962507321783,0.985085740516752,-4.40846732801939
"7","GB41202",38,98,90,79,117,111,55,113,17,25,54,35,0.810916314537037,3.12638461354723,3.72137517496014,0.00230285989650742,0.985085740516752,-4.07745190770822
"8","GB41263",7,5,14,22,7,25,21,28,12,20,19,24,-0.883147206300772,1.1877645355203,-2.59770907670741,0.0211601609407952,0.985085740516752,-4.43663026827745
"9","GB41282",58,46,89,98,52,140,115,188,59,73,108,124,-0.623486892842953,3.69894192911368,-2.65592057345957,0.0188947658057809,0.985085740516752,-4.20808918684158
"10","GB41290",83,100,160,230,146,189,218,322,127,121,162,169,-0.415137869119725,4.54507454932079,-2.77529126050287,0.0149616276237242,0.985085740516752,-4.06611823108279
"11","GB41413",3103,10377,12880,10501,13421,12720,7327,12511,3101,3432,9585,3452,0.629481599607491,10.0725120251185,2.60175937603951,0.0209943872880441,0.985085740516752,-4.35322839842232
"12","GB41646",195,591,926,757,972,487,460,1034,163,158,416,176,0.768283442091946,5.96506721629119,2.81790037037614,0.0137610787702377,0.985085740516752,-4.02765898668777
"13","GB41843",384,821,1144,1136,891,755,688,873,300,338,560,330,0.643456993793487,6.50579444370415,4.64592226460343,0.000384548954805744,0.985085740516752,-3.57937092980902
"14","GB42219",4,40,37,38,64,23,26,8,4,3,19,10,1.46392704290739,1.23655053002471,3.02069345905434,0.00922522851994119,0.985085740516752,-4.39361697771948
"15","GB42369",13,11,27,24,26,27,38,57,17,13,48,25,-0.680127832217244,1.85413430296483,-2.98110421746835,0.00997620850185556,0.985085740516752,-4.34630573501371
"16","GB42409",47,15,18,41,13,60,65,455,54,71,44,122,-1.99370833610069,2.89870665739325,-3.42803206014381,0.00411427378192568,0.985085740516752,-4.17824783478199
"17","GB42410",997,687,161,279,70,976,586,4400,1418,2820,540,2518,-2.29144118041067,6.77711358541433,-2.67172556641907,0.0183214100422529,0.985085740516752,-4.14725270603101
"18","GB42428",53,355,454,354,230,249,141,239,81,70,148,31,1.14820890087807,4.48749298162024,3.13825026196454,0.00730953671281876,0.985085740516752,-3.98692607357422
