"","ID","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB42111",279,131,132,233,248,197,121,111,147,140,148,161,0.840214489556177,4.63466984663326,7.60353232376155,3.13686360294528e-06,0.0203935159772102,4.81884516046234
"2","GB43579",196,97,87,188,140,66,676,507,246,372,372,675,-1.55893311582694,5.1314810616224,-6.71722364006589,1.20023555356637e-05,0.0203935159772102,3.58449996233118
"3","GB45312",727,347,364,603,758,493,325,354,372,421,342,529,0.768442396797234,6.09080953615955,6.84433047583021,9.8387350858859e-06,0.0203935159772102,3.79115440633378
"4","GB53644",115,84,61,147,105,105,540,278,278,244,253,275,-1.27799675932879,4.71038571898569,-6.7011404636161,1.23099694027426e-05,0.0203935159772102,3.55199563062959
"5","GB54163",101,42,30,86,71,34,378,233,145,181,240,217,-1.65767369082332,4.06995328144753,-6.85973642735823,9.60594029370805e-06,0.0203935159772102,3.69259393513163
"6","GB55426",659,348,257,603,489,293,1913,1246,889,1169,883,1885,-1.27840609607257,6.78052760460983,-7.11344156083,6.50502968974999e-06,0.0203935159772102,4.13087144714954
"7","GB52779",315,181,151,304,188,178,848,495,444,525,453,569,-1.04443411670471,5.6805551602999,-6.56873447457128,1.51815067060115e-05,0.0215577395225363,3.38112462694933
"8","GB41392",363,178,179,332,203,290,750,527,553,529,512,637,-0.90752568290694,5.84261087934541,-6.18887380879997,2.80756550352886e-05,0.0232560009208974,2.80155957498855
"9","GB43095",656,411,374,672,551,419,1295,961,849,948,966,1249,-0.709163338968211,6.76779874998732,-6.26141462858905,2.49271144103671e-05,0.0232560009208974,2.90188770757959
"10","GB48967",306,142,134,227,266,182,480,597,352,463,451,1012,-1.06200081380736,5.62274407473264,-6.19882024672541,2.76202818974521e-05,0.0232560009208974,2.81677342415985
"11","GB51720",61,26,41,48,57,32,19,21,23,31,23,25,1.16893995113692,2.27665435166551,6.28345887202172,2.40456457303371e-05,0.0232560009208974,2.51304794973091
"12","GB55490",176,102,98,170,129,155,1027,517,240,393,484,645,-1.57873009011675,5.30144977001797,-6.20624309037174,2.72855083353326e-05,0.0232560009208974,2.82338515652587
"13","GB43115",348,176,161,327,391,256,231,219,216,196,225,270,0.547835777790403,5.20475366668378,5.77937671799091,5.57050855928535e-05,0.0274611942222906,2.14871316603644
"14","GB44117",73,44,37,75,49,37,200,142,109,111,93,205,-1.13772141525022,3.6620595195819,-5.75550733377318,5.80166075118816e-05,0.0274611942222906,2.06088066869712
"15","GB44291",546,253,257,511,389,314,815,615,600,589,599,896,-0.574297477257357,6.22764098731518,-5.85216957146687,4.92332632545398e-05,0.0274611942222906,2.26880046806525
"16","GB45639",49,32,14,45,22,30,143,89,86,82,79,95,-1.33871814001717,3.00967771763794,-5.89049771011702,4.61472587032198e-05,0.0274611942222906,2.15694781996052
"17","GB46895",458,179,241,376,415,301,303,233,282,252,255,341,0.50791875645819,5.47664822999306,5.77264246667679,5.63472924933738e-05,0.0274611942222906,2.13650326428307
"18","GB51238",356,178,228,481,442,345,1455,686,521,1097,819,1057,-1.14130019447784,6.33709161560317,-6.00671230090293,3.79706842659324e-05,0.0274611942222906,2.51332585573253
"19","GB53690",535,240,223,416,318,313,934,587,636,606,612,720,-0.722016231866276,6.15006375154978,-5.88320112312426,4.67187186449776e-05,0.0274611942222906,2.31854462024244
"20","GB54355",684,281,300,607,481,336,1150,854,671,864,676,1222,-0.734335002388573,6.53227367099734,-5.76745837616356,5.68469528535756e-05,0.0274611942222906,2.13261966791745
"21","GB55479",458,228,247,374,507,323,272,226,255,247,296,384,0.633330782928006,5.54154582787105,5.90285254870389,4.51962997044636e-05,0.0274611942222906,2.3478469103739
"22","GB42189",455,294,227,382,603,308,257,242,273,247,251,370,0.736564033067433,5.56412993161706,5.70635257369646,6.30991008243226e-05,0.0278574215003068,2.02818799422485
"23","GB43143",331,136,163,389,277,167,714,553,338,492,660,937,-1.0349426141035,5.78708152072284,-5.67082579070963,6.70615175570632e-05,0.0278574215003068,1.97443224399084
"24","GB53017",312,176,148,245,214,190,589,477,330,370,391,665,-0.811858300662541,5.54628148050284,-5.66909251563033,6.72613798800165e-05,0.0278574215003068,1.97020354055941
"25","GB42184",1019,430,425,617,489,398,1547,1127,1066,1126,1200,1667,-0.923165986834619,6.96002585620617,-5.60149259697499,7.55634892572576e-05,0.028358207607444,1.8627624611969
"26","GB42904",5,10,13,16,4,6,52,65,25,35,41,56,-2.15254039894283,1.55187599476242,-5.38606685908077,0.000109956371137749,0.028358207607444,1.05205977252191
"27","GB43407",21,12,8,27,16,14,89,67,31,40,44,66,-1.43764844067552,2.13217941342423,-5.39956991603763,0.000107381083134692,0.028358207607444,1.25874784964982
"28","GB43786",320,132,147,233,145,187,843,459,407,428,424,437,-1.07102891807356,5.49985759929881,-5.46860892822124,9.51640401076109e-05,0.028358207607444,1.64022232182917
"29","GB44599",202,149,155,203,200,177,90,113,136,131,114,151,0.871311295524502,4.48592288529632,5.53618321854738,8.46070486398727e-05,0.028358207607444,1.75733590871596
"30","GB44826",218,103,109,192,245,159,107,118,120,138,138,155,0.676531034604077,4.45663397228294,5.5500330478084,8.25988345622061e-05,0.028358207607444,1.77996934894035
