"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB41361",667,885,85,457,359,294,68,44,44,19,28,40,3.51680703053014,4.14487266171878,5.26717968628231,0.000125149821288367,0.202274078792421,1.07567299950774
"2","GB42580",78,403,176,69,91,98,392,421,379,645,99,455,-1.38104149620511,4.95731396748837,-5.45255806395858,8.98274626660028e-05,0.202274078792421,1.550923747273
"3","GB45378",359,1542,1165,392,451,452,1078,1579,1650,2047,592,2292,-1.12703586593504,7.11639351966068,-5.26232033355419,0.000126250335249613,0.202274078792421,1.20847736535287
"4","GB48820",3034,5382,1526,1696,1687,1982,680,634,794,1035,567,725,1.74792815134487,7.58925797283286,5.55315740370396,7.51800853396695e-05,0.202274078792421,1.58535952370032
"5","GB48832",147,105,151,89,33,62,399,359,249,557,138,707,-1.99304971604412,4.71607431085505,-5.32895748301473,0.000111998145667028,0.202274078792421,1.32699840066206
"6","GB49441",556,1755,438,392,557,456,139,259,211,326,98,312,1.64246453696115,5.70729336310534,5.74676843507656,5.35823653468091e-05,0.202274078792421,2.00573041470088
"7","GB41284",744,1064,263,619,603,530,267,196,325,205,156,198,1.62404843481986,5.74548631225988,4.52455202715276,0.000494075686581175,0.228991413817547,0.0871702930818143
"8","GB42385",957,4856,4731,1319,2061,2157,6872,5240,5280,8145,2516,5030,-1.13501534147926,8.9976467033491,-4.52687360121752,0.000491908020568348,0.228991413817547,-0.053232362175951
"9","GB43282",260,519,470,203,137,198,198,179,233,132,51,68,1.16470710879655,4.77185329484741,4.6456078185363,0.000393166061836632,0.228991413817547,0.285343856430853
"10","GB43552",42,226,142,49,66,72,162,246,193,316,66,229,-1.0021113650437,4.20434620031498,-4.66532179101373,0.000378868256921126,0.228991413817547,0.28785472555018
"11","GB43586",37,218,121,86,52,73,135,192,210,240,61,175,-0.764078641692317,4.09002897227703,-4.67525690009349,0.000371867397839315,0.228991413817547,0.299786321565029
"12","GB44058",224,735,324,374,207,216,216,109,318,213,80,113,1.10209332327204,5.04444699576597,4.52985929658412,0.000489134669852392,0.228991413817547,0.0994200365949718
