"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB47504",179,216,368,210,116,216,159,236,149,162,149,127,1.29761449836679,4.76765312704449,8.23543544121832,1.07282079651582e-06,0.0103130263169066,5.77740487682636
"2","GB40006",239,150,663,212,64,462,13,31,22,30,50,21,4.10903520453241,3.5380791767412,7.74319210326755,2.17978022995293e-06,0.0104771136752688,4.73953504806238
"3","GB42507",15,19,62,30,14,31,6,16,9,9,10,10,2.26687983881072,1.25892589868436,6.44804183669585,1.63078210875089e-05,0.052255694704741,2.50318892394196
"4","GB41830",19,16,34,15,11,20,14,15,7,9,14,8,1.65820435012425,1.10803969343098,5.78139357793144,5.01949974986589e-05,0.0743033861521942,1.65107542189129
"5","GB44493",103,179,87,64,98,109,387,445,470,495,855,363,-1.33581677259531,5.0521310101508,-5.44126608246898,9.12161423933252e-05,0.0743033861521942,1.6745065435655
"6","GB45462",60,22,115,19,13,71,10,19,8,4,10,8,2.95390369857942,1.49899334877948,5.34649500955946,0.000108038287344323,0.0743033861521942,1.15238532770484
"7","GB47380",49,70,141,78,22,83,33,55,50,58,52,38,1.43783775396721,3.04702197288969,5.39284068509014,9.94409206906447e-05,0.0743033861521942,1.53136130772132
"8","GB47381",43,65,85,33,21,53,36,69,38,47,45,27,1.06912408426915,2.72275067352936,5.26305567056004,0.000125525123555476,0.0743033861521942,1.2907997916358
"9","GB47407",123,112,304,114,29,157,52,122,73,50,39,38,1.95715062657971,3.60193685615412,5.39764228236555,9.85919178701976e-05,0.0743033861521942,1.58143822145926
"10","GB49487",83,116,167,122,76,160,121,134,117,146,127,86,0.881800225185857,4.1469416105919,5.28156399837068,0.000121406943267393,0.0743033861521942,1.40705649900487
"11","GB50550",1696,1627,7164,1542,3429,2979,222,1381,2373,318,406,324,3.20360943700521,7.4963627651599,5.63679575215236,6.45800036846856e-05,0.0743033861521942,1.97567572035021
"12","GB50735",89,80,104,40,40,59,45,13,22,45,26,47,2.10888272594349,2.73059345854068,5.36095993392786,0.000105274765990427,0.0743033861521942,1.43763801923347
"13","GB50955",1042,1219,3462,920,1592,1717,611,2049,1554,718,749,448,1.73181085806496,7.42353742309545,5.20611830457311,0.000139130443226828,0.0743033861521942,1.27578760331769
"14","GB51355",19,21,30,21,19,50,15,18,18,19,18,15,1.46286366168997,1.66207030901106,5.35450009165945,0.000106499701039549,0.0743033861521942,1.23573959045312
"15","GB51509",18,18,43,11,11,26,12,14,15,8,15,6,1.67693877636821,1.16211941358482,5.34879756431169,0.000107593374931597,0.0743033861521942,1.09883938264794
"16","GB52013",29,54,62,17,31,41,131,224,154,157,146,88,-1.06656806112274,3.44092867579913,-5.21772388708795,0.000136237745701892,0.0743033861521942,1.26914035220811
"17","GB52318",531,448,1830,1417,709,562,167,858,113,152,202,341,2.72507320773553,6.01477039117221,5.65385267244702,6.2679194707547e-05,0.0743033861521942,2.02756120213898
"18","GB54355",275,563,434,245,241,340,972,1749,975,1124,1199,696,-0.757052336654404,6.48502605360681,-5.27224316360409,0.000123462988869636,0.0743033861521942,1.39133744977072
"19","GB52155",25,39,43,53,29,30,20,42,37,33,30,12,1.26753299928223,2.22673727604473,5.08272441314147,0.000174147286901735,0.0797179937612563,0.942206403883231
"20","GB52794",7,16,31,23,15,17,10,14,9,6,7,11,1.76276984562127,0.942179751899952,5.09990508296614,0.000168767988809778,0.0797179937612563,0.699561967432316
"21","GB53318",183,258,343,391,166,633,180,242,288,254,174,224,1.34927529910773,5.26724807243996,5.10234738918992,0.00016801743456793,0.0797179937612563,1.08907965489579
"22","GB50383",12,30,21,15,7,24,70,102,69,55,65,49,-1.01614645480775,2.33185242074264,-5.0294545961109,0.000191987538594655,0.0802424438482791,0.854682586334877
"23","GB53041",152,328,216,147,214,266,1114,915,756,775,1204,522,-1.08174847565337,5.9895602534742,-5.04879064914802,0.000185301919997271,0.0802424438482791,1.00821263417853
"24","GB43579",83,171,65,18,54,63,361,1293,357,413,751,248,-1.97973386179651,4.70292590862337,-4.99422243054295,0.000204821087962801,0.0820393799411004,0.918704717701086
"25","GB41724",56,176,103,34,30,87,254,457,302,250,344,215,-1.11898274464185,4.39971511166027,-4.69772853723977,0.000355262978383881,0.0829246687334503,0.405823967869977
"26","GB42038",115,136,173,92,77,130,147,139,143,135,144,106,0.733001197223188,4.23454163568963,4.81977564669367,0.000282829562547012,0.0829246687334503,0.611254869444862
"27","GB42637",212,76,137,96,93,150,28,204,27,67,37,15,2.27549222303168,3.42711743489803,4.92366349096057,0.000233271049613052,0.0829246687334503,0.789091084176708
"28","GB42804",220,387,169,129,115,303,785,1674,676,623,1128,599,-1.13491652779412,5.94944379123279,-4.63887039998704,0.000396810024106805,0.0829246687334503,0.288699313435818
"29","GB43213",72,83,165,96,44,119,80,116,89,86,104,66,0.953409593016589,3.74082938874416,4.8090537701227,0.000288531086344749,0.0829246687334503,0.601645575342266
"30","GB43507",248,353,441,291,235,382,397,456,411,393,452,296,0.606947915290013,5.73112568009847,4.71740528871022,0.000342398637984339,0.0829246687334503,0.412288784762185
"31","GB44029",52,70,72,59,30,59,47,78,61,81,55,53,0.790659754180227,3.12967389149744,4.74186806245304,0.000327074083024606,0.0829246687334503,0.477165949583467
"32","GB45408",91,227,154,108,70,136,369,692,347,354,596,302,-0.828040016931398,5.0881610659162,-4.87783023694764,0.000253921517537162,0.0829246687334503,0.708670953841297
"33","GB46725",7,21,12,11,9,13,57,145,42,72,78,29,-1.48754186416573,2.03422697784789,-4.74467828028633,0.000325359654688579,0.0829246687334503,0.362945048091293
"34","GB47118",47,160,15,20,18,24,229,415,169,219,371,156,-1.9556668677268,3.72450945622466,-4.68974132181467,0.000360626545562998,0.0829246687334503,0.39125733741055
"35","GB47382",302,561,913,701,176,565,269,619,512,438,279,244,1.27080620058622,5.96401213648029,4.91828702410412,0.000235600523611816,0.0829246687334503,0.772986429328338
"36","GB49387",11,22,30,74,21,25,23,15,16,6,6,5,2.20109307803214,1.31565894563286,4.67981008344564,0.000367412519380993,0.0829246687334503,0.171726691998867
"37","GB49946",9,16,7,8,6,9,34,54,32,40,33,33,-1.08700539352398,1.47637944031632,-4.73745849202826,0.00032978308833602,0.0829246687334503,0.271887875082766
"38","GB50218",130,125,845,326,386,635,16,371,135,96,31,17,3.24837010352588,4.37110917821144,4.64665223856503,0.000391040654658676,0.0829246687334503,0.319427587552716
"39","GB50387",25,68,31,32,20,50,128,260,121,139,184,77,-1.08008786834011,3.39829783260323,-4.85437700868201,0.000265212723843424,0.0829246687334503,0.668365596100323
"40","GB51104",579,1274,571,476,407,786,2597,2633,2408,2171,2276,1430,-0.875859517126034,7.46738854668188,-4.8155580954383,0.000285058261776552,0.0829246687334503,0.61294666345908
"41","GB51306",2148,2609,7029,2179,1991,4640,1119,8134,412,808,640,646,2.51485728123171,8.05526352262629,4.66500103790764,0.000377777567828522,0.0829246687334503,0.353172647238264
"42","GB52331",7,15,9,5,3,7,40,64,47,29,29,19,-1.3464219636561,1.28039322867781,-4.89610046358596,0.000245471449683627,0.0829246687334503,0.463982739939918
"43","GB53346",6,9,4,6,3,3,20,30,27,22,34,17,-1.28737419222319,0.778596452100687,-4.66097516681911,0.000380647239950545,0.0829246687334503,0.0473643427430934
"44","GB54163",35,134,58,27,22,58,195,451,191,225,367,141,-1.38012220921323,3.98663396648109,-4.89169443225049,0.000247482220962432,0.0829246687334503,0.742056016829125
"45","GB54723",23,21,29,5,10,22,96,199,71,82,156,57,-1.69449989876694,2.60099243500379,-4.71874799593817,0.000341538546706735,0.0829246687334503,0.383966044040657
"46","GB55501",98,156,116,62,63,130,323,475,363,390,337,168,-0.784709971854586,4.75085833177072,-4.68060727323281,0.00036686296260053,0.0829246687334503,0.364672509958682
"47","GB52776",294,610,168,195,153,251,955,1526,863,1129,1345,780,-1.18043421605052,6.26536189036449,-4.62711879528913,0.000405689704275403,0.0829764920680734,0.27134050008697
"48","GB45646",153,236,152,114,106,166,467,621,393,439,475,303,-0.627461406311252,5.26261508202625,-4.59550956623373,0.000430606855448037,0.0862379937796245,0.202089017592846
"49","GB41340",59,87,111,95,77,110,81,126,82,71,98,94,0.882880879790297,3.7450833412963,4.48334747141645,0.000532520858151248,0.0872467759311147,0.0325721796939318
"50","GB44155",49,137,28,31,20,38,151,416,184,186,249,155,-1.38024172716609,3.79475676552148,-4.53227962694196,0.000485303452965084,0.0872467759311147,0.123677730956846
