"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40365",89,147,262,272,112,150,251,275,209,276,86,162,-0.36946594103989,4.72113909697815,-2.99319480168284,0.00991007201169431,0.882827803124774,-4.07881059317075
"2","GB40450",2,15,36,20,3,7,17,24,29,43,10,21,-1.11812887033574,1.12802617286305,-2.78927188825386,0.0147673561761669,0.882827803124774,-4.44560599084409
"3","GB40878",81,182,313,233,123,99,317,259,197,347,73,178,-0.490604595063735,4.7326427638636,-2.82560259629681,0.0137571659415097,0.882827803124774,-4.1246817738962
"4","GB40928",66,107,216,159,58,126,209,255,124,229,56,123,-0.499927280210361,4.26014664967877,-3.58953484013566,0.00306987100407965,0.882827803124774,-3.97960361707355
"5","GB40967",1610,1823,6447,1425,562,2222,1153,703,497,2077,468,594,1.10892936919515,7.47320662639455,3.11668306785517,0.00777589523296874,0.882827803124774,-4.15448964526569
"6","GB41110",136,109,118,179,22,260,53,53,22,120,15,19,1.44971670129312,3.24990009005234,2.86604776659674,0.0127121703780701,0.882827803124774,-4.27956510119812
"7","GB41204",12,18,48,38,11,25,48,45,31,47,14,28,-0.601886442756639,2.03100968866581,-3.18527144145118,0.00679479104439482,0.882827803124774,-4.34284304775723
"8","GB41205",45,79,138,109,47,77,128,139,69,146,49,76,-0.358849868087136,3.66631509082052,-2.77090091054476,0.0153054512497888,0.882827803124774,-4.23315487218277
"9","GB41540",4,11,5,5,17,80,33,41,68,52,8,56,-1.940435474175,1.61200034334141,-2.88357834957397,0.0122838227671881,0.882827803124774,-4.41280568103349
"10","GB41708",1712,223,2268,181,261,320,191,250,29,168,73,53,2.22803621861582,5.03607301668322,3.24544697941681,0.00603623187012298,0.882827803124774,-4.06433548800773
"11","GB41796",74,78,262,163,57,109,196,231,144,201,61,127,-0.504138551993673,4.23945636340525,-3.19536453015107,0.00666122483316011,0.882827803124774,-4.07201437626174
"12","GB42012",42,35,94,65,17,52,94,102,47,94,34,47,-0.567093455295103,3.01341155346385,-2.71259382574798,0.0171432350918269,0.882827803124774,-4.31513676224189
"13","GB42150",719,1389,2431,1499,682,1505,1161,1377,544,942,266,815,0.68067859066535,7.17654131586317,3.52708520839836,0.00346989299008184,0.882827803124774,-4.04614461943623
"14","GB42376",35,59,100,99,17,44,81,107,82,114,43,71,-0.647517307562965,3.24607712378362,-3.04421087610563,0.00896583528419,0.882827803124774,-4.23215471542362
"15","GB42477",3,12,32,15,6,5,34,38,21,19,10,11,-1.05470844849374,1.05840916050548,-3.15917457043212,0.00715264668783732,0.882827803124774,-4.4183829211727
"16","GB42549",22,38,114,50,67,61,28,24,26,40,10,15,1.15578076995337,2.35397292194361,3.97448005369478,0.00144950812416786,0.882827803124774,-4.22885157554984
"17","GB42607",362,385,1341,666,587,695,562,383,192,458,305,188,0.881994661275918,6.0479173571,3.11406863825055,0.00781596033873722,0.882827803124774,-4.05619703623059
"18","GB42656",15,18,42,29,4,26,38,56,39,43,15,40,-0.959564870550325,1.9659725985079,-3.24259267830105,0.00607022307433692,0.882827803124774,-4.34448700656784
"19","GB42751",16,8,76,28,5,16,70,38,51,49,12,38,-1.12471411804319,1.95576702753788,-2.88995050445975,0.0121316667101202,0.882827803124774,-4.38518953317505
"20","GB42957",12,15,58,32,19,6,37,43,66,59,13,44,-1.07188547117362,2.03662635768558,-2.86912130020439,0.0126360238315545,0.882827803124774,-4.38101011064088
"21","GB43421",12,23,51,24,12,14,39,49,43,34,11,34,-0.718876548282831,1.93571586129487,-2.90512976503359,0.0117766417748729,0.882827803124774,-4.38247100933768
"22","GB43441",31,33,81,22,8,35,66,96,46,55,30,54,-0.948076223847511,2.57598351183393,-2.96213743835335,0.0105323818006253,0.882827803124774,-4.32186454443462
"23","GB43463",7,5,19,12,6,7,17,24,18,15,7,12,-0.803425805419062,0.789308855271513,-3.00582736124065,0.00966747427835097,0.882827803124774,-4.44325161611054
"24","GB43509",24,15,107,158,7,172,643,1347,226,161,538,574,-3.32163954086486,4.43306469112188,-4.70819870073884,0.000359292365374431,0.882827803124774,-3.94562873816291
"25","GB43772",9,2,29,12,0,17,39,57,24,16,14,11,-1.79463963836116,0.87716346519656,-2.70924224986513,0.0172551732834507,0.882827803124774,-4.46284749701016
"26","GB43968",38,77,123,122,34,52,126,110,83,143,43,77,-0.494611302735786,3.53330561246047,-3.078471539475,0.00838232250297004,0.882827803124774,-4.1870570659366
"27","GB44052",88,162,198,248,48,147,268,293,143,310,112,165,-0.648598596428063,4.6008923867769,-3.25976816692002,0.00586853466640931,0.882827803124774,-4.02371624202963
"28","GB44614",113,232,322,242,248,216,174,229,78,233,96,75,0.669524396108929,4.67087981466207,2.8096949870187,0.0141908686387792,0.882827803124774,-4.13548391635837
"29","GB44886",212,343,612,596,167,217,592,725,391,531,203,360,-0.531040703860279,5.7867302101548,-3.30023005240848,0.00541949523988443,0.882827803124774,-3.9894418368613
"30","GB45009",285,427,743,608,568,350,553,499,230,443,120,249,0.57307371805197,5.83275850482027,2.73431952552318,0.0164345956090836,0.882827803124774,-4.14485940415157
