"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB45950",924,1237,3240,1544,1546,1316,1062,1096,414,623,1131,953,0.789714737915716,7.35895821132954,5.24869098184713,0.000128720136834752,0.794261991479279,-3.28242782621704
"2","GB55242",353,838,1712,1096,1048,1404,382,582,207,388,605,381,1.17111820109012,6.5155401540018,5.12273570491883,0.00016176415305077,0.794261991479279,-3.11730942997468
"3","GB42434",10881,18407,53868,30329,30899,16959,11854,20955,3312,10362,12347,8488,1.17578946136776,11.1257930272179,4.01989789349988,0.00129815054333736,0.857343640106702,-4.08522613153255
"4","GB45115",744,1467,3348,1755,1830,874,1027,1425,559,622,925,902,0.660663573258599,7.37646448343384,4.14964522172011,0.00100931114822006,0.857343640106702,-3.55179519872012
"5","GB45400",171,670,1621,970,996,1004,237,504,96,204,414,353,1.35892947086347,6.03554782736518,4.34784443843067,0.000689216710316743,0.857343640106702,-3.27893826367286
"6","GB46650",2,5,22,10,9,7,23,18,9,11,19,19,-1.07522151470976,0.726975968578362,-4.05984093895816,0.00120118670316913,0.857343640106702,-4.23722297969791
"7","GB47375",4,3,26,2,6,8,21,35,17,14,30,19,-1.87483966472341,0.782622802647486,-4.57246280229828,0.000449498466872774,0.857343640106702,-4.18869240354919
"8","GB47975",82,418,327,234,263,223,98,134,46,170,83,97,1.23798724087884,4.46536284113743,4.02717094958786,0.00127991725342932,0.857343640106702,-3.48306040356805
"9","GB48391",9729,12443,38179,19285,17991,13108,2297,12762,2579,7769,5380,5661,1.58800920213035,10.4033092996409,4.01538866181675,0.0013095880449695,0.857343640106702,-4.01945724880022
"10","GB50026",1608,611,4523,5974,2822,1040,793,1038,211,248,1467,613,1.77461115783854,7.33270277771091,4.12621461200013,0.00105612730568664,0.857343640106702,-3.56304969298135
"11","GB52492",38,41,117,70,94,49,124,167,84,61,96,122,-0.789177374668314,3.57225238394459,-4.4321868287903,0.000586646103421052,0.857343640106702,-3.60214824164111
"12","GB52885",6,4,17,14,12,8,36,37,8,10,28,53,-1.45906043088429,1.15489628611461,-4.373593312403,0.000656080923384365,0.857343640106702,-4.1587035732044
"13","GB54272",11,4,19,5,4,10,20,44,14,11,32,21,-1.58982260822971,0.955087610870252,-4.01573785538135,0.00130869866331262,0.857343640106702,-4.21919463148786
"14","GB54508",540,1212,2185,1454,2061,838,792,1312,345,387,900,957,0.740171245831088,7.09806852795787,4.07682639870014,0.00116222753525739,0.857343640106702,-3.51908145275221
"15","GB55499",134,456,1505,814,882,240,229,262,98,208,211,197,1.25121742280824,5.51490050395799,4.15896340459603,0.000991288317637452,0.857343640106702,-3.30624413770914
"16","GB52600",40,44,96,42,51,60,92,114,60,52,101,91,-0.740525888488723,3.28371267395511,-3.89253170421912,0.00166415307470278,0.907887955198962,-3.81039754041081
"17","GB54051",336,632,998,784,938,560,433,579,246,348,577,603,0.50508762069409,6.31836184054141,3.91502821405203,0.00159258465266562,0.907887955198962,-3.42329935025876
"18","GB54516",33,88,244,114,97,54,55,83,20,30,29,53,1.07286774343209,3.13080420963401,3.92833204134537,0.00155174447348502,0.907887955198962,-3.85108058769579
"19","GB40243",41,45,112,73,74,46,109,124,58,63,86,90,-0.549489807854305,3.41499621738645,-3.74767974442662,0.00221037330004332,0.953462102090372,-3.81001171355242
"20","GB40740",10,17,27,17,19,32,43,56,18,13,37,40,-0.836548285480403,1.86109769818703,-3.21849687622676,0.00628138230189009,0.953462102090372,-4.21064729729515
"21","GB40764",81,133,350,180,133,122,347,315,106,102,282,490,-0.749755821807585,4.78247352000638,-3.15051642003912,0.00718494863082358,0.953462102090372,-3.71745954363576
"22","GB40806",88,669,1552,1179,1384,614,146,428,95,150,335,311,1.46343547477604,5.79804523414767,3.40572504950892,0.00433766056858349,0.953462102090372,-3.61825647610718
"23","GB40955",228,426,901,591,760,548,360,537,248,217,467,449,0.461350363946459,6.00258330144209,3.2450861675531,0.00595962315962629,0.953462102090372,-3.65089477627948
"24","GB41010",3,1,36,11,7,4,20,25,9,9,27,30,-1.52512023749711,0.684789676337865,-3.37448663581456,0.00461399889860147,0.953462102090372,-4.31278235880326
"25","GB41358",3318,7833,18280,9531,8592,6650,6828,8444,2488,3004,6957,4442,0.627542424007032,9.83916894505028,3.16976446922761,0.00691672433165584,0.953462102090372,-4.12101083923291
"26","GB41362",15,29,59,60,64,41,30,36,15,16,23,24,0.740555307538019,2.17685543548383,3.59623388274017,0.00297780431718306,0.953462102090372,-4.10266632380661
"27","GB41369",22,182,484,363,378,145,37,203,12,37,88,65,1.77280336933801,3.85393577130853,3.32800372966636,0.00505822149425711,0.953462102090372,-3.87661805895676
"28","GB41756",48,81,40,20,35,85,99,101,96,64,131,101,-1.26530561277624,3.30171412766105,-3.15162373479997,0.00716924126027659,0.953462102090372,-4.00486499602231
"29","GB41757",83,63,90,41,86,43,175,116,78,75,89,202,-0.966189254677244,3.66000049217475,-3.18206444636391,0.00675056637346664,0.953462102090372,-3.91940166253726
"30","GB42152",609,1179,3010,1578,1602,814,1095,1330,500,575,852,842,0.542226561649867,7.23446571574775,3.4666151579439,0.00384588218957114,0.953462102090372,-3.73695214025326
"31","GB42230",207,561,787,693,703,535,432,501,237,271,411,425,0.461127163553402,6.02751605876749,3.3618278965572,0.00473094756420707,0.953462102090372,-3.60305918721475
"32","GB42917",94,115,159,92,123,136,196,224,116,151,171,189,-0.66386506912596,4.38544776155143,-3.37718470086977,0.00458944997605711,0.953462102090372,-3.68838986927725
"33","GB43225",523,1015,2138,1225,1510,858,659,991,529,547,892,879,0.48707533198256,7.04093486898111,3.40163605097869,0.00437286526517107,0.953462102090372,-3.72905593191632
"34","GB43515",7,13,28,10,5,28,21,78,49,52,24,45,-1.69708026778979,1.7636105374912,-3.25269213428252,0.00587064684208715,0.953462102090372,-4.2273948836025
"35","GB43960",6,9,31,18,13,20,39,43,10,11,40,32,-0.924981709700283,1.50578238524944,-3.29950104008786,0.00535155057222329,0.953462102090372,-4.24084516987258
"36","GB44058",224,216,735,318,297,235,109,324,78,163,160,190,0.887322957368,4.99704901534302,3.44299080178188,0.0040296546475238,0.953462102090372,-3.58414898030583
"37","GB44100",11281,40479,109527,87305,93320,26086,19808,49430,5848,14779,24341,19278,1.23067656443804,12.0780987778133,3.16406322104972,0.00699511627200702,0.953462102090372,-4.27395472558224
"38","GB45552",20,19,41,36,33,26,18,21,9,11,26,19,0.650794266655529,1.68494877322573,3.30518176888892,0.00529176061987934,0.953462102090372,-4.21896112759071
"39","GB45565",430,1032,2716,2737,3039,1368,722,1293,247,831,386,698,1.1978767681246,7.15835112066227,3.27380593530385,0.00563054623977798,0.953462102090372,-3.79800886142209
"40","GB45758",266,665,1416,1400,925,719,571,630,250,335,525,732,0.606660190720723,6.48917707063899,3.26118905288435,0.00577281604055372,0.953462102090372,-3.70206167932524
"41","GB45879",79,118,219,157,187,112,136,144,49,54,121,108,0.43198606093505,4.06600449914636,3.45121490358784,0.00396469851551241,0.953462102090372,-3.73508708995455
"42","GB46113",121,139,280,204,214,120,269,321,165,129,274,240,-0.475511648616297,4.84269713723233,-3.83432120901676,0.00186492646378244,0.953462102090372,-3.4243268311645
"43","GB47090",4,13,9,28,42,5,72,40,9,22,47,42,-1.50876726449626,1.5758554991545,-3.39843115547318,0.00440065862619236,0.953462102090372,-4.22372180408738
"44","GB47580",79,145,453,352,419,236,141,176,62,139,163,124,0.855333923997043,4.68255699888921,3.69402532686894,0.00245620266556791,0.953462102090372,-3.52727124378856
"45","GB47723",8078,20875,43573,40733,30532,13502,12424,22197,2646,5721,13801,9396,1.23466655681565,11.0260011010317,3.80267777263024,0.00198423673488394,0.953462102090372,-4.1083464595223
"46","GB48270",74,56,86,45,47,60,138,124,69,50,98,109,-0.81232839362868,3.45960432380766,-3.22672653714945,0.00617998455796839,0.953462102090372,-3.94487987899464
"47","GB48382",225,494,1042,516,667,669,451,322,182,215,378,518,0.673179286449654,5.94743682327343,3.54916696578252,0.00326746123810095,0.953462102090372,-3.52347928851225
"48","GB48949",269,441,983,720,673,453,535,592,252,258,404,333,0.443108485797055,6.05197333213942,3.41912330431121,0.0042242889462865,0.953462102090372,-3.58098418477812
"49","GB49156",212,290,452,344,334,264,280,282,141,176,234,196,0.463360462285536,5.23065310478098,3.47600582647236,0.00377519631787736,0.953462102090372,-3.53295756311062
"50","GB49345",4,8,40,19,29,23,46,51,13,17,53,63,-1.15487182351565,1.82974005439796,-3.48749005992941,0.00369052661138488,0.953462102090372,-4.17464029846272
"51","GB49347",344,1230,1731,1450,1233,669,645,939,245,400,671,707,0.723584043286593,6.75492749837524,3.6388607623507,0.00273790346082336,0.953462102090372,-3.60033706407901
