"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40007",134,193,147,259,102,97,24,139,53,129,50,76,1.20673296088467,3.95849718295658,3.29738174319048,0.00530354029515635,0.923266068000677,-4.14587185017241
"2","GB40139",199,377,113,53,171,83,480,349,489,418,178,132,-1.23768764616662,5.00136810666632,-2.7693361969929,0.0150868956917428,0.923266068000677,-4.17570712746231
"3","GB40999",33,26,82,68,60,28,6,40,19,52,20,9,1.19244138421959,2.21384751706013,2.73444548903809,0.016155915287336,0.923266068000677,-4.40925355963114
"4","GB41192",18,8,19,15,18,16,5,7,9,14,7,2,1.1518478828229,0.700170639155656,3.63384324995566,0.00271923924022322,0.923266068000677,-4.42014014061396
"5","GB41196",291,334,300,494,265,259,124,362,296,421,95,102,0.68183683943522,5.28225686165943,3.25375929616636,0.00578391831181366,0.923266068000677,-4.0293231046431
"6","GB41279",29,25,24,54,20,33,57,73,73,63,38,20,-0.724240847017089,2.59417481362023,-3.4733566496373,0.00373849766939045,0.923266068000677,-4.29204598737206
"7","GB41378",300,187,279,528,285,301,149,369,294,393,133,60,0.587392522707612,5.2344803591389,2.83615338642364,0.0132289834447687,0.923266068000677,-4.13599621575089
"8","GB41629",36,23,43,97,35,38,12,34,32,51,11,8,0.985006754316216,2.18284422498889,3.31647381197232,0.00510604046023115,0.923266068000677,-4.34843017500126
"9","GB41747",11,12,18,20,8,10,1,5,5,17,7,1,1.48077972568973,0.270816805568122,3.36782861702493,0.00461055536221524,0.923266068000677,-4.45135846992418
"10","GB41893",65,43,60,93,59,46,27,53,43,81,26,22,0.646000146778562,2.90175072544184,3.0721530726286,0.00829572835989499,0.923266068000677,-4.30913915084143
"11","GB42194",18,33,15,21,16,19,2,6,10,21,12,5,1.33632728496643,0.986722816146411,3.19829446344342,0.00645789116951421,0.923266068000677,-4.43507981787028
"12","GB42552",8,12,13,12,13,14,43,46,63,131,10,19,-1.79101855209499,1.77841607336298,-4.63008364467696,0.000391751958332978,0.923266068000677,-4.28770191091238
"13","GB42553",16,22,19,12,18,20,36,54,55,98,25,35,-1.3942044403105,2.17831633841258,-4.67323738369254,0.000361001234622288,0.923266068000677,-4.23728947205325
"14","GB42607",672,302,192,458,188,695,315,1447,1564,1057,587,305,-0.970563737623397,6.32390692770099,-2.74606188999592,0.0157920521361993,0.923266068000677,-4.18838414628366
"15","GB42617",16,19,13,27,12,19,2,27,12,19,2,3,1.1865494161441,0.822313935998247,2.78450418013176,0.0146439725911238,0.923266068000677,-4.47074617067861
"16","GB42889",72,45,140,125,61,113,28,59,77,104,41,25,0.784114893485308,3.35266906005008,2.77301134066206,0.0149783919657222,0.923266068000677,-4.309833394777
