"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40139",199,418,113,178,53,83,480,377,349,489,132,171,-1.365586885937,5.00136810666632,-3.28697639777221,0.00534973850885407,0.999176354679159,-4.05545407527667
"2","GB40145",490,629,315,213,226,326,743,650,560,642,256,529,-0.896519314532735,6.06281017340245,-3.74929655856347,0.00212858114308394,0.999176354679159,-3.9542509312097
"3","GB40261",4829,3382,2607,1952,4137,1638,1303,1276,2528,2792,788,1395,0.686902043670491,8.3609603308201,3.08675905293648,0.00797664088785312,0.999176354679159,-4.25076830088773
"4","GB40288",261,296,143,141,298,185,129,120,177,83,43,80,0.911644787006684,4.48154638653094,3.96691830994067,0.00138368987125897,0.999176354679159,-3.96011759269236
"5","GB40377",33,20,19,5,18,18,33,41,25,55,11,21,-0.955775246043787,1.77965119501316,-2.9345634565909,0.0107964524636047,0.999176354679159,-4.41412232491701
"6","GB40923",74,102,66,40,59,60,125,112,104,101,37,98,-0.715999036215346,3.58558236656344,-3.19256816356066,0.00645926852337046,0.999176354679159,-4.21340017165216
"7","GB40997",335,542,454,238,503,425,123,308,188,427,148,195,0.725572992633104,5.51334739172898,2.87502528637419,0.0121491097314245,0.999176354679159,-4.14174379551668
"8","GB41179",37,65,65,9,21,25,123,67,76,91,33,84,-1.46720229775475,2.90151312295661,-4.12788320621692,0.00100835908257704,0.999176354679159,-4.18979538425939
"9","GB41182",153,680,171,127,106,82,539,446,446,508,158,187,-1.29199261705047,5.21919449407728,-3.47386918005405,0.00368364155407201,0.999176354679159,-4.00257810455595
"10","GB41289",128,514,254,20,114,73,472,180,360,628,145,257,-1.46230661894085,4.88951597748249,-3.25540629859329,0.00569782177195244,0.999176354679159,-4.07874488400923
"11","GB41326",16,43,49,55,55,23,66,197,87,130,79,50,-1.54994414240244,3.19182947334232,-3.70015379095269,0.00234688822845823,0.999176354679159,-4.20080308285343
"12","GB41643",225,320,135,276,72,60,404,565,754,354,163,282,-1.61623471275373,5.22262576176484,-3.71597825257029,0.00227422219450353,0.999176354679159,-3.96022547115682
"13","GB41747",11,17,18,7,20,10,1,12,5,5,1,8,1.38442668825387,0.270816805568122,3.01485038174661,0.00920441853252009,0.999176354679159,-4.47261444767117
"14","GB41758",47,120,31,50,15,21,133,113,116,112,28,56,-1.40440847278631,3.13563451523088,-3.39316722801902,0.00432752809174706,0.999176354679159,-4.24606932766455
"15","GB42584",8,9,9,5,5,3,9,20,17,10,9,35,-1.3731382142783,0.645410554470215,-2.91203537840072,0.0112899211761128,0.999176354679159,-4.46982949375851
"16","GB42596",171,251,103,192,27,60,431,423,330,410,104,158,-1.69688523882311,4.73620148994294,-3.38438163785072,0.00440411269457372,0.999176354679159,-4.06315709769534
"17","GB42728",253,272,156,107,385,241,136,134,133,131,105,123,0.624111138941285,4.70538078017733,2.82890122448171,0.0133099898938159,0.999176354679159,-4.17197861290206
"18","GB43087",93,253,106,38,34,35,161,146,346,165,47,164,-1.32607622644593,3.99770714247171,-3.17025883766193,0.00675329399127523,0.999176354679159,-4.17534252426829
"19","GB43211",56,64,49,23,39,55,89,74,65,79,44,76,-0.804024928646544,3.15054965564745,-3.17961503709577,0.00662839780202964,0.999176354679159,-4.26994989008543
"20","GB43218",459,715,299,190,538,406,641,610,537,705,241,397,-0.5474053328099,6.11998375720958,-3.26270756005356,0.00561536318012137,0.999176354679159,-4.06308375243098
"21","GB43672",12,27,14,1,2,0,17,11,31,21,9,23,-2.12917934241997,0.496635795483324,-3.06008471222467,0.00841193027126843,0.999176354679159,-4.46336331249853
"22","GB43798",42,105,47,36,135,90,10,30,42,54,15,47,1.03401827091037,2.78395693299219,2.90333777130551,0.0114863110967275,0.999176354679159,-4.34886314570005
"23","GB43988",11,18,9,4,11,12,30,35,26,20,11,23,-1.32500238623996,1.28941914515219,-4.16399288239934,0.000939534864465338,0.999176354679159,-4.35515986843194
"24","GB44123",355,570,352,123,236,289,757,591,488,466,225,459,-0.935816043681744,5.85379804880095,-3.51637718270153,0.00338412660093392,0.999176354679159,-3.99202486536428
"25","GB44163",258,330,151,142,75,152,249,384,358,336,119,278,-0.968023565713588,5.05288777945786,-3.0322681675208,0.00889089153924738,0.999176354679159,-4.10283778098356
"26","GB44219",88,387,111,96,19,27,293,191,225,381,56,155,-1.58532108984129,4.22569190274415,-2.86650189498396,0.0123558886143745,0.999176354679159,-4.21835197824287
"27","GB44220",177,137,128,126,56,97,184,471,262,173,79,273,-1.21533203160883,4.59946357235337,-2.95531644317583,0.010360670501754,0.999176354679159,-4.15374113297608
"28","GB44368",131,338,160,86,214,138,248,240,228,366,103,143,-0.559873676330603,4.83760912660946,-3.16916371095247,0.00676806495140112,0.999176354679159,-4.07377483890127
"29","GB44412",73,105,64,35,63,94,126,145,90,107,52,100,-0.724832153758772,3.69370949316869,-2.81418453471116,0.0137027308723407,0.999176354679159,-4.26911037422069
"30","GB44505",94,349,92,66,26,28,282,172,229,346,55,119,-1.49593239408148,4.13470046988593,-3.11463119805052,0.0075456324366846,0.999176354679159,-4.17481810074789
"31","GB44506",174,242,101,125,120,136,345,256,224,250,87,126,-0.703445784532975,4.71424051478895,-2.86608432132623,0.012366107172211,0.999176354679159,-4.15773069746347
"32","GB44549",38275,9770,7399,6136,24770,3966,51706,40087,49805,67748,11254,8539,-1.65138080565889,11.4578647362845,-3.12738460983098,0.00735619496813627,0.999176354679159,-4.3799570863862
"33","GB44596",96,119,97,9,34,49,218,150,130,135,69,116,-1.49278172036299,3.6746158488584,-3.62410329541576,0.0027302697785822,0.999176354679159,-4.14597864817037
"34","GB44601",19,26,21,8,19,15,36,53,24,40,20,26,-1.04760720382192,1.88738405712737,-3.51684174943746,0.00338099230451177,0.999176354679159,-4.35423096095107
"35","GB44663",72,42,43,30,37,47,116,115,62,126,34,100,-1.2151173928095,3.25804836560118,-3.9184999245316,0.00152244443345331,0.999176354679159,-4.15752899616122
"36","GB44697",54,90,56,23,31,36,116,66,77,105,29,63,-0.903753321755804,3.12571320450358,-3.38920933871674,0.00436186270207446,0.999176354679159,-4.24335445617195
"37","GB44738",0,37,5,11,2,3,33,8,23,58,5,29,-2.36006954431536,0.597692632378554,-3.08076288374119,0.00807250503592499,0.999176354679159,-4.45903143965566
"38","GB44937",317,348,156,70,262,237,341,417,307,384,163,217,-0.713174137725638,5.25953884484537,-3.03122987348473,0.00890928192554972,0.999176354679159,-4.09437023655944
"39","GB45139",58,66,84,39,31,44,88,113,91,83,48,219,-1.14624980575242,3.46379207244199,-2.88029450048798,0.0120229787260055,0.999176354679159,-4.28573413391051
"40","GB45265",1383,2528,1423,198,683,547,2306,1914,2024,2378,684,1581,-1.25878051165811,7.54916300129052,-3.10298131402631,0.00772290198345671,0.999176354679159,-4.20210144682862
"41","GB45312",524,689,296,215,485,356,574,630,462,738,320,342,-0.547747394302258,6.11098165655317,-2.96955531125062,0.0100717379941237,0.999176354679159,-4.13228335653782
"42","GB45911",399,619,347,121,302,317,1053,474,582,721,273,462,-1.027354336956,6.02547077196778,-4.10890407756519,0.00104657804391397,0.999176354679159,-3.88138066733307
"43","GB46046",89,182,87,42,123,62,24,21,80,72,24,72,0.872291997615228,3.25228146098039,2.9330389145479,0.0108291672966667,0.999176354679159,-4.29984146283354
"44","GB46302",165,552,166,142,116,76,400,470,636,522,179,201,-1.38335049042488,5.25470115819611,-4.11967570483697,0.00102470868098234,0.999176354679159,-3.86926764191923
"45","GB46427",224,791,376,353,101,104,502,624,1035,655,193,523,-1.31482501245864,5.83372979652139,-2.83651750693272,0.0131110804532911,0.999176354679159,-4.16075696369586
"46","GB46547",10,24,20,5,2,5,27,25,33,14,11,22,-1.50501702101438,1.07577307771512,-2.8209780255995,0.0135200465828421,0.999176354679159,-4.46055612524251
"47","GB46612",95,287,154,93,34,55,197,159,312,329,53,195,-1.23356243048224,4.36035342461019,-2.94407172495151,0.0105945990727102,0.999176354679159,-4.17853007135267
"48","GB46886",134,177,130,56,51,116,199,266,193,280,72,187,-1.15020128615741,4.41745704119528,-3.79257587888519,0.00195340312483166,0.999176354679159,-3.99442641470777
"49","GB46918",163,271,145,124,76,95,260,224,238,359,65,173,-0.84086886092786,4.66865872183555,-2.98329809528819,0.00980040481467291,0.999176354679159,-4.13416195108566
"50","GB46919",67,71,32,36,36,31,79,84,78,91,29,36,-0.751154781362132,3.01026420087841,-2.98283427733336,0.00980944370801656,0.999176354679159,-4.31296854120319
"51","GB47183",32,30,17,16,15,33,78,115,35,42,30,56,-1.39367843757797,2.45951066409223,-3.20574139228683,0.00629166839722326,0.999176354679159,-4.33966413446355
"52","GB47579",54,60,130,48,40,109,185,116,164,283,90,115,-1.47415442052727,3.96669538726545,-4.37785923990887,0.000619633201889282,0.999176354679159,-3.98013309796833
"53","GB47751",7,23,13,3,8,2,13,10,20,18,11,34,-1.29065178487054,0.807503795925715,-2.82387386713709,0.0134429000114595,0.999176354679159,-4.47012750899193
"54","GB48030",1,9,6,4,6,5,10,13,15,16,5,6,-1.30019958629792,0.173285733119307,-3.32415942455722,0.00496690255488856,0.999176354679159,-4.45976486137501
"55","GB48331",90,189,90,32,53,64,110,82,227,223,36,101,-0.825310953844168,3.82455690905011,-2.8035316159698,0.0139940665225734,0.999176354679159,-4.25730857019149
"56","GB48697",134,364,161,187,47,54,338,335,355,400,105,207,-1.39105245048388,4.83722186268772,-3.25034455722771,0.0057556954863361,0.999176354679159,-4.07367571861614
"57","GB49004",251,344,170,120,129,172,470,400,268,298,165,246,-0.91295454756124,5.18478290751065,-3.38824453511181,0.00437027365638248,0.999176354679159,-4.01129640443387
"58","GB49391",90,162,117,39,152,62,30,42,67,65,23,84,0.791979699759314,3.37994670021178,2.86182827508579,0.012470731511303,0.999176354679159,-4.29740972567325
"59","GB49539",271,454,213,147,219,175,510,378,402,442,131,275,-0.752266027527985,5.42889761815388,-3.86145337819966,0.00170423030338341,0.999176354679159,-3.89910624414875
