"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB49509",71,23,44,39,7,19,414,277,1968,791,205,570,-4.51002621378001,4.14820538754285,-6.5894181419384,1.52276550690945e-05,0.147068692657315,-3.71229238835716
"2","GB40411",35,70,46,46,48,47,34,50,88,59,78,99,-0.516745007324686,3.03900084878649,-2.68665087258109,0.0182995069826701,0.999827870045003,-4.23315250385299
"3","GB40425",15,41,32,61,37,25,23,58,26,57,100,81,-0.686491613735982,2.58864391943264,-2.23458116110062,0.0431097534631917,0.999827870045003,-4.37356992937288
"4","GB40508",24,54,34,61,49,45,26,47,74,68,62,91,-0.497376131601088,2.87814718324958,-3.45561009627851,0.00410704451404567,0.999827870045003,-4.09483353732048
"5","GB40579",9,19,13,28,21,18,10,23,20,26,32,37,-0.488848649573723,1.5758843020476,-2.52006534213712,0.0251792412509231,0.999827870045003,-4.39188906433406
"6","GB40853",8,10,9,9,13,13,0,2,4,16,5,13,1.15615841067138,0.00884980418135291,2.40259819002086,0.0314659943598494,0.999827870045003,-4.47311806686992
"7","GB40941",212,508,1071,4562,1019,1812,87,450,585,709,693,633,1.03593269673984,6.6088176545853,2.22395451694585,0.0439688711821499,0.999827870045003,-4.27900996687404
"8","GB41301",628,1264,776,1952,1547,1376,300,792,1086,1187,981,1007,0.41259638215457,7.17507366287901,2.46317555646236,0.0280564252485236,0.999827870045003,-4.24340453242212
"9","GB41311",1697,1669,775,1033,1551,1220,284,693,1416,455,888,1551,0.740781507305712,7.17114687114821,2.22992998203708,0.0434838194279039,0.999827870045003,-4.30631494582523
"10","GB41408",3,11,5,9,8,15,4,10,12,15,20,14,-0.626054493746693,0.527165342033765,-2.25939624171001,0.041164702232652,0.999827870045003,-4.47392114005465
"11","GB41699",3,7,10,17,20,8,4,9,19,26,21,26,-0.756762474460193,0.844703518273254,-2.37530613089231,0.0331283436596943,0.999827870045003,-4.44981706758033
"12","GB41776",55,140,81,117,192,142,36,72,673,309,422,769,-1.19329594373662,4.59312412345957,-2.50881752346769,0.0257245915551051,0.999827870045003,-4.13694918214757
"13","GB41812",5,15,18,15,15,21,9,21,17,22,30,33,-0.624070651526834,1.34334288316784,-2.54263309411248,0.024118450600833,0.999827870045003,-4.40333708177365
"14","GB41921",30,59,50,93,60,52,24,89,109,82,135,89,-0.620066582892029,3.27829921089497,-3.12662569567774,0.00779544137763939,0.999827870045003,-4.09884074592027
"15","GB42167",90,111,126,137,108,98,119,116,183,157,168,210,-0.551152900600319,4.27825247238072,-2.75560198524029,0.0160216404932145,0.999827870045003,-4.06093941125593
"16","GB42217",894,1565,995,942,825,1107,1353,2538,4581,1423,1411,1614,-1.03264720454029,7.69986367696835,-2.91328861915649,0.0118056095504765,0.999827870045003,-4.1713638812685
"17","GB42218",3768,5346,3534,4574,2979,2999,3790,8726,12191,7792,4677,6051,-0.929797681431728,9.53398681730982,-2.89124885080435,0.0123215389796731,0.999827870045003,-4.30185007901621
"18","GB42224",67,191,120,244,176,203,37,60,155,139,157,189,0.428879688990552,4.24375521770235,2.24556455019455,0.0422384119465504,0.999827870045003,-4.23208423390289
"19","GB42310",2705,3408,4445,1415,1290,2402,21,186,1515,578,519,390,2.92407677904555,6.95810745859877,4.06121219008855,0.0012771984411482,0.999827870045003,-3.88238875697278
"20","GB42373",30,50,57,102,50,43,15,30,18,36,37,55,0.754285608635164,2.53272842475949,2.98825597746264,0.0102052927890205,0.999827870045003,-4.23259037355855
"21","GB42586",332,497,343,1259,726,924,43,263,614,479,568,528,0.806813531807133,6.01134745916706,2.23888138084987,0.0427666089336458,0.999827870045003,-4.23981638394345
"22","GB42678",19,17,11,28,21,29,18,23,49,36,36,33,-0.693084891254328,1.89911693117842,-2.61294849907763,0.0210828865029936,0.999827870045003,-4.35613898212473
"23","GB42708",45,126,93,118,164,127,67,118,113,181,208,190,-0.433583269740795,4.14386899874091,-2.29995305493712,0.0381629966830999,0.999827870045003,-4.22205754159711
"24","GB42907",53,106,22,33,79,25,41,65,116,165,62,124,-1.04716272705216,3.20489753418254,-2.63194838482122,0.0203283433967912,0.999827870045003,-4.23064212817935
"25","GB42909",1,45,9,10,18,18,6,33,26,14,51,51,-1.14773746192143,1.31229676995836,-2.18821297311445,0.0469779194950529,0.999827870045003,-4.45375019951129
"26","GB42942",210,319,531,404,570,471,349,439,419,660,780,777,-0.57096559324815,6.09820431771531,-2.39605191313114,0.0318573129006329,0.999827870045003,-4.18554557683783
"27","GB42980",4,10,7,30,17,24,1,9,13,6,13,2,1.133306927286,0.364926422368077,2.23869319684828,0.0427815714962936,0.999827870045003,-4.48047464185547
"28","GB43029",672,65,436,191,172,273,111,62,98,61,77,130,1.45091083607791,4.40076694905501,2.34189660999476,0.0352773153708974,0.999827870045003,-4.20919308434304
"29","GB43133",328,776,1139,732,697,743,188,467,493,555,704,741,0.435659035862517,6.41437271776259,2.19859034922831,0.0460849273842703,0.999827870045003,-4.27095450561034
"30","GB43790",14,51,46,81,59,86,15,42,40,34,24,51,0.598345263703179,2.56210063121037,2.1924784728395,0.0466089201683859,0.999827870045003,-4.38367788112141
"31","GB43866",18,18,8,17,20,12,6,25,32,28,42,23,-0.742783277285201,1.47494870645094,-2.41425542103019,0.0307804959524475,0.999827870045003,-4.41332879569658
"32","GB43924",8,35,347,75,78,48,6,42,18,9,9,12,2.08107676847116,2.01168614281529,2.84444443615763,0.0134919597726259,0.999827870045003,-4.32135438252523
"33","GB43978",18,104,81,197,144,118,35,125,175,183,262,313,-0.804465290083181,4.10415740306727,-2.63029977365013,0.0203927625335606,0.999827870045003,-4.12519312387432
"34","GB44452",24,66,29,39,69,58,23,41,60,74,99,100,-0.527628811212638,2.92260660336586,-2.27239956246613,0.0401788183532812,0.999827870045003,-4.33952043871725
"35","GB44708",12,19,32,37,9,19,1,13,5,5,16,8,1.45148376821992,0.747880488639941,3.30870178775943,0.00546697484289624,0.999827870045003,-4.3544875077991
"36","GB44812",30,75,52,77,75,54,31,55,104,99,70,101,-0.368509135103018,3.24640740786942,-2.22190193152243,0.0441366580970139,0.999827870045003,-4.32399536019342
"37","GB45332",3,11,10,9,11,8,11,13,21,8,18,16,-0.752678129259128,0.708202680770731,-2.32039594792604,0.0367296569178047,0.999827870045003,-4.46139459865204
"38","GB45335",410,239,284,184,198,219,809,286,970,368,407,644,-1.28492335121071,5.73502100494598,-2.57231958334998,0.0227885546843209,0.999827870045003,-4.1118824753506
"39","GB45336",88,71,64,40,44,73,107,68,222,124,127,161,-1.1617878770373,3.70481776012006,-3.22308829553439,0.00645956817488588,0.999827870045003,-4.01684409078657
