"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40009",331,3020,775,903,1228,745,265,382,353,415,568,194,2.00025463904839,6.38146384501516,3.53291271422502,0.00353340966202499,0.557861721340465,-2.17402476166231
"2","GB40054",3058,2397,2684,2655,2583,5817,1592,2415,1531,1772,1651,1943,1.20826096879826,8.42867757886538,4.4961155555722,0.000562466137946434,0.557861721340465,-1.76308450307807
"3","GB40150",523,729,983,545,779,1063,246,349,778,747,400,487,1.17791967984079,6.43560411612641,3.76494871126643,0.00225444831126022,0.557861721340465,-1.91472810229261
"4","GB40306",245,392,273,278,205,247,177,234,123,143,94,110,1.33624348975745,4.84050811534161,3.37652499534006,0.00478961465369648,0.557861721340465,-2.25753819864721
"5","GB40514",110,57,128,187,232,260,221,272,272,281,310,265,-0.486835394001756,4.86546731505162,-3.77498195280887,0.00221122274643812,0.557861721340465,-1.77604020624524
"6","GB40728",67,30,110,169,98,162,65,102,84,58,90,77,0.67223754893391,3.64977360435198,3.57697344781989,0.00324372854757744,0.557861721340465,-2.21199142137194
"7","GB40848",69,36,74,68,75,116,37,62,46,50,66,48,0.800764900726082,3.13716222367965,4.14268735485829,0.00109348408713356,0.557861721340465,-1.86175880956392
"8","GB41071",46,46,63,59,43,90,24,53,36,43,29,52,0.861255804066217,2.78005532716211,3.26267013477054,0.00597908824122682,0.557861721340465,-2.78388243440873
"9","GB41752",129,115,139,144,152,191,88,138,114,137,97,98,0.700091628661537,4.21874273350825,3.41679070828722,0.00442849344295077,0.557861721340465,-2.25979466284094
"10","GB41786",269,298,273,371,549,791,195,273,351,411,365,326,0.73130470548083,5.68685036116433,3.36087244012,0.00493786392427071,0.557861721340465,-2.27383405941586
"11","GB42276",46,33,19,53,40,70,9,19,19,20,9,41,1.52640017075087,1.98174920676112,3.90604901750972,0.00171822812561954,0.557861721340465,-2.5586924362928
"12","GB42381",165,100,363,362,488,538,380,542,714,562,582,524,-0.510225317972845,5.86643923349327,-3.39868182375776,0.00458738184455257,0.557861721340465,-2.26324804613902
"13","GB42468",475,294,613,1180,852,1268,498,768,894,341,553,547,0.655662925618509,6.53778310889194,3.27570437689957,0.00582912067427086,0.557861721340465,-2.47392071750994
"14","GB42657",4,5,5,7,16,16,13,20,35,19,23,17,-0.970221574799502,0.932179067104796,-3.47699866733454,0.00393900810778399,0.557861721340465,-3.17566428058652
"15","GB42797",99,92,275,159,273,431,86,207,154,125,157,110,0.888570612766053,4.56432290894304,3.96412453677418,0.00153716272230528,0.557861721340465,-1.58100052909698
"16","GB42941",10,5,15,35,36,42,32,35,70,49,49,46,-0.783807911725824,2.12788894341405,-3.29015789136804,0.0056672266127362,0.557861721340465,-2.96121273007773
"17","GB42980",4,1,7,13,6,2,9,10,30,13,17,24,-1.43187959710891,0.364926422368077,-3.27991439166853,0.00578149153919421,0.557861721340465,-3.40941540866869
"18","GB43198",4128,2814,4325,3702,3792,6199,3187,3312,2739,3193,3660,3064,0.790512306831838,9.04765714640941,3.24054176455178,0.00624259154727806,0.557861721340465,-2.91099187032344
"19","GB43285",133,108,322,325,670,313,314,312,3220,1629,2891,1329,-1.65775770277147,6.31964450576228,-3.30469750811782,0.00550891608849015,0.557861721340465,-2.46560868730711
"20","GB43468",87,171,110,114,129,160,38,46,62,122,71,55,1.29532238430444,3.69804131644522,3.92318631233286,0.00166263897429139,0.557861721340465,-1.87832914689933
"21","GB43519",39,13,46,41,35,61,26,28,35,24,21,21,0.866115318423208,2.1760955064863,3.98324497291236,0.00148191722450958,0.557861721340465,-2.40415083842595
"22","GB43584",258,185,384,381,427,755,300,320,409,273,370,379,0.491313364935097,5.69273072121659,3.49939004065923,0.00377121984005318,0.557861721340465,-2.10863850516275
"23","GB43903",176,86,242,437,397,481,356,556,496,538,494,476,-0.488332440612345,5.70684704180741,-3.25967833050642,0.00601405275673088,0.557861721340465,-2.41389277187918
"24","GB44043",1,15,22,7,12,1,14,33,81,59,53,71,-2.58021120580643,1.34215805319085,-3.66561504843246,0.00273167478859096,0.557861721340465,-2.97957351615122
"25","GB44860",155,240,197,158,200,275,70,97,139,155,95,121,1.19317711299291,4.4501928966937,4.15680956049375,0.00106455714513572,0.557861721340465,-1.41619708248849
"26","GB45335",410,809,284,970,368,644,286,239,184,407,198,219,1.58383980110717,5.73502100494598,3.73359882655114,0.00239513249732474,0.557861721340465,-1.85244491732236
"27","GB45336",88,107,64,222,124,161,68,71,40,127,44,73,1.19152766858197,3.70481776012006,3.34767837213434,0.00506640579516388,0.557861721340465,-2.46212954103826
"28","GB45459",3012,3746,1863,2013,2558,4452,892,1323,1661,1972,1209,1402,1.54284420443222,8.17408138881144,4.22732077966983,0.000931451778048535,0.557861721340465,-1.9062006110498
"29","GB45565",168,55,206,1785,1023,1684,1321,1225,2659,2295,5298,3759,-2.22091071479103,7.22392441963839,-3.40662701352259,0.00451697551049143,0.557861721340465,-2.47925885895837
"30","GB45651",424,334,573,408,491,728,318,415,427,373,373,423,0.743645733972257,5.98693006157632,3.84258148855911,0.00194116429723498,0.557861721340465,-1.74705097472159
"31","GB45887",145,67,216,254,294,284,152,193,199,181,166,153,0.538125704048988,4.73920539671641,4.19856901148537,0.000983531539325831,0.557861721340465,-1.28387500375241
"32","GB46220",22,13,39,40,49,71,54,72,99,93,94,61,-0.739751306122154,2.93218247913671,-4.46571936420219,0.000595245039709268,0.557861721340465,-1.71082929219706
"33","GB46360",493,326,294,405,634,760,216,329,351,405,286,316,0.99152262923275,5.80214825543918,4.2278476112308,0.000930524403160613,0.557861721340465,-1.29579038356116
"34","GB46576",16,10,16,19,21,30,7,5,12,19,6,8,1.35816719978643,0.923101181111771,4.67242625453756,0.000405820308868864,0.557861721340465,-2.57208744253897
"35","GB46582",885,989,1039,749,1115,1487,587,910,711,922,638,786,0.930596934248632,7.01130532794987,3.36693441402168,0.00487990973883282,0.557861721340465,-2.44968020791411
"36","GB46640",15,16,37,80,157,178,127,110,223,188,303,185,-1.21139158486857,3.84443092606626,-3.27065421976564,0.00588677360601293,0.557861721340465,-2.54263247832943
"37","GB47041",216,144,368,259,281,533,170,255,253,263,297,249,0.571434112207148,5.26356394901367,3.52987310451584,0.00355433325639454,0.557861721340465,-2.0458678702473
"38","GB47099",12,11,30,43,45,50,45,55,60,61,54,56,-0.561038317804467,2.52743980474939,-3.20760485757144,0.00665647635958711,0.557861721340465,-2.91048434289521
"39","GB47146",106,188,149,138,149,245,72,104,168,114,84,87,0.929976431564593,4.21998695168232,3.47078837442198,0.00398686543707279,0.557861721340465,-2.20763277751544
"40","GB47240",16,18,35,31,40,45,19,29,21,26,25,17,0.726058626687113,1.93522325216044,3.47977057253264,0.00391783495930552,0.557861721340465,-2.85999956073409
"41","GB47486",18,19,42,47,104,70,77,75,160,95,97,110,-0.825699390587678,3.25040449706517,-3.52893921818072,0.00356078691621412,0.557861721340465,-2.40263793502599
"42","GB47499",214,145,140,230,361,294,79,118,112,136,150,92,1.32890473942956,4.52967673282328,5.63228333030423,7.36132162744731e-05,0.557861721340465,-0.0170635916778465
"43","GB47557",15,7,11,13,12,23,13,4,14,6,4,4,1.26959701956233,0.502607136989287,3.39161721007933,0.00465091223987405,0.557861721340465,-3.34672126930462
"44","GB47564",43,11,22,33,34,38,17,25,16,16,15,12,1.09552257546016,1.68821073770045,3.81894953930668,0.00203152774737593,0.557861721340465,-2.71464546783258
"45","GB47876",251,346,462,313,516,669,241,205,362,476,266,342,0.834677896423353,5.69179488122656,3.26093709776371,0.00599931695313097,0.557861721340465,-2.39538201135607
"46","GB47949",1356,797,1759,1541,1525,2962,917,1496,1417,1420,1184,1378,0.678242984506347,7.69693108483208,4.00398248150811,0.00142429124610117,0.557861721340465,-1.96776257598387
"47","GB47977",6885,15172,9268,12015,17505,19264,4062,3709,12394,9291,9928,6275,1.33732390811527,10.4238157542297,3.5466537893424,0.00344036389995254,0.557861721340465,-2.92495007947506
"48","GB48105",264,129,270,555,250,310,2123,746,948,397,659,1750,-1.41955467306094,6.21980995063512,-3.49627608422323,0.00379411499889163,0.557861721340465,-2.22849444533093
"49","GB48125",294,375,506,488,436,743,368,369,411,377,397,357,0.684744976236348,5.93885976882942,3.41534604529694,0.00444096303303576,0.557861721340465,-2.23311505067654
"50","GB48145",518,291,680,676,755,904,474,630,767,557,600,591,0.428241225082876,6.46717982918203,3.397794202422,0.00459531579245687,0.557861721340465,-2.32586491931889
"51","GB48161",197,139,337,517,569,812,177,205,425,238,346,334,0.773682516147702,5.53850753922649,4.083137359551,0.00122461722131387,0.557861721340465,-1.41891680818037
"52","GB48201",57,50,90,130,113,163,149,187,176,146,164,191,-0.468377838099669,4.20479531595978,-3.51393264307304,0.00366612982653756,0.557861721340465,-2.15178942667531
"53","GB48356",42,23,70,113,122,121,104,131,175,152,143,121,-0.511794988498691,3.85047844108058,-3.47254331587854,0.00397328246481601,0.557861721340465,-2.27798570343652
"54","GB48629",186,245,282,193,241,377,131,108,184,232,183,159,0.984150908408984,4.88278533999249,3.68603353534697,0.00262583339733586,0.557861721340465,-1.87235920348766
"55","GB49020",27,18,43,72,48,62,68,65,112,77,79,81,-0.553890247059691,3.07771296673461,-3.5189722595659,0.00363040612817957,0.557861721340465,-2.4589861192473
"56","GB49175",101,85,108,292,283,229,100,116,97,94,103,93,1.08958156013464,4.23516672974811,5.16324353988103,0.000166941638770071,0.557861721340465,-0.484414834233168
"57","GB49352",22,17,41,54,87,74,47,84,111,119,112,91,-0.676454389373736,3.19224527517937,-3.26514428152785,0.0059503273251894,0.557861721340465,-2.67423007168656
"58","GB49386",11,19,21,48,65,115,57,84,114,158,188,131,-1.24756714132423,3.21514890343583,-3.5743976808659,0.00325998207411741,0.557861721340465,-2.3914536713605
"59","GB49567",532,877,613,777,1067,1464,408,413,914,613,615,577,1.03584369918823,6.67057767861115,3.73288129800535,0.00239845493482538,0.557861721340465,-1.99472920519163
"60","GB49650",1026,1591,907,1180,1458,2046,444,613,1182,1195,915,899,1.18049832470341,7.26578639384346,3.54535076781953,0.00344907976913882,0.557861721340465,-2.31141682059286
"61","GB49723",265,434,323,343,457,500,143,246,386,375,282,258,0.927344518709404,5.55550965091591,3.24646035250195,0.00617099513073881,0.557861721340465,-2.40478119416838
"62","GB49759",5564,3194,12061,15449,12177,17938,18542,18981,19585,19871,22434,21506,-0.727385218030578,10.991867550697,-3.39600801654635,0.00461132338739998,0.557861721340465,-3.12663945850225
"63","GB49796",19,9,60,119,323,197,221,95,984,622,876,504,-2.01520443599784,4.62789178503133,-3.20737989004723,0.00665939563799569,0.557861721340465,-2.58383593131372
"64","GB49827",16,11,23,45,56,64,45,60,93,82,66,75,-0.749958751806963,2.74712737750062,-3.78688038680077,0.002161053181948,0.557861721340465,-2.34457144449513
