"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40464",4,10,20,24,21,17,2,12,12,14,10,2,0.877993759617106,0.595178337523006,2.07166560795025,0.0582319056884733,0.999977012207966,-4.51525308093009
"2","GB40617",10,18,32,18,27,35,7,23,35,57,34,60,-0.649843743870436,1.92658534419388,-2.5015299418751,0.0261223303058462,0.999977012207966,-4.42179218665977
"3","GB40781",23,27,30,38,46,52,22,36,63,60,40,43,-0.391246072157144,2.50242640572235,-2.12094785903798,0.053220299261815,0.999977012207966,-4.44347878288336
"4","GB40972",375,1040,483,266,423,834,60,139,323,482,360,379,0.962797041902092,5.68409205621105,2.75340874829944,0.0161201163165096,0.999977012207966,-4.1594560827984
"5","GB41129",126,169,147,175,164,229,36,125,108,150,117,136,0.511607963630827,4.27069680395812,3.31007060198995,0.00546889485421427,0.999977012207966,-4.03149590742968
"6","GB41192",5,3,8,9,14,11,6,6,14,23,24,11,-0.801146023409702,0.567138495689763,-2.35075633758046,0.0347380253247997,0.999977012207966,-4.49350808724109
"7","GB41360",43,64,41,36,36,86,14,23,31,41,19,36,0.743800695011561,2.39615204382118,2.61167092341822,0.0211694321071472,0.999977012207966,-4.37859338869328
"8","GB41407",16,14,64,36,66,120,9,19,37,26,27,24,0.800675293452274,2.15232984616411,2.12348753180437,0.0529732262431406,0.999977012207966,-4.46038036408266
"9","GB41490",123,196,252,242,274,356,119,258,331,342,263,262,-0.263363386922807,5.14191001274142,-2.23647056446346,0.0430053512360694,0.999977012207966,-4.28032668271682
"10","GB41523",31,37,36,51,30,50,13,16,15,26,40,28,0.701334143533368,2.09964432852827,2.6263389437275,0.0205827271476911,0.999977012207966,-4.39650443271416
"11","GB41540",102,52,14,63,70,15,2,32,4,4,6,9,2.36576153756229,1.31973942689052,2.97868425628882,0.0104211465708981,0.999977012207966,-4.41307255616517
"12","GB41660",8,4,11,8,7,14,10,9,15,21,11,10,-0.653834039848408,0.620007552443943,-2.0540362164496,0.0601284115218123,0.999977012207966,-4.51667203015689
"13","GB41777",857,1031,3275,2767,1404,4188,355,896,2211,517,1569,1219,0.833717962280824,7.62507677881672,2.2501971021766,0.0419221671728021,0.999977012207966,-4.38336806803499
"14","GB41863",191,244,305,271,246,357,94,160,243,220,243,213,0.370103692682506,5.03492895180618,2.66832191045188,0.0189893966927668,0.999977012207966,-4.15595186956037
"15","GB42191",50,108,89,57,143,102,80,139,149,166,108,92,-0.56362181976688,3.90125229268368,-2.1778067858532,0.0479380571845009,0.999977012207966,-4.34387442144629
"16","GB42411",32,40,51,55,66,79,22,55,59,100,87,69,-0.359899540487603,3.04031760169988,-2.28497612654877,0.0392917458695183,0.999977012207966,-4.38350390743819
"17","GB42534",167,154,204,232,226,422,54,116,143,232,200,206,0.453632144795136,4.7173950618186,2.61800190620478,0.0209142362405194,0.999977012207966,-4.17738510045823
"18","GB42552",63,31,106,53,20,57,1,23,23,34,13,48,1.22642450680443,2.05607244134257,2.28705965855543,0.0391392205930777,0.999977012207966,-4.44605689862223
"19","GB42557",1588,1884,1400,940,410,1053,606,323,1032,380,170,462,1.23797836127326,6.6556218180305,2.05748287063437,0.0597532019252626,0.999977012207966,-4.3849024452868
"20","GB42626",523,2406,410,1124,138,197,31,104,413,596,131,184,1.4689436677046,5.40449180981742,2.10211658386008,0.0550860198474646,0.999977012207966,-4.3374421911881
"21","GB42657",4,5,7,19,23,16,5,13,20,35,16,17,-0.720786792333517,0.932179067104796,-2.177672788389,0.0479499084151766,0.999977012207966,-4.49810964866013
"22","GB42967",18,46,23,41,53,59,17,44,54,85,50,61,-0.506767901026093,2.63137712529833,-2.29440572704417,0.0386059070165317,0.999977012207966,-4.40933430632815
"23","GB43247",4127,8913,16288,13869,6478,29094,944,10079,2464,4589,6048,13641,1.10830925102343,10.0129972835813,2.21988305403406,0.04434945546547,0.999977012207966,-4.46740012585967
"24","GB43509",452,117,35,44,982,184,1112,2683,57,951,604,986,-2.52208121983543,5.5913830467802,-2.39393548341974,0.0320266090169564,0.999977012207966,-4.27422196501282
"25","GB43636",364,548,626,838,617,850,200,418,574,615,584,554,0.271905314437674,6.29825562425209,2.2933477069468,0.0386822915619612,0.999977012207966,-4.30549247685408
"26","GB43717",58,46,122,76,97,182,27,42,64,77,85,69,0.499975081907444,3.38397909969309,2.17966250523783,0.0477742121853754,0.999977012207966,-4.38045271500346
"27","GB43857",7,8,21,19,18,29,4,18,22,69,35,26,-0.723381858414431,1.46134816283754,-2.1651256609625,0.0490718498871271,0.999977012207966,-4.48200437879343
"28","GB43902",13,23,29,23,23,42,14,23,63,34,33,40,-0.496174444588819,2.0413856037365,-2.13803262376677,0.0515786548526488,0.999977012207966,-4.46239380913076
"29","GB44218",107,116,167,173,142,230,41,134,138,102,151,112,0.379652986066001,4.21746078618674,2.13068886303225,0.0522784365838255,0.999977012207966,-4.33533388972632
"30","GB44229",11,22,15,21,17,28,3,2,5,18,15,13,1.11920809815011,0.811293498399255,3.01405161717553,0.00972908376233098,0.999977012207966,-4.42971903248633
"31","GB44460",18,34,64,41,29,43,10,6,31,26,27,27,0.799823621221641,1.93839408490536,2.49965546985446,0.0262156089185211,0.999977012207966,-4.42257276967927
"32","GB44494",175,129,245,193,183,268,41,114,221,157,168,146,0.42571890115368,4.53020964914277,2.19340351778818,0.0465772125531137,0.999977012207966,-4.3042650053851
"33","GB44589",23,27,23,35,46,61,9,10,29,27,33,30,0.549483900387849,1.97443775820046,2.06128834608604,0.0593414443491664,0.999977012207966,-4.47544179211004
"34","GB44770",126,212,401,308,339,428,116,348,368,511,329,411,-0.333281269150588,5.46129426199835,-2.2318740439692,0.0433739224313898,0.999977012207966,-4.28676560089691
"35","GB44903",93,150,251,393,294,292,151,241,373,329,309,300,-0.428931027088715,5.1844129532281,-2.20814287052853,0.0453245348767171,0.999977012207966,-4.28971921547904
"36","GB45287",110,184,324,293,201,289,63,84,121,316,233,178,0.472561301407679,4.71037040261247,2.07189927752262,0.0582071441362959,0.999977012207966,-4.3335064904627
"37","GB45307",39,86,110,131,139,153,40,112,134,189,143,137,-0.317180559422332,3.99008416917151,-2.12982754376763,0.052361088172419,0.999977012207966,-4.34812454651109
"38","GB45437",65,76,152,130,82,126,45,128,117,193,146,124,-0.363032292962855,3.99431697993557,-2.10310782589234,0.0549863157121862,0.999977012207966,-4.35469064565898
"39","GB45758",468,567,889,448,556,1081,789,797,1421,1173,969,834,-0.829393529740545,6.85460630316288,-3.03235784127791,0.00938896542170981,0.999977012207966,-4.173502420486
"40","GB45988",11,27,12,18,26,17,11,36,35,24,29,40,-0.76915490611398,1.71549935381175,-2.5845628420319,0.0222966780981253,0.999977012207966,-4.42397632454337
"41","GB46429",349,583,792,969,633,1050,156,228,400,585,794,421,0.719960590943778,6.2268274336388,3.30787690396278,0.00549229255896677,0.999977012207966,-4.05995622747845
"42","GB46832",4,10,10,48,29,14,17,22,21,60,28,21,-0.894922834118532,1.53256138551989,-2.15016857865672,0.0504413398350414,0.999977012207966,-4.48162651301202
"43","GB46890",7,3,12,8,13,13,5,9,16,21,14,14,-0.64071529540685,0.64329504732157,-2.20234588079388,0.0458133936169271,0.999977012207966,-4.50370615824153
"44","GB46924",7,13,6,21,45,29,17,12,115,38,22,47,-1.07588038627316,1.75021039767593,-2.0614058652509,0.0593287704670657,0.999977012207966,-4.48433870752132
"45","GB47212",4,7,15,13,14,17,8,23,14,24,13,17,-0.615845741763946,0.97019145761642,-2.30621877375043,0.0377626965418036,0.999977012207966,-4.4850613805982
"46","GB47367",5,8,7,8,15,10,18,11,28,13,15,13,-0.906211466841826,0.815654941576732,-2.45619028062161,0.0284705460767563,0.999977012207966,-4.4772009020109
"47","GB47486",18,42,47,95,97,70,19,77,75,160,104,110,-0.689988251032881,3.25040449706517,-2.58120894054119,0.0224401215912877,0.999977012207966,-4.31086030333161
"48","GB47551",834,812,868,700,1280,1673,169,600,663,1085,853,959,0.562591242211963,6.85196881809046,2.38424233192755,0.032617131381448,0.999977012207966,-4.31639817618835
"49","GB47806",15,191,43,53,58,43,5,27,27,49,25,25,0.951255570654269,2.3249745798456,2.06817185650635,0.0586032968231622,0.999977012207966,-4.46146180188315
"50","GB47929",47,70,104,44,95,88,38,139,100,357,189,148,-1.10678995543725,3.84265725455671,-3.80130423123186,0.00211108626194177,0.999977012207966,-4.00257057314608
"51","GB48022",247,620,526,661,598,742,100,365,367,489,511,533,0.467524042082559,5.99580121004217,2.55814299815255,0.0234510930985177,0.999977012207966,-4.22146059915825
"52","GB48355",687,998,1015,823,989,1626,291,699,648,1062,1006,904,0.342569618068923,6.94821802228088,2.06302949544542,0.0591539256288537,0.999977012207966,-4.39233303971456
