"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40149",48,43,43,70,41,36,36,65,36,30,29,26,0.657844144460944,2.21877647873136,2.05700367225567,0.0595037186653137,0.998950096371237,-4.47301898127829
"2","GB40210",8,6,5,6,8,10,10,9,11,21,14,13,-0.545703825388629,0.175935325996004,-2.00707415119729,0.0651534876393069,0.998950096371237,-4.52325490444614
"3","GB40288",261,129,177,296,364,332,120,83,114,253,339,353,0.681993919690534,4.59110229982717,2.16823349163277,0.0485076751342011,0.998950096371237,-4.33339065266662
"4","GB40710",13,11,9,12,3,19,9,13,19,29,22,43,-0.754705827882093,0.737448065487402,-2.0621137905309,0.0589517105938622,0.998950096371237,-4.5105806403763
"5","GB41326",16,66,87,43,26,60,197,130,80,148,129,48,-1.03367275700335,2.99474303585688,-2.03460264928235,0.0619802524677512,0.998950096371237,-4.44831218827752
"6","GB41367",55,57,63,100,57,78,20,84,47,52,62,100,0.516605289422139,2.79665427044171,2.23801158143309,0.0426103864933022,0.998950096371237,-4.42344712660642
"7","GB41417",141,192,174,367,194,427,251,313,286,399,457,554,-0.408206045596244,5.04583699451776,-2.03652401825498,0.0617641709492398,0.998950096371237,-4.35869708363227
"8","GB41684",107,98,162,174,148,158,67,148,85,159,167,167,0.382620589955912,3.9139538315654,2.24650757468991,0.0419401951114667,0.998950096371237,-4.35147316668726
"9","GB41827",96,96,80,142,102,114,72,97,90,130,103,95,0.358641245293764,3.52133080247822,2.17815611335895,0.047624822208527,0.998950096371237,-4.39223455801774
"10","GB41972",24,19,21,43,31,53,34,52,37,75,63,56,-0.499983608575367,2.17230449036355,-2.36901159254644,0.0333176936322266,0.998950096371237,-4.4344289462849
"11","GB42018",205,210,175,243,170,145,193,200,159,108,147,115,0.638359657979039,4.27016177358517,2.03608273617802,0.061813737088751,0.998950096371237,-4.37999636164695
"12","GB42311",140,347,71,56,14,101,84,287,460,954,207,225,-1.64992087337582,4.11560831432647,-2.60085002987227,0.0214075176024262,0.998950096371237,-4.28417829891769
"13","GB42350",51,62,76,94,93,157,50,145,115,230,152,230,-0.50901963892773,3.6202911954083,-2.28277500300434,0.0391893851918971,0.998950096371237,-4.36695403672062
"14","GB42519",109,169,104,207,109,169,84,124,84,166,117,200,0.419011955267837,3.90916898799954,2.08086449955317,0.0569664891495919,0.998950096371237,-4.3884862543535
"15","GB42673",122,114,148,252,181,292,148,317,277,301,345,267,-0.357511816901457,4.62669796856343,-2.08394572807786,0.0566462439244224,0.998950096371237,-4.35588901818941
"16","GB43181",11,14,7,46,20,40,11,10,8,13,27,9,0.932650993450467,0.816103410175192,2.18750919722525,0.0468064181354862,0.998950096371237,-4.49710239006115
"17","GB43463",9,3,7,9,9,15,10,7,16,30,19,22,-0.698682793905045,0.412045730530411,-2.12364239488059,0.0526669030043092,0.998950096371237,-4.51065724259719
"18","GB43509",111,19,260,523,67,9,45,1010,251,1796,2590,159,-2.31657676454162,4.40661863869733,-2.13318028721265,0.0517502831754391,0.998950096371237,-4.38833262292561
"19","GB43560",110,43,72,73,89,57,31,74,50,69,54,86,0.508773136712259,2.88307303980265,2.0197143106552,0.0636783555100183,0.998950096371237,-4.45375534870288
"20","GB43728",3695,5303,3292,7566,5072,8320,4449,10040,7568,11546,8130,12801,-0.467350734819863,9.58611755670689,-2.22447974637666,0.043698651146336,0.998950096371237,-4.42642407704959
"21","GB44024",1736,20,170,11028,2461,270,4773,2858,6850,4797,8905,1299,-2.6709401431549,7.49364906730843,-2.07134534017423,0.0579664681971021,0.998950096371237,-4.40392385823713
"22","GB44096",69,102,69,85,47,50,45,75,54,43,47,50,0.646750780649936,2.76911714580283,2.07455738568006,0.057627245225206,0.998950096371237,-4.45002725337353
"23","GB44739",7,14,14,26,17,49,17,35,28,58,32,51,-0.674703091708009,1.52344129127846,-2.21137325546511,0.0447775517050319,0.998950096371237,-4.47669979589601
"24","GB44889",24,22,24,49,22,47,20,61,49,87,42,56,-0.461014902442809,2.12527265476693,-2.06046929922561,0.0591288346714289,0.998950096371237,-4.47572648702252
"25","GB45248",1757,737,1552,1733,2465,2351,399,1790,805,2385,1360,2423,0.636490835919687,7.38235254196686,2.0535666442534,0.059877674547361,0.998950096371237,-4.40315648458294
"26","GB45497",392,376,482,631,682,766,593,697,841,1170,812,869,-0.36695106326697,6.23889869218756,-2.29765252959887,0.0381109708582558,0.998950096371237,-4.30682749249985
"27","GB45538",64,53,81,118,60,89,30,65,81,82,84,95,0.361646014101258,3.0442577699057,2.09789695934858,0.0552169894087681,0.998950096371237,-4.43369886931112
"28","GB45648",314,326,329,435,388,351,206,523,262,322,337,282,0.450403616239401,5.24588530312072,2.17472320171269,0.0479285480744226,0.998950096371237,-4.31699271522573
"29","GB45748",11,47,61,14,7,151,143,98,163,85,106,88,-1.62530026922862,2.69041504235348,-2.64834391345813,0.0195356566109169,0.998950096371237,-4.37236722871273
"30","GB45796",409,167,1084,53,18,588,31869,1352,1890,1521,913,597,-3.34521601243564,6.13802400386216,-2.76767682975798,0.0155072482056602,0.998950096371237,-4.23696508926781
"31","GB45797",24,89,208,2,0,227,414,368,130,57,533,166,-2.99799067618659,2.99730646735658,-2.29851112696543,0.0380495985301254,0.998950096371237,-4.42058498239037
"32","GB45906",940,1276,1272,1333,1131,1233,718,1685,5389,4015,1562,5025,-0.744325163890759,7.6052336072511,-2.20698895577161,0.0451440026046842,0.998950096371237,-4.37745240971395
"33","GB46007",12,5,9,24,17,20,6,15,11,13,9,8,0.649701331181486,0.433497136371406,2.12354321533993,0.0526765132843686,0.998950096371237,-4.51049593730742
"34","GB46305",127,113,133,172,167,259,138,363,251,402,247,337,-0.568640085428534,4.566435809864,-3.49650460615239,0.00373013218498489,0.998950096371237,-4.02170109758084
"35","GB46515",5,16,13,7,7,8,11,28,16,28,19,14,-0.802820253684762,0.5848171831535,-2.20819903231074,0.0450425813287467,0.998950096371237,-4.5006031256703
"36","GB46613",34,27,53,78,43,101,39,81,55,151,145,135,-0.579397726034625,2.95600867188363,-2.17656779954938,0.0477651234616164,0.998950096371237,-4.42578776652633
"37","GB46747",13,36,13,18,10,9,13,50,28,59,22,46,-0.928651525749475,1.35015384519704,-2.39640867929451,0.0316343274927363,0.998950096371237,-4.46281676479902
"38","GB46883",31,27,28,71,45,77,55,63,88,111,68,87,-0.560144433660441,2.71807490323664,-2.61039292625367,0.0210179695641083,0.998950096371237,-4.37220363681408
"39","GB47108",96,55,116,182,95,210,82,157,174,220,277,296,-0.432579437330667,4.0636772600672,-2.01623763753042,0.0640810016771811,0.998950096371237,-4.39759772277024
"40","GB47496",279,292,381,558,338,336,118,334,300,478,362,550,0.36970422935468,5.27606601779178,2.02909701871469,0.0626032877005812,0.998950096371237,-4.35661617308708
"41","GB47545",27,72,341,130,44,169,89,285,205,520,323,187,-1.07623367661717,4.08356678391391,-2.32234392121944,0.0363828926200943,0.998950096371237,-4.33607073188523
"42","GB47664",27,21,15,26,12,21,8,20,18,19,12,22,0.542693099641637,1.04301429179986,2.01869802753279,0.0637958138542778,0.998950096371237,-4.50808531719828
"43","GB47946",492,198,527,773,1844,1612,1979,1136,1821,2327,1557,1567,-1.07472832720249,6.96134435262845,-2.42292935123735,0.0300822774523826,0.998950096371237,-4.30774109102135
"44","GB47947",1253,385,1531,2257,6647,6666,3640,2878,6157,10603,6996,6903,-1.24927229244836,8.60771225808728,-2.23978260922755,0.0424698563804166,0.998950096371237,-4.40012324457858
"45","GB48003",31,17,78,57,109,71,79,74,76,192,231,94,-0.829113097953002,3.12144387547032,-2.13186958157888,0.0518753601482049,0.998950096371237,-4.42558386064843
"46","GB48129",34,44,54,75,119,58,17,55,39,64,62,47,0.653024510215075,2.55142957223165,2.32231829271582,0.0363846471885765,0.998950096371237,-4.42313642999701
"47","GB48252",95,111,120,182,133,109,84,136,84,102,104,134,0.478326584153348,3.70600007702916,2.38587904893902,0.0322714851022655,0.998950096371237,-4.33729364175508
"48","GB48338",287,294,287,336,304,212,271,321,243,168,167,209,0.631946277283635,4.85253830366311,2.09423985078173,0.0555883800824609,0.998950096371237,-4.34436748929098
"49","GB48470",122,80,123,168,178,133,77,117,106,116,105,165,0.47569231028266,3.7897546954429,2.69750615399269,0.0177656843878377,0.998950096371237,-4.26520260700441
"50","GB48492",365,625,365,488,201,352,600,944,1038,698,622,729,-0.778881139761061,5.93499204371294,-2.50701858471779,0.0256284763701439,0.998950096371237,-4.24521821916803
"51","GB48510",12,2,17,1440,9,36,71,164,268,235,942,38,-2.33388604067259,2.92693457612783,-2.01689449844316,0.0640047494758914,0.998950096371237,-4.4607264170958
"52","GB48584",7,8,8,12,8,11,7,16,13,33,21,39,-0.820690171084561,0.60997781526161,-3.04431769895595,0.00904247372112568,0.998950096371237,-4.42997854560059
"53","GB48663",596,120,383,659,306,341,203,168,337,148,431,289,0.793499721594614,5.07058189879137,2.11400263572386,0.0536086316694303,0.998950096371237,-4.33636665718555
"54","GB48664",42,9,56,48,33,33,3,11,43,13,30,50,1.05866615719137,1.48400124491844,2.09101239147062,0.055918060307237,0.998950096371237,-4.49070694605513
"55","GB48871",142,133,143,209,156,186,158,173,151,136,101,163,0.432224660033956,4.12554603546474,2.01782682774536,0.0638966624280097,0.998950096371237,-4.39092451758694
"56","GB49078",19,60,18,73,13,68,25,83,35,126,172,353,-1.26445488133394,2.66932747036052,-2.2482878371481,0.0418010250396279,0.998950096371237,-4.42985506637632
"57","GB49260",148,110,137,231,135,196,101,210,390,433,244,309,-0.482025921499386,4.50843396156162,-2.48306263768103,0.0268283565455014,0.998950096371237,-4.26118485593198
"58","GB49289",58,51,51,57,43,117,50,60,117,268,81,179,-0.627592702066215,3.18733200061829,-2.01081119390843,0.064714133472739,0.998950096371237,-4.44251430445915
"59","GB49380",59,56,71,127,31,105,40,112,66,273,201,497,-0.883449718864342,3.49715246795021,-2.01656130978932,0.0640434175127661,0.998950096371237,-4.42785232940377
"60","GB49526",7,4,12,22,5,18,10,10,22,25,36,44,-0.864646319923408,0.748050895717268,-2.26687668060776,0.040373610311711,0.998950096371237,-4.4920536030017
"61","GB49757",136,129,90,244,134,171,80,224,131,139,61,113,0.603425938627346,3.88257920945494,2.14568294109174,0.0505712220630437,0.998950096371237,-4.37621426742276
"62","GB49895",65,108,68,103,78,91,52,86,69,105,63,60,0.496273998913348,3.1478337833232,2.21210655877452,0.0447165333775223,0.998950096371237,-4.4088252303258
"63","GB50180",53,119,109,69,24,109,45,199,94,243,184,233,-0.85243596500825,3.53659201219984,-2.23323136136674,0.0429918804985928,0.998950096371237,-4.38394886127336
"64","GB50233",8,3,8,30,13,15,14,18,20,29,26,28,-0.750628386289635,0.830939270468045,-2.36365568474722,0.0336565922840689,0.998950096371237,-4.48133622143839
"65","GB50264",23,13,23,17,31,22,18,12,13,16,12,18,0.75807320897125,1.03742596517527,2.49762313372048,0.0260927884158107,0.998950096371237,-4.4622599638525
"66","GB50441",23,18,29,51,31,101,11,73,68,164,260,206,-1.16184770855312,2.69623991110871,-2.20040235201734,0.0456998163829829,0.998950096371237,-4.43544887885876
"67","GB50965",23,21,26,29,21,37,9,19,26,29,34,17,0.549282911598431,1.42574423941145,2.22925559577976,0.0433116168909996,0.998950096371237,-4.47712053228337
"68","GB51299",159,67,167,81,32,199,191,177,138,478,187,253,-0.883293161077828,4.07332481719685,-2.24058452001415,0.0424063686697365,0.998950096371237,-4.35168361110794
"69","GB51305",651,169,794,177,673,199,130,285,301,265,22,161,1.55927206951208,4.72299406335591,2.32577707059291,0.0361485771606637,0.998950096371237,-4.29928419038148
"70","GB51487",65,40,92,136,66,97,64,109,107,292,281,320,-0.865737549993548,3.69403546669778,-2.94124001026643,0.0110606509069901,0.998950096371237,-4.23558838915838
"71","GB51514",8,9,14,9,17,22,4,6,14,15,5,7,0.905500382848797,0.216002401947002,2.61085536066675,0.0209992680645638,0.998950096371237,-4.47508123813406
"72","GB51772",34,46,36,32,70,86,39,69,111,185,71,101,-0.657988481886305,2.87490743155968,-2.16247093671872,0.0490273847800131,0.998950096371237,-4.43208405733353
"73","GB51783",911,1264,1091,776,587,874,1316,1585,2028,2972,1085,2321,-0.730475867509358,7.17189467884218,-2.51165064511367,0.0254024992992141,0.998950096371237,-4.29713789432454
"74","GB51916",23,27,19,32,15,35,18,41,33,60,53,50,-0.479451235512983,1.8497929440272,-2.10365933895451,0.0546364677477831,0.998950096371237,-4.47892297969361
"75","GB51920",14,19,21,15,16,46,10,13,21,23,11,17,0.635745569821414,1.03075252677915,2.06311747519259,0.0588438471264253,0.998950096371237,-4.50409908577484
"76","GB52146",6,3,12,14,13,52,12,19,34,40,42,79,-1.17592530331111,1.17161676767775,-2.58777150644035,0.0219527600384072,0.998950096371237,-4.45054422958717
"77","GB52155",55,33,35,42,67,76,36,50,43,26,15,55,0.776637679558494,2.25017402737126,2.16224259085719,0.0490480853847311,0.998950096371237,-4.45813949699449
"78","GB52426",118,65,124,178,140,204,78,175,164,357,283,387,-0.460833614719057,4.24933416723977,-2.06482886015558,0.0586603491753107,0.998950096371237,-4.37731961663401
"79","GB52597",84,46,35,53,42,91,53,92,171,151,79,111,-0.648778294675423,3.10741189891386,-2.36964587130895,0.0332777748775814,0.998950096371237,-4.38531379332419
"80","GB52618",243,93,190,285,290,542,203,296,402,731,472,604,-0.518372532635007,5.17703093227945,-2.00772859197267,0.0650763496096479,0.998950096371237,-4.3662391145406
"81","GB52721",213,122,153,129,192,219,137,161,48,340,42,83,0.938758598367871,3.92036266051625,2.13004601736598,0.0520498457671215,0.998950096371237,-4.37916710298975
"82","GB52989",107,68,115,168,153,190,133,166,177,272,224,235,-0.356637005989521,4.17525560105509,-2.29179608396747,0.0385320912307733,0.998950096371237,-4.32707591389575
"83","GB53043",238,159,282,313,321,323,305,282,413,422,604,1037,-0.542453164322274,5.32224116870908,-2.31941759177288,0.0365837527418812,0.998950096371237,-4.28194048944307
"84","GB53442",8,4,11,11,8,8,7,36,12,17,34,12,-0.776107029772215,0.465200171045759,-2.04115315840087,0.0612464132519886,0.998950096371237,-4.51671995119507
"85","GB53463",15,9,20,19,11,32,24,27,35,33,38,26,-0.581517109342953,1.37319585722811,-2.15734326518437,0.0494942018691836,0.998950096371237,-4.48664599880138
"86","GB53524",18,33,25,36,24,35,13,82,47,93,64,55,-0.664601025841945,2.11888182787,-2.20247636641164,0.045524111565718,0.998950096371237,-4.45797794768247
"87","GB53525",30,51,26,42,66,34,43,145,65,120,98,51,-0.764266893429473,2.69014743986425,-2.19532743263274,0.0461324328899348,0.998950096371237,-4.43586698704601
"88","GB54110",50,22,41,51,40,42,17,40,23,36,30,38,0.66997542258183,1.98772044939663,3.1417116169392,0.00747276919074009,0.998950096371237,-4.35126197255868
"89","GB54218",7,2,8,20,5,12,6,17,14,34,12,20,-0.769538299484651,0.337957277803464,-2.14515734200295,0.0506202804904266,0.998950096371237,-4.50965685333726
"90","GB54268",1577,722,827,1199,1602,1410,533,1055,908,1193,1058,1870,0.438121709926132,6.97486124123868,2.03507176037844,0.0619274310459944,0.998950096371237,-4.39576715679054
"91","GB54316",106,140,87,50,10,91,75,224,73,362,145,200,-1.11626995679479,3.4958437563952,-2.07722895089914,0.0573465016094068,0.998950096371237,-4.41780993110146
"92","GB54343",582,486,734,899,687,492,355,692,707,549,541,679,0.386149348783359,6.1052515915712,2.00724125582658,0.0651337832752401,0.998950096371237,-4.37549726373037
"93","GB54480",96,93,112,148,135,104,67,131,89,145,91,113,0.379360351664049,3.63036363518163,2.15900969190541,0.0493420393311872,0.998950096371237,-4.38910730629707
"94","GB54607",389,252,259,294,316,237,144,258,322,245,232,291,0.494411199901416,4.91633569538777,2.3147152807865,0.0369087161694993,0.998950096371237,-4.28320854664546
"95","GB55144",73,131,44,61,14,91,51,217,114,447,188,86,-1.16532943732528,3.38338486919998,-2.228234737777,0.0433940754753008,0.998950096371237,-4.3959963769959
"96","GB55331",8,1,4,8,11,25,4,14,12,34,29,25,-1.00202066476248,0.328490427052451,-2.00860096167728,0.0649736549097248,0.998950096371237,-4.52061309776902
"97","GB55614",42,15,40,55,61,161,54,89,197,173,147,117,-0.987557175513202,3.13783970598094,-2.77969621278116,0.015149626365674,0.998950096371237,-4.31653857634889
"98","GB55662",78,109,66,104,54,77,57,91,66,75,48,54,0.569460881845731,3.03167182871878,2.06982377376618,0.0581278038069276,0.998950096371237,-4.43905581325038
"99","GB55786",893,564,1021,843,810,613,378,596,764,689,615,1086,0.500360258508643,6.35071530914315,2.44377979556083,0.028913420982507,0.998950096371237,-4.27447176895602
"100","GB55941",276,386,326,488,299,287,288,308,225,325,312,338,0.439975519363081,5.17991250842632,2.04345608449386,0.0609903287781245,0.998950096371237,-4.35304845420751
