"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB45969",49,24,64,88,108,63,75,152,130,132,333,358,-1.6821687466016,3.53250514784005,-5.20593726401061,0.000149171426649166,0.722362633548586,-3.92847798021635
"2","GB48823",31,28,52,35,52,47,11,11,17,15,29,25,1.01390310904421,1.5937220782577,5.39076532357467,0.000107489988636459,0.722362633548586,-4.19514761692919
"3","GB43738",379,551,673,753,1073,537,743,891,838,1171,1227,1304,-0.893201036706118,6.50850039050063,-4.74320117266884,0.000345617705046118,0.960275512297744,-3.80092927678635
"4","GB46281",10,4,3,16,5,6,12,22,16,18,39,34,-1.90024162325641,0.488037865495269,-4.66268408356604,0.000401137844457819,0.960275512297744,-4.31451369086661
"5","GB50000",129,113,231,241,278,217,168,182,298,291,401,423,-0.715452920952466,4.72283418490786,-4.54893783516597,0.000495754007381386,0.960275512297744,-3.77309622075104
"6","GB40094",117,64,115,121,89,78,90,93,223,155,165,170,-0.797395161391847,3.7366191128969,-3.52666308433556,0.00352026266105651,0.999538101466435,-4.10244657638825
"7","GB40119",212,235,380,278,304,328,254,243,445,245,458,473,-0.43587809508201,5.14842710085407,-3.02800311871734,0.00934236894053721,0.999538101466435,-4.07605853551702
"8","GB40566",160,75,139,247,216,145,336,308,192,174,308,245,-0.883947025158702,4.49768012894791,-2.81873190282136,0.0140513079649363,0.999538101466435,-4.16793131932855
"9","GB40614",35,58,59,64,103,71,39,38,26,28,47,36,0.6762561552793,2.42927522369905,2.75619413545637,0.0158654829504886,0.999538101466435,-4.36237740444601
"10","GB40728",103,86,143,84,122,80,123,164,148,180,220,145,-0.842506145109811,3.86934844284712,-3.96734490056489,0.00149617818011417,0.999538101466435,-4.0074283273969
"11","GB40848",40,44,106,80,105,77,62,130,115,147,121,156,-0.866276417578184,3.3853337459241,-3.54208535435651,0.0034158112810022,0.999538101466435,-4.1512525289833
"12","GB41202",67,104,106,114,119,115,73,106,119,123,227,162,-0.512748615870963,3.71242235349679,-3.0260826481795,0.00937751514484427,0.999538101466435,-4.19723232723553
"13","GB41228",70,329,246,128,262,551,34,115,212,135,57,44,1.30613118904713,3.93115331175734,2.45718114290466,0.0281968664159125,0.999538101466435,-4.30814649145772
"14","GB41270",1031,1101,2178,2132,2374,1664,1678,1644,1949,2094,2511,2601,-0.510332279331635,7.72128103230275,-2.95149264766117,0.0108486909512614,0.999538101466435,-4.2180846269995
"15","GB41439",304,303,384,400,408,352,273,393,391,337,647,534,-0.400159220806717,5.45606351877239,-2.61581050211822,0.0208100301770546,0.999538101466435,-4.18696790478032
