"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB41311",1102,1416,1953,788,1942,2790,1107,458,473,381,315,516,1.15475167050968,7.1024989796838,4.42192031863716,0.000602961558270321,0.994561970872472,-4.00082724863531
"2","GB43515",23,14,28,25,8,15,190,68,40,125,13,42,-2.27528739192942,2.34221972892034,-4.66780626971892,0.000378879849859124,0.994561970872472,-4.21796133655102
"3","GB49901",123,83,99,79,160,85,253,72,179,114,88,146,-0.822241261732615,4.18172995685112,-4.80551932636498,0.000292971344430832,0.994561970872472,-3.85525034372665
"4","GB50550",419,197,310,476,406,324,1059,195,7164,1542,3429,2979,-2.85192154911167,6.9053733223188,-4.50045521566985,0.000519419809176376,0.994561970872472,-3.97602283234499
"5","GB51306",6554,943,1284,934,640,646,15199,2985,7029,2179,1991,4640,-2.27288728134721,8.4882232045953,-4.40236551055324,0.000625838681199248,0.994561970872472,-4.14294333606312
"6","GB51355",10,18,16,11,18,15,53,15,30,21,19,50,-1.42124444227482,1.69411639644842,-4.97671360266738,0.000213508596251832,0.994561970872472,-4.26559104168268
"7","GB40094",117,80,170,75,220,173,105,60,13,45,34,44,1.16911401306184,3.54746139784402,3.10682469944726,0.00785971952626923,0.999044497178242,-4.23983709395217
"8","GB40106",98,76,132,66,114,86,154,49,211,101,109,183,-0.841356675705047,4.07026971003691,-2.7992187120005,0.0143882310980169,0.999044497178242,-4.22939113438477
"9","GB40148",1588,1079,752,473,445,671,5123,1018,1611,1273,843,1146,-1.40338067509581,7.37581770692599,-4.22983253794198,0.000870762583458262,0.999044497178242,-4.05187580906938
"10","GB40864",9,10,23,13,13,8,30,8,31,22,8,31,-1.09928643570951,1.27865739364545,-3.16291755742376,0.00703618737567526,0.999044497178242,-4.41901913227232
"11","GB40967",1213,1270,3737,1621,2077,2222,1125,1104,497,562,468,594,0.952120654950732,7.47105667513606,2.98457238356319,0.0100006495100101,0.999044497178242,-4.25305132466039
"12","GB41224",23,18,25,24,32,29,47,28,27,42,19,32,-0.740992910935066,2.15476630805895,-3.05210672308622,0.00875514175886148,0.999044497178242,-4.37204352343124
"13","GB41240",431,141,629,375,705,791,497,184,102,78,95,169,1.0876042578257,5.35683303815951,2.91897522809091,0.0113774669561813,0.999044497178242,-4.16239366026983
"14","GB41361",472,115,76,22,19,40,840,130,457,359,28,294,-2.3610303461365,4.26797113213172,-3.15644523141495,0.00712664998529005,0.999044497178242,-4.17680451984553
"15","GB41372",492,315,347,145,470,394,277,154,112,100,111,167,0.766677944634854,5.11787093385548,2.87589482113357,0.0123815506429475,0.999044497178242,-4.16226350573544
"16","GB41386",1066,645,935,846,1067,934,1120,389,503,315,290,513,0.481818138800377,6.67625661718303,3.28505162274794,0.00552846754252206,0.999044497178242,-4.13791854848416
"17","GB41428",76410,12132,11100,3338,15884,2525,50246,22541,30825,44112,16434,31077,-2.04292536268239,11.4612175950314,-3.09572317325961,0.00803372058509873,0.999044497178242,-4.42157556173239
"18","GB41830",9,4,7,4,14,8,15,7,34,15,11,20,-1.43716559624353,0.770397892418767,-3.43540055463868,0.00410861193060899,0.999044497178242,-4.42842738965107
"19","GB41911",373,255,378,252,480,386,429,182,165,162,105,174,0.433434397804244,5.31086033645592,2.78334972871582,0.0148416693540869,0.999044497178242,-4.17499568815204
