"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40013",170,31,24,38,76,215,458,213,312,118,97,52,-1.65811801199438,4.02983157575583,-2.46677737974545,0.0274484239042903,0.999691700885618,-4.32275185644287
"2","GB40618",3744,311,507,417,832,2298,9280,3014,6610,686,1954,866,-1.72100688543837,7.85475465836688,-2.26467438412387,0.0402772028976804,0.999691700885618,-4.40237583864026
"3","GB40805",263,459,387,230,187,332,197,228,133,151,380,113,0.442829259099866,5.20199036085346,2.49694620905276,0.0259059350297157,0.999691700885618,-4.25108633575277
"4","GB40892",359,426,279,208,247,443,434,376,299,353,522,216,-0.421502454922688,5.71665679458067,-2.43917177998457,0.0289366145333392,0.999691700885618,-4.26983282746809
"5","GB40980",251,378,385,155,170,142,200,214,90,99,215,65,0.510705016454648,4.77431990808301,2.28542959687529,0.0387354679376406,0.999691700885618,-4.31312414232733
"6","GB41302",215,336,272,161,303,99,67,118,84,270,82,65,0.909281230807318,4.52492468863111,2.34839635109317,0.0343921576503809,0.999691700885618,-4.31276037326794
"7","GB41389",243,245,147,85,93,271,751,347,333,125,306,86,-0.907248984904794,5.01359843900744,-2.28674601259749,0.0386395832012985,0.999691700885618,-4.30668513373773
"8","GB41390",3013,875,592,528,634,3303,6715,2796,4563,1023,2564,755,-1.36330937519629,7.98252264632935,-2.32922653490893,0.035663061171374,0.999691700885618,-4.39569509734886
"9","GB41484",168,260,169,137,123,124,200,212,136,156,252,123,-0.388220676501171,4.7106953466744,-2.53981874611209,0.0238563570284907,0.999691700885618,-4.2470220371285
"10","GB41670",742,645,999,350,222,229,334,300,171,109,497,75,0.886939773177146,5.57829164581466,2.45617763212575,0.0280109722068213,0.999691700885618,-4.27248435765351
"11","GB41741",116,141,66,42,81,60,371,154,245,105,157,72,-1.25674258112118,4.1407772681144,-3.4660271369952,0.00388211588062486,0.999691700885618,-4.10846027965368
"12","GB41983",241,301,150,84,230,211,220,290,189,278,313,126,-0.510206387058326,5.02410021384763,-2.62310917317204,0.0203121081035215,0.999691700885618,-4.2168963623137
"13","GB42263",158,209,150,121,131,123,91,108,60,136,153,49,0.394294864443861,4.19541065886075,2.36091050045558,0.0335858095066607,0.999691700885618,-4.32216420678443
"14","GB42427",3331,1703,8375,3661,670,298,1446,414,478,256,858,141,1.77408541060796,7.15882870507164,2.54167757812604,0.0237711174336017,0.999691700885618,-4.32502994986868
"15","GB42514",10,22,0,18,7,4,9,153,39,15,18,12,-2.10950758458206,0.982624131787055,-2.38669867046091,0.0319804326468584,0.999691700885618,-4.49848424164441
"16","GB42526",6369,5460,3728,1484,2554,4967,10588,6224,7280,3443,5557,2261,-0.801056885404783,9.43212604937152,-2.32873359250295,0.0356963214255455,0.999691700885618,-4.44112600197743
"17","GB42529",80,146,86,63,88,63,52,53,27,75,78,20,0.591951219993413,3.29438897675856,2.83657502121493,0.0134036809982418,0.999691700885618,-4.31053540388199
"18","GB42927",33,39,23,21,17,22,16,18,8,11,28,12,0.519371536502077,1.60943493928321,2.22357626387483,0.0435019768673846,0.999691700885618,-4.49084629776925
"19","GB43482",5834,3176,1988,2007,3028,5701,8949,4348,7222,3959,5934,2786,-0.909571748633512,9.339662265692,-2.46701273633646,0.0274360566901697,0.999691700885618,-4.42064226695002
"20","GB43877",628,757,859,404,182,171,283,143,136,160,311,67,1.07891660784911,5.35774847593658,2.97642269454129,0.0101881588226718,0.999691700885618,-4.14880249354657
"21","GB44065",61,83,39,66,66,69,65,119,82,88,115,41,-0.650674584129459,3.48785438860011,-2.7407563341659,0.0161619413196205,0.999691700885618,-4.3041672758431
"22","GB44488",19,58,14,5,13,7,31,58,13,15,52,8,-0.94796334785651,1.54109463261731,-2.36426525668487,0.0333727163425573,0.999691700885618,-4.48006729745489
"23","GB44967",564,521,315,259,341,455,765,504,527,420,527,278,-0.565685967790403,6.10147911474923,-2.51753335958964,0.0249014657602056,0.999691700885618,-4.26659349381554
"24","GB45153",61,144,51,15,29,44,113,94,53,50,97,43,-0.756939363042234,3.16291648523971,-2.66099694962354,0.0188737914521946,0.999691700885618,-4.34881309361026
"25","GB45314",124,177,94,50,63,81,80,140,73,111,195,48,-0.358167812074946,3.8888448419915,-2.22406878799566,0.0434619345254401,0.999691700885618,-4.36984777867499
"26","GB45648",270,626,189,211,236,313,133,225,139,205,299,115,0.43491039429404,5.13349493267624,2.26744596536776,0.0400680305263308,0.999691700885618,-4.31010260174177
"27","GB45763",190,31,28,32,50,155,386,220,354,66,105,54,-1.65236533688973,3.89483962780425,-2.48206769390675,0.0266559649028508,0.999691700885618,-4.32999844940859
"28","GB45796",2311,1361,144,681,936,468,8389,2885,5677,943,4713,2413,-2.52744787577257,7.93643830342749,-3.86656753621041,0.00176956690333229,0.999691700885618,-4.16499484127938
"29","GB45815",7,18,12,4,7,6,16,19,7,12,24,4,-0.803336157638998,0.683531213520051,-2.815893565724,0.0139570318186976,0.999691700885618,-4.47593374284953
"30","GB46055",29,51,14,26,18,27,17,13,13,16,17,6,0.70885039313362,1.55489784233174,2.45151363503265,0.0282619795916188,0.999691700885618,-4.47194718215917
"31","GB46241",23,14,8,13,11,10,26,17,22,14,23,10,-0.741717098228909,1.2770403777793,-2.23751953173479,0.0423816635652677,0.999691700885618,-4.49985173800512
"32","GB46411",53,160,149,51,52,73,26,49,21,37,77,28,0.88195160335254,3.0844527169635,2.99045510010562,0.00991096527474797,0.999691700885618,-4.30999812037885
"33","GB46534",524,383,287,148,278,608,681,499,583,338,603,296,-0.783545107296439,5.98230141106854,-2.62602861596,0.0201976035493546,0.999691700885618,-4.23561081630788
"34","GB46762",9,18,9,3,5,21,23,15,14,11,18,7,-0.79134541098498,0.867064407439559,-2.23904342836275,0.0422608774760701,0.999691700885618,-4.51129057461786
"35","GB46842",51,48,194,70,24,39,36,32,16,12,38,2,1.30852695281016,2.28641500854555,2.30291258667032,0.0374801701887787,0.999691700885618,-4.45928558561554
"36","GB47126",25,12,11,8,10,9,10,9,3,8,1,1,1.23480875797163,0.189356674426962,2.34836960019081,0.0343939008571187,0.999691700885618,-4.51600727733879
"37","GB47682",69,134,102,50,82,51,95,98,75,90,132,58,-0.440329026671695,3.70321695239798,-2.2537934359368,0.0411083744573962,0.999691700885618,-4.37667017945487
"38","GB47894",7,22,15,7,14,9,2,10,1,9,17,0,1.33851730216199,0.086824898512967,2.39627249436751,0.0314032338877123,0.999691700885618,-4.51387015473948
"39","GB48382",485,846,396,444,262,404,326,363,245,148,422,161,0.537058948545985,5.73672233301267,2.36293759086094,0.0334568953028253,0.999691700885618,-4.29428309015259
"40","GB48527",1474,1562,780,381,739,1713,3635,2106,2296,1059,1783,614,-1.03823833614046,7.64492054274534,-2.83912535864468,0.0133369518645029,0.999691700885618,-4.29320104234974
"41","GB48560",114,211,193,160,88,72,68,111,49,55,112,26,0.730657753556863,3.83316656387895,2.66670503064527,0.0186658458496694,0.999691700885618,-4.29161762465999
"42","GB48784",9411,3687,2775,3255,3901,9732,14393,8131,11888,5725,6816,4004,-0.960931919756709,9.9049252712202,-2.2304201324269,0.042948657237722,0.999691700885618,-4.46555336200911
"43","GB48884",668,526,348,354,324,525,753,712,673,404,591,325,-0.590464153263635,6.28029840899986,-2.40550766199461,0.0308558636882274,0.999691700885618,-4.3020186720986
"44","GB49025",44,99,61,32,37,33,24,36,20,25,55,9,0.635481657914396,2.43739537559041,2.80256949727538,0.0143253161056941,0.999691700885618,-4.38758821695734
"45","GB49347",743,2027,1581,745,662,550,537,687,266,779,794,240,0.669009416202512,6.73937202625724,2.61553997194113,0.0206119170900282,0.999691700885618,-4.28346132700886
"46","GB49401",48,67,47,20,26,48,52,64,38,41,77,31,-0.500245765788843,2.79603446247648,-2.72191875279873,0.0167659866285069,0.999691700885618,-4.36904599123685
"47","GB49689",116,57,68,59,71,47,57,27,24,46,30,17,0.832308017512354,2.8560610740043,2.31947342808921,0.0363266163919421,0.999691700885618,-4.42460078365169
"48","GB49784",863,1276,1427,452,307,482,328,644,269,420,559,200,0.612993950980557,6.3174158642114,2.42641756424017,0.029649945961814,0.999691700885618,-4.3023471932096
"49","GB49869",316,1345,580,306,269,450,171,436,148,194,784,78,0.746339181785406,5.66252068604293,2.38666503423539,0.0319824782396831,0.999691700885618,-4.28939884874157
"50","GB50004",230,311,156,88,147,240,456,277,221,218,264,100,-0.626076916541193,5.01793200149446,-2.60855337158474,0.0208924472286151,0.999691700885618,-4.22149652465695
"51","GB50087",901,1116,609,358,498,681,836,868,611,683,1067,379,-0.390257614111613,6.73530083495507,-2.66220819476821,0.0188294786470634,0.999691700885618,-4.2706967985771
