"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40095",83,58,112,154,149,81,104,96,124,257,146,274,-0.898409113030705,4.28219541766353,-3.50205188323922,0.00351999981547582,0.47660531196694,-1.81732707897572
"2","GB40109",493,406,740,752,965,323,907,699,738,1165,572,819,-0.714086083017773,6.72468045015625,-4.15989594650801,0.000962488710074852,0.47660531196694,-0.895282187619022
"3","GB40210",8,6,5,9,6,4,10,9,16,13,12,10,-1.08503838616301,0.479330218066056,-3.32889840612877,0.00496721565692638,0.47660531196694,-2.92777848275397
"4","GB40410",238,138,321,306,649,52,64,119,48,184,130,82,0.990362556931584,4.50014876700782,3.29606388588908,0.0053025930051247,0.47660531196694,-2.11385928127877
"5","GB40567",96,104,106,198,206,58,120,114,136,230,124,182,-0.557876145506339,4.35864562538928,-3.32960905207911,0.00496019654816131,0.47660531196694,-2.05468075386172
"6","GB40908",69,56,78,65,69,24,151,59,78,113,99,83,-0.946335454865013,3.51591171948557,-3.89450909732731,0.00161867430257818,0.47660531196694,-1.4544642897681
"7","GB41011",622,159,657,670,484,217,542,483,1018,789,910,950,-1.14895289845275,6.44050657330459,-3.40904027143758,0.00423510200731806,0.47660531196694,-1.93381863387535
"8","GB41407",31,43,50,46,60,11,9,14,9,26,5,24,1.24228756405033,1.76054607344248,4.1012295735858,0.00107917253651659,0.47660531196694,-1.89573741071328
"9","GB41630",495,147,562,446,426,191,651,449,724,578,535,610,-1.05617714675779,6.12326504531903,-3.62892304089156,0.00273617280210535,0.47660531196694,-1.59345446325656
"10","GB41704",652,371,688,699,831,280,542,756,510,916,728,809,-0.579006582956937,6.59655977383035,-3.64062951431317,0.00267338749777049,0.47660531196694,-1.6052979998034
"11","GB41747",11,1,5,5,17,1,12,18,7,20,8,10,-1.52790646170817,0.270816805568122,-3.53108326077734,0.00332268921985583,0.47660531196694,-2.81788951606177
"12","GB41753",40,22,34,43,83,23,53,60,45,70,51,45,-0.755722396898074,2.8111726345906,-3.34607968480031,0.00480026695954721,0.47660531196694,-2.31871719012553
"13","GB41786",259,121,208,232,273,111,277,160,240,554,205,470,-0.856621857729349,5.19542352902146,-3.67503624174734,0.0024971553859633,0.47660531196694,-1.49814426814245
"14","GB41844",47,43,54,85,102,22,52,51,69,141,89,111,-0.814668527340893,3.35248885105884,-3.66499182930696,0.00254735325974185,0.47660531196694,-1.78824341402441
"15","GB42194",18,2,6,10,21,5,33,15,12,21,16,19,-1.35584710798395,0.986722816146411,-3.29972186229614,0.00526413628286374,0.47660531196694,-2.8326345392161
"16","GB42439",9,3,10,14,15,10,65,44,92,18,58,15,-2.19938148135595,1.63644024255265,-3.39282159082821,0.0043739733453255,0.47660531196694,-2.60306943297847
"17","GB42544",157,174,150,231,265,55,80,106,56,146,84,85,0.571942507556949,4.20764112696303,3.67257350743569,0.00250936977624554,0.47660531196694,-1.59877150720504
"18","GB42624",148,153,225,196,171,85,238,174,273,284,208,230,-0.827084495696821,4.90062278911426,-4.09895731204823,0.0010839724794643,0.47660531196694,-0.893550961235452
"19","GB42865",353,103,330,285,330,195,472,336,456,474,335,369,-0.990659961074144,5.62483684204199,-3.48379508297235,0.00365007995934671,0.47660531196694,-1.78698530155067
"20","GB43035",58,23,33,35,60,7,51,132,27,130,51,137,-1.53330398537704,2.89271523932245,-4.18948540225129,0.000908616908631339,0.47660531196694,-1.34647053315446
"21","GB43660",26,20,28,20,37,9,24,25,20,49,42,51,-0.851621599403365,2.08610266595401,-3.3673908555813,0.00460097295161695,0.47660531196694,-2.48070126719464
"22","GB43711",28,36,26,55,56,25,52,56,40,184,38,64,-1.11216016326102,2.88567137657737,-3.90755566082396,0.00157763651415525,0.47660531196694,-1.64660133516137
"23","GB44065",49,49,69,77,100,41,93,88,66,115,66,69,-0.665003938199588,3.47385507260288,-3.66189136531479,0.00256305332944592,0.47660531196694,-1.75722834253149
"24","GB44090",72,15,49,47,81,27,55,129,35,141,118,61,-1.17736076220186,3.19257740021817,-3.31409241210045,0.00511573711204533,0.47660531196694,-2.27462667587919
