"","ID","NR.1","NR.2","NR.3","NR.4","NR.5","NR.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40217",56,27,64,68,103,59,91,147,212,231,73,64,-0.763999915868615,3.72725806397069,-2.47832450904292,0.0265732908408547,0.999357219611173,-4.3402158727992
"2","GB40300",10,14,15,7,34,16,34,29,36,61,21,35,-0.879317011537463,1.8228715316703,-2.81852873264492,0.0136857427716055,0.999357219611173,-4.42830905470893
"3","GB40386",91,84,108,72,158,62,172,116,202,232,117,172,-0.46060877018021,4.26393934546534,-2.32187557952723,0.0358519258521146,0.999357219611173,-4.32914595775283
"4","GB40519",65,64,64,8,85,21,53,114,122,167,81,74,-0.809645305722524,3.28094302768338,-2.43855760722569,0.0286868603085466,0.999357219611173,-4.38348703897241
"5","GB40708",5408,3321,5375,3489,4979,2027,2207,3196,4959,4947,3435,3605,0.493318583841901,9.19156277715512,2.36425536872332,0.0330726940672308,0.999357219611173,-4.40084469671289
"6","GB41659",484,296,373,283,746,213,488,835,597,912,575,569,-0.456214166849178,6.25287898535663,-2.62227710481933,0.0201029279293361,0.999357219611173,-4.23282707208033
"7","GB41765",10,4,7,3,6,2,12,10,13,21,20,8,-0.983945221929445,0.405986042136861,-2.79478334946733,0.0143404277946299,0.999357219611173,-4.48615170744112
"8","GB41922",858,560,541,448,1141,339,1336,1149,1287,1780,698,731,-0.51264563815986,6.99024451692283,-2.80639704463738,0.0140164893765367,0.999357219611173,-4.23127957033917
"9","GB42219",36,12,27,16,27,6,9,15,24,24,10,5,0.848043622913284,1.27793021684331,2.50645209742361,0.025169202852287,0.999357219611173,-4.47855945568373
"10","GB42401",257,187,222,144,405,111,456,362,405,632,231,243,-0.469170491020654,5.41619091745109,-2.48952284062038,0.0260055232955176,0.999357219611173,-4.24337540043289
"11","GB42670",12,10,12,6,38,7,23,27,35,33,15,26,-0.690617460650808,1.47489036102723,-2.44773911487151,0.028185066368935,0.999357219611173,-4.47749725974378
"12","GB42768",57,65,27,41,79,34,20,22,19,32,14,41,1.4042999400103,2.39646260034734,4.7456543931385,0.000314062430883968,0.999357219611173,-4.2118614275783
"13","GB42832",70,87,80,49,108,45,29,67,104,123,51,43,0.496268599063013,3.37297057530149,2.29968437229513,0.0373939057764161,0.999357219611173,-4.39528144421962
"14","GB42908",40,7,64,41,22,121,9,2,6,7,37,18,2.20545167830467,1.54798057490361,2.52770324403522,0.0241558502063019,0.999357219611173,-4.47071055631858
"15","GB43119",357,153,211,296,628,118,653,634,536,1035,394,434,-0.842350081891016,5.90896703990844,-3.20998303921579,0.00630296721447979,0.999357219611173,-4.08262077822635
"16","GB43182",5,11,4,1,5,7,9,16,11,22,11,12,-1.02173821072105,0.374166179796938,-2.40235968068794,0.0307494232607093,0.999357219611173,-4.51177733299451
