"","ID","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40106",106,226,166,247,202,246,80,98,172,139,103,170,0.908522631936979,4.49170358128626,3.10431617477799,0.00781805020511882,0.999871512812231,-3.98924950511368
"2","GB40264",12,28,16,11,9,22,7,13,8,13,7,10,0.947694164634346,0.86480358334058,3.71825187928826,0.00231715675654555,0.999871512812231,-4.37023355828062
"3","GB40420",12,31,46,15,17,38,6,16,19,25,32,11,0.808636581712031,1.54574796760116,2.66182188761229,0.0186789121776331,0.999871512812231,-4.41581797567631
"4","GB40700",1169,2128,1394,961,1448,1785,1092,1329,1440,1441,1068,1159,0.528849686317836,7.61589215141256,2.86793853753212,0.0124714264439207,0.999871512812231,-4.15594756922239
"5","GB40728",37,147,69,37,45,83,94,169,148,115,115,88,-0.630278691330971,3.65127323525802,-3.83660835894355,0.00183545739456459,0.999871512812231,-3.95895352260608
"6","GB42084",353,1355,1302,346,356,1010,1302,1444,1296,1157,1554,735,-0.643344304063464,7.03231933945723,-3.23814509702657,0.00599620953857936,0.999871512812231,-4.00617014307937
"7","GB42178",558,2240,1033,1123,562,700,590,632,1183,701,446,582,0.787234511548345,6.82853237917986,2.98433196252104,0.0099129523490667,0.999871512812231,-4.04664430359532
"8","GB42385",957,4856,3254,938,975,5231,6872,5240,5280,4731,4802,2109,-0.927411880046023,8.80941648023896,-2.94510086523773,0.0107115395240669,0.999871512812231,-4.23143513417544
"9","GB43256",298,1153,871,331,348,712,1560,1400,1033,1008,940,501,-0.63605522118216,6.76195191679559,-2.86786926589278,0.0124731274194217,0.999871512812231,-4.0824978755965
"10","GB43361",3,9,6,4,4,20,13,18,13,15,19,11,-0.865006027272972,0.560444722316059,-2.76678761753061,0.0152133980372286,0.999871512812231,-4.46298293181989
"11","GB43362",28,164,199,66,78,261,290,290,341,201,242,134,-0.82790787123082,4.5361618749505,-2.88903957854849,0.0119637453327785,0.999871512812231,-4.055517471837
"12","GB43778",98,180,280,169,116,205,89,73,201,144,119,137,0.721294930662499,4.3757595082777,2.80153270485757,0.0142108827153734,0.999871512812231,-4.08962229822191
"13","GB44247",50,322,113,67,89,158,50,114,110,102,91,103,0.593196556403985,3.88755784181021,2.66509178182116,0.0185602116963097,0.999871512812231,-4.18757201782823
"14","GB44504",14,37,18,29,24,17,5,5,14,39,10,5,1.30841472581243,1.13709055292129,2.91677683919785,0.0113271765243448,0.999871512812231,-4.4193062995936
"15","GB45336",44,80,79,53,44,78,115,183,171,178,87,49,-0.746739302895043,3.64791467819861,-2.88389649130942,0.0120855830264022,0.999871512812231,-4.16756001763102
"16","GB45690",111,378,299,131,98,278,332,441,360,335,313,199,-0.455518580796314,5.17865505772264,-2.88169392104155,0.0121381329264593,0.999871512812231,-3.99911908125306
"17","GB45756",8,18,9,4,6,6,4,2,3,12,3,5,1.10116543744921,-0.157056453475836,2.68604430077604,0.0178167995057116,0.999871512812231,-4.49663789924951
"18","GB45884",513,935,533,742,568,398,422,297,438,1066,331,221,0.929684867325098,6.16561372592981,2.65858122997713,0.0187972774157895,0.999871512812231,-4.08953986231684
"19","GB45966",8,24,17,16,13,24,6,8,9,8,3,21,1.27889363084701,0.782681950848199,3.32280328062866,0.00506923064036024,0.999871512812231,-4.40720690136991
"20","GB46038",19,82,68,24,75,63,16,25,44,57,50,18,0.874934760850774,2.52392393577402,2.8851076291116,0.0120567824244146,0.999871512812231,-4.30427822456424
"21","GB46095",19,76,109,36,48,86,120,124,130,126,83,66,-0.645872275251616,3.47121199739859,-2.85391462539605,0.01282046704777,0.999871512812231,-4.19929676149789
"22","GB46148",12,29,25,13,18,33,14,12,8,12,4,28,1.16489108694868,1.18792912685653,2.96499316580448,0.010298990633486,0.999871512812231,-4.40941704812397
"23","GB46429",359,866,823,291,239,892,670,951,1017,854,812,843,-0.490130139331767,6.5847221715553,-2.68458187786184,0.0178677351965625,0.999871512812231,-4.12065339412698
"24","GB46984",226,550,528,336,335,825,855,935,734,572,1148,605,-0.579924695641411,6.41139934203715,-2.64351413328318,0.0193572185212218,0.999871512812231,-4.12187363702591
"25","GB47237",7,23,14,12,7,17,6,7,6,13,4,11,1.01216656007139,0.545454865640094,3.21601784091581,0.00626522662973701,0.999871512812231,-4.42887305223626
"26","GB47399",34,96,112,44,20,165,171,288,123,144,134,82,-0.881245514555055,3.8053440787289,-2.66901422444751,0.0184187879514056,0.999871512812231,-4.20452336412129
"27","GB47493",24,88,109,49,48,120,145,250,126,164,86,83,-0.741459104181331,3.75882474236047,-2.65435108344876,0.0189528782656498,0.999871512812231,-4.2106793743429
"28","GB47579",46,101,43,59,35,162,234,239,100,157,317,104,-1.18203642039926,3.96430668731785,-3.07989801525618,0.00820542341025136,0.999871512812231,-4.08501986114937
"29","GB47806",21,173,28,38,61,51,30,34,29,27,15,26,1.19447481502306,2.39741276401881,2.99324310093433,0.00973990913367378,0.999871512812231,-4.30277458884949
"30","GB47996",6,46,21,16,15,34,7,13,19,15,16,16,0.805233211479274,1.29608055729987,2.84521906422131,0.0130416825302208,0.999871512812231,-4.41226039416971
"31","GB48173",17,62,10,15,13,10,9,13,15,10,2,3,1.41439589607898,0.738101781401522,2.62495276035544,0.0200692511373373,0.999871512812231,-4.4666427243753
"32","GB48205",5,13,12,7,6,9,5,6,7,4,5,1,1.14383843878957,-0.101305179804829,3.50530128481586,0.00353019248073843,0.999871512812231,-4.44765061702538
"33","GB48240",30,69,89,39,42,73,92,83,117,90,112,58,-0.485949612144877,3.35097969712721,-2.63890298222569,0.0195317890899331,0.999871512812231,-4.26044250550417
"34","GB48310",127,275,93,117,103,119,68,39,79,64,48,170,1.17363476476875,3.80394288181708,3.09450993908063,0.00797138892571365,0.999871512812231,-4.10179898308616
"35","GB49701",30,146,69,35,34,84,31,71,54,64,38,46,0.541787250097977,2.9513265100784,2.64518755389815,0.0192942400301632,0.999871512812231,-4.30108959857378
"36","GB49717",7,13,11,10,5,8,0,2,5,4,9,6,1.5868340280241,-0.265497705463939,2.97564719558111,0.0100845179732261,0.999871512812231,-4.48320335362512
"37","GB51043",39,88,59,26,30,107,101,128,107,102,120,53,-0.644642080669984,3.38465567439786,-3.00845380657556,0.0094514005711713,0.999871512812231,-4.17766215031148
"38","GB51322",3,16,18,4,7,29,16,30,40,27,15,29,-0.939318722266017,1.22863876982689,-2.69751365652029,0.017422186604456,0.999871512812231,-4.43453980972587
"39","GB51467",784,2488,951,1341,1522,1863,734,1027,1548,1097,810,1192,0.743591019030631,7.45923957831009,2.86760670680078,0.0124795766639913,0.999871512812231,-4.14276712782835
"40","GB51936",2,4,11,0,3,6,4,12,15,14,9,8,-1.28431536342556,-0.227134817050293,-2.72237107153577,0.0165958850277043,0.999871512812231,-4.49335742963806
"41","GB52528",9,36,53,29,30,41,93,74,81,106,228,21,-1.21243180558917,2.85577319941241,-2.71844391846255,0.0167238462986889,0.999871512812231,-4.30615135693376
"42","GB52895",106,574,103,183,138,143,105,58,92,89,51,210,1.21767784630977,4.18277556280382,2.82598800173384,0.013544287621002,0.999871512812231,-4.11798057151606
"43","GB53353",14,58,28,16,10,26,18,15,14,23,12,13,0.806820663401072,1.45755454931009,3.16498073375812,0.00693246624710325,0.999871512812231,-4.36757339762485
"44","GB53385",189,1219,450,210,222,617,1192,1176,541,690,803,490,-0.766436356113867,6.31080051095305,-2.76573322600697,0.0152448759820344,0.999871512812231,-4.07847201269212
"45","GB53549",265,625,176,183,209,348,164,229,225,251,110,238,0.758991521743013,5.07930666897039,2.67579830971503,0.0181766514979346,0.999871512812231,-4.06794503876286
"46","GB53987",29,78,64,81,14,31,2,1,23,7,25,21,2.57795413694834,1.46911365979077,3.86539146776131,0.0017345492155144,0.999871512812231,-4.32514607572621
"47","GB54486",167,745,595,136,212,432,813,482,913,397,674,848,-0.816436676704312,6.05811639920546,-2.9204465073196,0.011245492573203,0.999871512812231,-4.01317954833915
"48","GB55213",329,652,779,958,549,636,8501,4235,2885,1028,979,908,-1.44977503742276,7.39973491321811,-2.70709346571843,0.0170991060869645,0.999871512812231,-4.18390760671034
"49","GB55220",440,1293,1368,569,584,1615,2028,1882,1461,1833,1300,1048,-0.568860903155255,7.41065453593198,-2.85437915880956,0.0128087533678212,0.999871512812231,-4.14144767339779
"50","GB55302",2252,6889,4267,2591,2400,5436,6905,6251,6862,5785,5897,4921,-0.459881814041729,9.42588990507104,-2.711171651722,0.0169633431536746,0.999871512812231,-4.3112427921016
