"","ID","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40997",454,238,425,508,341,338,503,148,195,188,426,203,0.49246317017249,5.77875368336237,2.61983459155885,0.0203057848516586,0.999857355459685,-4.17838504331877
"2","GB41244",85,70,94,132,97,143,156,63,104,105,170,130,-0.313075081249745,4.28355979410339,-2.21451742331216,0.044058337291214,0.999857355459685,-4.33817429056434
"3","GB41291",8,3,11,11,2,30,45,3,9,14,23,17,-0.948751901516417,0.96765222625787,-2.07162429351494,0.0574399633533226,0.999857355459685,-4.52287571376127
"4","GB41337",15,15,13,53,9,15,8,4,10,5,16,11,0.903422169702387,1.13302113003876,2.48682723970429,0.0262614497111237,0.999857355459685,-4.48615577744695
"5","GB41695",60,44,23,131,25,107,59,10,30,18,67,19,0.811198642910563,2.79254633947797,2.15190446631579,0.0495180578990939,0.999857355459685,-4.45294705760477
"6","GB42353",76,90,92,131,67,90,96,25,73,43,77,58,0.487115967947129,3.68920605635608,2.58522952437651,0.0217160986183797,0.999857355459685,-4.31274351824287
"7","GB42549",26,67,61,35,29,46,40,10,15,6,24,35,0.966312613850417,2.31519580187594,2.51321703722638,0.0249599315134583,0.999857355459685,-4.43299938103252
"8","GB42775",21,19,12,35,15,32,17,4,13,6,11,18,0.875000215992234,1.44013955286742,2.98846922654637,0.00985675935887041,0.999857355459685,-4.43294757064678
"9","GB42783",10,4,11,13,6,24,5,1,11,3,9,5,0.94678246230904,0.37923343683533,2.47374781071483,0.0269303858081914,0.999857355459685,-4.50725769839689
"10","GB42829",422,555,595,1891,344,860,1125,234,323,214,701,364,0.564596182802624,6.5408107587831,2.10230327442481,0.054283455940996,0.999857355459685,-4.35209762813156
"11","GB43202",125,87,189,228,117,162,221,53,78,75,115,49,0.630726946851808,4.32539355049448,2.71226644726988,0.016959841767151,0.999857355459685,-4.21836655333389
"12","GB43292",11,14,17,24,8,26,12,1,3,3,19,6,1.34431583727506,0.75688160395374,3.73568877842439,0.00224852939073182,0.999857355459685,-4.41756635574744
"13","GB43812",10,3,13,18,5,25,11,3,2,2,16,5,0.866174294107023,0.423896553907902,2.07595177695323,0.0569846744226964,0.999857355459685,-4.53233583908611
"14","GB43977",7,0,1,11,4,17,12,5,6,9,14,13,-1.2880164990759,0.190953022986155,-2.18098775270469,0.0469079335175311,0.999857355459685,-4.52876250520401
