"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40056",153,227,341,191,251,251,76,93,236,290,298,226,0.455311815154623,4.85704832857448,3.67772883592483,0.00270807097943954,0.257454113260875,-1.4077543293707
"2","GB40094",98,94,127,126,109,118,52,31,84,101,110,73,0.83010689847051,3.65834589204729,4.11410236690113,0.00117673279226119,0.257454113260875,-0.757550324850466
"3","GB40095",128,116,122,143,175,177,153,127,452,430,314,326,-0.837127184445342,4.80866404301845,-4.20134436395971,0.00099808466149116,0.257454113260875,-0.563676868448625
"4","GB40102",101,164,206,173,197,159,43,86,152,231,185,160,0.474891643337768,4.35630540138856,4.56929500196016,0.000502824225578651,0.257454113260875,0.00558950962358651
"5","GB40234",127,167,144,212,254,148,114,155,486,508,362,455,-0.71893371305741,5.01613656584608,-4.15582858255103,0.00108751511150781,0.257454113260875,-0.631754987679856
"6","GB40265",32,49,60,44,97,53,45,37,120,277,115,148,-0.827741874126868,3.37972471948791,-3.66517109953962,0.00277437514697462,0.257454113260875,-1.4848080224737
"7","GB40363",4,10,8,5,13,10,3,12,31,46,19,26,-1.09930760741967,0.797248147574407,-3.668781308003,0.00275514630081039,0.257454113260875,-1.97146919573246
"8","GB40683",610,333,419,504,495,616,47,109,170,336,452,607,1.3044347939179,5.50818646177617,3.7899465093334,0.00218260072359731,0.257454113260875,-1.22924281071337
"9","GB40877",538,1048,1144,902,882,726,267,394,757,985,920,648,0.581720023728874,6.6741217361705,3.91900897437537,0.00170490769556041,0.257454113260875,-1.05320229801103
"10","GB40916",14,9,12,11,26,12,12,17,42,50,26,53,-1.01517839616828,1.52374131727421,-3.73159239285477,0.00244144872605716,0.257454113260875,-1.71614935908457
"11","GB41525",206,390,487,357,404,385,90,176,351,473,467,343,0.486337121929875,5.49095346105615,4.08688501159677,0.00123894687197655,0.257454113260875,-0.743881397498565
"12","GB41655",594,727,893,622,747,507,126,191,255,614,681,621,1.09328407985537,6.09893923937164,4.91791048919904,0.000266514793347912,0.257454113260875,0.48961710485931
"13","GB41779",795,815,1068,714,1304,1044,179,258,500,1231,1256,1003,0.861589728184279,6.71318913011463,3.85013054831698,0.00194483583922536,0.257454113260875,-1.16374671340068
"14","GB41915",312,519,586,453,556,592,122,183,430,605,634,522,0.588054948916248,5.89809178082173,4.72419389576259,0.000378533933644268,0.257454113260875,0.229461531477795
"15","GB42195",219,351,453,356,486,361,121,172,420,458,424,357,0.404592063651781,5.53461761946909,3.86335612178475,0.00189622922917689,0.257454113260875,-1.10567095381113
"16","GB42489",212,273,370,358,391,353,207,232,626,865,594,748,-0.465933558795433,5.80199834046869,-3.85733170891798,0.00191821448502434,0.257454113260875,-1.11855743423353
"17","GB42540",938,1079,1353,1077,1521,1682,362,487,1511,1217,1118,1408,0.585525019806069,7.239458745217,3.6389450197219,0.00291821452413773,0.257454113260875,-1.51558680587406
"18","GB42553",79,34,66,36,74,45,9,26,26,30,33,20,1.37158922012044,2.31510733035746,4.25959195006618,0.000894555663528978,0.257454113260875,-0.833023273371943
"19","GB42692",44,92,67,117,179,93,106,105,193,435,225,222,-0.924984738733786,4.22983483279757,-3.85381238926556,0.00193117797294389,0.257454113260875,-1.13855746530265
"20","GB42708",45,118,126,93,113,109,67,101,206,236,173,207,-0.509700384793444,4.10925251252955,-3.60974036549159,0.00308732065848081,0.257454113260875,-1.53011539196401
