"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VC.1","VC.2","VC.3","VC.4","VC.5","VC.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB41643",54,40,283,178,99,340,387,523,646,318,454,941,-1.73509913328159,5.17512722376101,-4.15377077383611,0.00104643869840821,0.835823832174971,-3.51608452615436
"2","GB42202",7,4,93,36,35,58,121,84,102,61,144,216,-1.69904080386011,2.92034544490357,-3.9921422455089,0.0014266351756297,0.835823832174971,-3.90872026251115
"3","GB44109",139,86,233,230,310,347,348,311,233,292,546,433,-0.474753394206706,5.24710615911492,-3.96972229244614,0.00148956967679783,0.835823832174971,-3.49340958166237
"4","GB45512",29,40,158,96,104,161,205,171,174,127,473,470,-1.17809287149746,4.31728913246041,-3.98303907792532,0.00145185409434034,0.835823832174971,-3.57913210136815
"5","GB46224",342,207,1000,439,579,696,137,287,210,165,642,312,1.25394869581398,5.64914959620528,4.02599676028923,0.00133671137625956,0.835823832174971,-3.50780221283949
"6","GB46596",13,10,38,37,41,65,90,85,61,49,182,162,-1.36502762466223,2.8938795100054,-5.33019819211945,0.000119648141121811,0.835823832174971,-3.67258076347295
"7","GB46918",55,26,144,129,168,142,246,171,199,192,332,295,-0.948156999169913,4.39798747068601,-4.79568200872125,0.000313842716352752,0.835823832174971,-3.32870689833943
"8","GB47379",54,63,313,114,185,280,466,368,388,210,729,652,-1.35773240457083,5.12137414687083,-4.09804965475731,0.00116413156474692,0.835823832174971,-3.50060667070157
"9","GB48038",188,128,230,181,344,257,187,124,33,86,268,107,1.15551034639599,4.45928195339662,4.27876348883689,0.000824804033194261,0.835823832174971,-3.44114511866471
"10","GB48842",48,23,435,209,360,286,1197,431,402,640,1295,1085,-1.89646729039362,5.58300924917319,-4.47373316690951,0.000570847278314345,0.835823832174971,-3.47432961024995
"11","GB49478",32,24,206,157,172,267,444,309,443,273,877,671,-1.74109478034781,4.96469301263647,-5.05868156719551,0.000194361215147579,0.835823832174971,-3.30538156206961
"12","GB51189",81,68,298,263,226,377,439,322,313,312,673,630,-0.893954631168542,5.31768045332705,-4.13720607002012,0.00108009323607377,0.835823832174971,-3.46561332781096
"13","GB51369",326,122,617,550,499,727,939,690,790,708,1255,1372,-0.895164524268246,6.46520069552235,-4.04013262311429,0.00130089988228785,0.835823832174971,-3.63452324838713
"14","GB52710",9,14,40,61,78,71,135,64,65,81,143,133,-1.06244022075708,3.07279657127918,-4.0222827426132,0.00134628665000715,0.835823832174971,-3.83473413574972
"15","GB52721",27,15,95,39,69,79,94,313,122,99,250,280,-1.56475011110038,3.65888362004015,-4.11784160546897,0.00112084710147504,0.835823832174971,-3.70346400427407
"16","GB52927",5,3,58,28,19,48,73,47,68,48,119,131,-1.64015642738421,2.38268987108805,-4.08003243377341,0.0012050237118654,0.835823832174971,-3.99867729253051
"17","GB55995",11,9,117,46,77,68,136,92,112,86,285,273,-1.50199706044625,3.41802309465249,-4.08599457911652,0.00119133150302347,0.835823832174971,-3.76559691965095
"18","GB50196",301,255,3025,1850,1036,3177,3271,4060,3649,3108,5530,9399,-1.88005979405967,8.28007682625612,-3.91093128541536,0.00166842117325086,0.884170531757777,-3.91501691611292
"19","GB44163",56,57,181,167,277,260,249,238,398,319,517,650,-1.0872746324936,5.01736073313145,-3.86831062539228,0.00181166454300839,0.909550951355632,-3.55311373646607
"20","GB40076",42,33,201,160,201,183,207,166,141,184,571,341,-0.72091803502377,4.52360949702463,-2.9395982490372,0.0111043224302582,0.957900037719049,-3.89024178874697
"21","GB40139",37,128,240,101,181,202,336,242,264,230,433,498,-1.0737393292751,4.85319399001976,-3.22652986242199,0.00633456259580863,0.957900037719049,-3.77482702938006
"22","GB40299",100,91,1412,840,802,878,2709,618,1615,1276,4338,2998,-1.86393898221912,7.03233330305078,-3.3555084830847,0.0049205089789219,0.957900037719049,-3.90959048695738
"23","GB40534",55,43,76,107,149,145,130,232,91,155,296,145,-0.58921581422229,4.08864230516648,-2.82468163812191,0.0138906237419545,0.957900037719049,-3.96738142704665
"24","GB40635",280,86,323,289,465,472,649,1976,512,387,1582,476,-1.14952218794045,6.04780823207652,-3.11384752647152,0.00789862248561805,0.957900037719049,-3.87751338356548
"25","GB41182",43,38,321,177,231,271,420,267,333,237,580,705,-1.15788784398636,5.03964655389282,-3.47353123907145,0.0039058802806797,0.957900037719049,-3.69485961323573
"26","GB41297",39,63,393,193,156,332,380,389,479,246,826,874,-1.38720810707967,5.24975136850615,-3.42937659665091,0.00425816593522273,0.957900037719049,-3.72431522401441
"27","GB41428",6510,3887,44166,17605,28973,33129,64180,144379,41127,36188,70449,29464,-1.54374472319927,12.0689105764012,-3.13459130183524,0.00758428133064735,0.957900037719049,-4.30359653575973
"28","GB41507",22,14,31,43,69,42,60,41,39,42,200,124,-0.806358176799893,2.77021563942522,-2.84835765181683,0.0132653655484476,0.957900037719049,-4.15491583032537
"29","GB41610",15,26,53,48,80,45,75,68,76,54,122,145,-0.785183820819216,3.05628281879116,-2.91526293606906,0.0116442085981597,0.957900037719049,-4.09525624374905
"30","GB41754",450,228,414,905,731,585,356,272,156,623,723,605,0.667066409328118,6.0075086057525,2.87624115820345,0.0125643823029795,0.957900037719049,-3.93673918669328
"31","GB41758",4,10,79,36,19,70,90,78,109,54,121,163,-1.58669424659261,2.78624702508996,-3.42155707015751,0.00432381051906085,0.957900037719049,-4.04361147636453
"32","GB42381",165,100,380,362,391,464,542,363,241,367,896,540,-0.407791400450924,5.65087307770465,-2.84174269977321,0.0134372226984111,0.957900037719049,-3.92883770411946
"33","GB42596",28,17,259,126,110,235,214,255,294,266,425,303,-1.28581666924997,4.49521695650923,-3.34776149117212,0.00499571335948654,0.957900037719049,-3.77681075884731
"34","GB43076",27,15,70,66,64,77,89,75,80,73,158,130,-0.695865813327139,3.26137164006124,-3.73878987214595,0.00232876034962797,0.957900037719049,-3.83922513146496
"35","GB43087",20,11,204,108,120,185,170,171,308,155,483,634,-1.4674470428048,4.30907407989027,-3.16937894833422,0.00708484485664812,0.957900037719049,-3.87432009847534
"36","GB43265",144,78,176,221,328,279,179,160,92,157,270,263,0.375165849875706,4.6921961753061,3.07259033455459,0.00856283561923506,0.957900037719049,-3.80810045641268
"37","GB43358",377,146,265,347,616,546,283,226,73,241,433,495,0.776139208996554,5.39491486984747,3.11791702351119,0.00783594962160421,0.957900037719049,-3.7977683405721
"38","GB43718",98,62,1759,1139,676,1412,2097,1475,1582,1383,5924,4364,-2.12684242570738,7.24718618358058,-3.26550354158041,0.00586897254126073,0.957900037719049,-3.95861213027178
"39","GB43847",39,15,35,82,65,41,21,29,18,39,21,32,1.02640725685382,2.23191222939797,3.20562642321331,0.0065993105993323,0.957900037719049,-4.15149588099273
"40","GB43991",10,8,29,29,23,30,30,31,29,43,92,70,-0.898033146571028,2.08038271776317,-3.74616909788837,0.00229561646956694,0.957900037719049,-4.08539154040475
"41","GB44219",9,11,257,74,52,130,229,174,194,98,407,477,-1.7565911620958,3.92966887286276,-3.40162189227637,0.00449581066190442,0.957900037719049,-3.86833887578091
"42","GB44420",191,114,389,609,522,553,402,170,126,327,372,402,0.589057301005615,5.44562630299388,2.96877283685415,0.0104895595529859,0.957900037719049,-3.8577386048831
"43","GB44505",14,9,222,111,72,127,224,177,172,98,273,325,-1.32460998647253,3.91542148995071,-2.98861686801284,0.010090751435906,0.957900037719049,-3.97155043732065
"44","GB44551",9,13,28,27,76,27,44,48,50,51,72,97,-0.888867009804328,2.43275611902859,-2.86026699725038,0.0129613858523499,0.957900037719049,-4.2014800465846
"45","GB44657",24,9,17,30,70,45,45,42,41,70,123,74,-0.830717674405856,2.54158160489744,-3.15314694096283,0.00731366838727387,0.957900037719049,-4.12018705178899
"46","GB44739",8,2,18,12,11,14,27,11,11,15,43,36,-0.866722039595645,1.03244623962137,-2.92508072083623,0.0114233518352052,0.957900037719049,-4.33444072609487
"47","GB45120",35,18,36,51,56,41,29,29,13,27,49,48,0.555990752543449,2.27426751530115,2.81622195114834,0.0141209748988909,0.957900037719049,-4.22359850989211
"48","GB45157",74,36,97,157,202,149,174,270,173,193,280,281,-0.76554377835698,4.44678102640613,-3.76901045629073,0.00219603131222796,0.957900037719049,-3.5991491470269
"49","GB45172",304,211,347,418,425,562,336,310,154,353,423,419,0.504283294744202,5.59765333718922,3.20034735299529,0.0066679014588339,0.957900037719049,-3.77713650222329
"50","GB45335",410,809,286,970,751,716,239,284,157,439,224,720,1.375266256518,5.93614478001625,3.18237363779863,0.00690681377120223,0.957900037719049,-3.82429845696562
