"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB46583",79,190,178,62,188,80,168,233,371,366,133,361,-1.4611185988405,4.91211880677082,-6.22603132147899,2.3148757325923e-05,0.218454822884735,2.46591370886536
"2","GB49705",378,339,447,398,280,226,737,878,1206,1313,473,848,-1.706101584209,6.56122478556067,-5.57395610923958,7.11031045608691e-05,0.335499998870461,1.46518943296364
"3","GB40140",503,784,791,565,1367,629,424,1465,1155,1710,624,1404,-0.819929895726266,7.23575574707569,-4.08195784859041,0.00114265655437933,0.388969112216833,-0.781646825396022
"4","GB40794",90,156,250,130,151,172,172,258,218,367,164,369,-1.07524589849622,5.07797296985005,-4.48974691151538,0.00052125516083983,0.388969112216833,-0.0220347796793021
"5","GB41767",68,69,71,74,88,50,34,196,182,234,64,232,-1.36682205665308,4.04607710439105,-4.58876553176593,0.000431932138441328,0.388969112216833,0.0563127499186775
"6","GB41898",14,29,56,13,18,20,34,54,55,80,26,83,-1.53934280516353,2.5702530393806,-4.67626547936218,0.000366168667963438,0.388969112216833,-0.19831407417047
"7","GB41945",355,368,486,231,405,460,84,216,182,53,113,106,1.4271433689672,5.17593842549614,4.68892164115158,0.00035755062486222,0.388969112216833,0.262297832171312
"8","GB42220",199,424,411,348,443,294,284,566,560,477,299,532,-0.726552386474062,6.0793676638458,-4.14885374018719,0.00100351888005569,0.388969112216833,-0.592431629848071
"9","GB42317",19,53,39,17,75,39,38,67,86,83,25,68,-0.976794571993888,2.9817654050726,-4.18411747168706,0.000937280075545723,0.388969112216833,-0.737918763883134
"10","GB42984",8,24,95,60,14,20,590,37,347,399,117,727,-3.67047768071774,3.84679377128409,-3.98024332197873,0.00139305716711318,0.388969112216833,-1.01097764833364
"11","GB43227",13,9,27,2,19,24,24,45,29,50,26,43,-1.71587578754059,1.89059268116925,-4.10601450926275,0.00109047966848081,0.388969112216833,-1.14721333842222
"12","GB43293",38,131,195,79,112,149,206,209,195,472,233,596,-1.83072933307826,4.92481060476071,-4.95787383817238,0.000216532670169266,0.388969112216833,0.675636760975155
"13","GB43871",230,277,395,288,303,447,109,156,231,112,129,122,0.89343613729601,5.1958167417573,3.92804405979793,0.00154264974553036,0.388969112216833,-0.943822008036586
"14","GB44093",57,110,111,70,105,119,22,37,86,20,29,46,1.01683168184212,3.33142817159068,3.9202787348577,0.00156626324724379,0.388969112216833,-1.07518197331816
"15","GB44523",105,92,185,96,179,127,93,167,229,256,85,252,-0.766778929328558,4.65726250423067,-3.96302506359636,0.00144069231841595,0.388969112216833,-0.885631962241598
"16","GB45318",271,414,645,367,986,585,133,341,333,170,203,213,0.806107163441853,5.858405929152,4.00252915190507,0.00133377847092452,0.388969112216833,-0.830676154208708
"17","GB45551",20,31,36,19,51,39,17,66,72,146,37,92,-1.30895066761166,2.9138704874426,-4.27099553438879,0.000792540095452547,0.388969112216833,-0.634714365782004
