"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40450",6,31,29,43,10,21,2,15,16,8,3,7,1.40760531137774,1.06589913067305,3.78273880422705,0.00203964320038769,0.31630904603336,-1.5909990957532
"2","GB40451",533,1140,705,1150,252,643,88,414,562,320,331,423,1.00721063300901,6.31031332189662,4.5215811042371,0.000486510800498596,0.31630904603336,0.0565026092132932
"3","GB40629",40,154,140,217,39,76,10,49,54,73,6,29,1.68104148632162,3.12425561106545,4.17098162881293,0.000954636610451702,0.31630904603336,-0.638435943450917
"4","GB40676",36,166,80,147,26,74,20,55,59,51,19,41,0.965314239166678,3.191015171267,3.71329930815359,0.00233880900071866,0.31630904603336,-1.33418546168139
"5","GB41751",85,204,94,202,37,104,10,62,82,100,26,50,1.14702275072781,3.57185748023109,4.13507692330421,0.00102355408219565,0.31630904603336,-0.626818302580998
"6","GB41891",17,96,64,70,10,26,1,13,14,24,7,13,1.8840363208856,1.69281248328929,4.26333434945604,0.000798376898061556,0.31630904603336,-0.828785921820147
"7","GB42138",26,125,80,134,24,55,6,48,39,55,13,17,1.33790098560986,2.72003024781745,3.78895661202919,0.00201482566232319,0.31630904603336,-1.27148453289933
"8","GB42200",28,105,60,76,22,42,9,26,26,22,18,42,1.12171618529628,2.52438537134733,4.57807782679316,0.000436964251799656,0.31630904603336,-0.148538834978925
"9","GB42262",9,44,34,40,9,16,3,12,11,7,8,18,1.21754543859775,1.29080093562058,3.73236644798569,0.00225248472708547,0.31630904603336,-1.60552026860123
"10","GB42472",14,32,22,46,9,14,4,7,23,8,9,12,1.0492223031975,1.28954954479642,3.73421221171652,0.00224430158628907,0.31630904603336,-1.60185058851774
"11","GB42607",265,699,192,458,305,188,281,1418,1325,938,587,695,-1.30530228341667,6.42386597028967,-4.29097782144911,0.000756902483974512,0.31630904603336,-0.326484129038033
"12","GB42878",144,250,152,362,61,121,44,115,167,99,61,118,0.713844850551396,4.39962321289144,3.83680804169305,0.00183381077914657,0.31630904603336,-1.07765743059238
"13","GB43054",201,303,241,388,93,303,56,144,121,183,72,236,0.900294589435748,4.88017660442372,3.88469707690462,0.00166917821198004,0.31630904603336,-0.99304762040502
"14","GB43110",16,74,45,52,13,32,7,25,26,21,8,8,1.22088085700677,1.9181632718682,3.74751226500563,0.00218622037307627,0.31630904603336,-1.45875172182838
"15","GB43407",20,33,29,45,10,15,3,14,8,18,3,16,1.3353640717528,1.31843900862313,3.95102216959652,0.00146567154183538,0.31630904603336,-1.31602109397585
"16","GB43611",7,35,22,45,8,15,1,5,7,7,4,10,1.7967834161341,0.780419721522533,5.2539521790248,0.000124564389145963,0.31630904603336,-0.0146071218308732
"17","GB43808",150,287,167,271,93,147,106,259,374,275,230,312,-0.53734834909104,5.1681141254721,-4.16031946594832,0.000974591357191168,0.31630904603336,-0.518019830684151
"18","GB44006",45,75,44,239,24,92,17,19,28,15,29,30,1.63774885336388,2.76114435236137,4.34919429810739,0.00067663740482052,0.31630904603336,-0.430276282931072
"19","GB44090",91,140,129,141,27,118,22,43,31,78,35,61,1.21505166715588,3.4689440717546,4.12916475826699,0.00103538136875747,0.31630904603336,-0.645805474969605
"20","GB44886",259,442,391,531,203,360,154,249,332,290,167,217,0.585676367707548,5.61934885824737,3.90769944302287,0.00159552752771182,0.31630904603336,-0.953219513541749
"21","GB44982",255,787,560,331,178,343,50,238,259,221,189,118,1.13550428740117,5.39116499440934,4.1398146827659,0.00101417603449465,0.31630904603336,-0.556081491489797
