"","ID","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","VR.1","VR.2","VR.3","VR.4","VR.5","VR.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40098",239,245,316,173,232,158,191,223,171,171,81,100,0.613411524201081,4.57253158804887,3.73155874037461,0.0023663917362235,0.864805081230207,-3.86165380427048
"2","GB40381",30,47,53,43,81,41,30,29,32,40,22,13,0.858145105043265,2.22620894604858,3.31423418541014,0.00534266774841147,0.864805081230207,-4.29156961961609
"3","GB40495",83,102,128,111,102,62,68,102,78,73,29,43,0.669227305110966,3.33298021534967,4.08025721575318,0.00120743126123058,0.864805081230207,-4.03352782630179
"4","GB41212",74,46,40,44,57,44,107,316,140,97,168,74,-1.35356859635545,3.43252635495789,-3.59810624513719,0.00306799671648995,0.864805081230207,-4.10968639327406
"5","GB41407",18,20,20,28,17,10,43,97,28,38,15,28,-0.93405275889957,1.75829017127446,-3.09424027260268,0.00821796204156779,0.864805081230207,-4.35731229766911
"6","GB41491",154,178,197,159,237,110,158,183,145,141,71,63,0.525859685653604,4.21362612009801,3.22961868107065,0.00630516280839322,0.864805081230207,-4.03626146440106
"7","GB41650",204,381,298,265,209,185,316,535,472,561,157,168,-0.389075318920622,5.2282550654127,-2.92385088640263,0.0114632488281382,0.864805081230207,-4.03169983824526
"8","GB41768",30,50,41,35,41,18,31,31,27,24,9,14,0.731772711946896,1.83651363490694,3.448859315383,0.00410567784546759,0.864805081230207,-4.31117550520544
"9","GB42054",821,4862,1500,1391,724,1272,2849,7176,2490,3901,1645,1454,-1.00408388934064,8.02576249985344,-2.82539521771227,0.0138851761263258,0.864805081230207,-4.2328914350551
"10","GB42311",14,101,100,51,146,33,460,954,207,225,122,58,-2.01540057435295,3.92264377122134,-3.64818521965286,0.00278285179120274,0.864805081230207,-4.05334235735925
"11","GB42488",314,231,306,225,297,201,253,192,230,225,99,130,0.559903158203287,4.82399872122692,2.95009501682161,0.010891255776676,0.864805081230207,-4.04373176820681
"12","GB42550",120,221,133,150,137,77,145,328,306,269,126,179,-0.610687992976256,4.46754340188667,-2.93244388200807,0.0112727737088455,0.864805081230207,-4.09160527369441
