"","ID","NC.1","NC.2","NC.3","NC.4","NC.5","NC.6","VS.1","VS.2","VS.3","VS.4","VS.5","VS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40566",200,272,257,281,249,281,113,76,103,127,116,114,0.910826525241675,4.45673685533305,6.44100042688629,2.19065161840398e-05,0.213917130537149,-3.08949023975173
"2","GB41306",2510,5721,3834,2164,2595,3920,1020,922,1411,1990,1060,1690,0.951643889521953,8.0918459608673,4.96731827175398,0.000256929540805537,0.889206191020675,-3.70761942289864
"3","GB47217",203,414,229,304,226,247,100,112,92,127,136,131,0.859753760431831,4.53137131760789,4.93274724893655,0.000273181625505584,0.889206191020675,-3.32973620292649
"4","GB40142",7,12,4,6,8,12,12,3,26,43,15,11,-1.24733175317821,0.522921814491328,-3.10868017058877,0.00830131600842839,0.999935665555608,-4.38704372288294
"5","GB40167",8,36,28,19,9,35,1,1,8,12,16,8,1.45032137990838,0.487429430699822,2.73541176754827,0.0169970492822325,0.999935665555608,-4.41930482622451
"6","GB40624",206,388,609,401,227,445,120,135,189,290,118,187,0.76258815012117,5.00227386810247,2.70839633894137,0.0178966225214633,0.999935665555608,-3.96714022073658
"7","GB40917",45,46,40,35,21,34,18,11,23,24,23,15,0.580372916666185,1.79210307282797,2.6193508044312,0.0212032257869514,0.999935665555608,-4.35394266869495
"8","GB41240",431,497,629,628,522,884,141,184,375,458,266,384,0.716404341187563,5.73806818469557,3.04195076875556,0.00943921916636055,0.999935665555608,-3.84181790577126
"9","GB41241",235,328,258,226,222,497,123,117,149,226,144,207,0.495796835733857,4.79998991432718,3.04466255370114,0.0093900843135154,0.999935665555608,-3.83481816734425
"10","GB41266",209,252,153,207,219,225,176,140,312,308,210,203,-0.411669981976364,4.81743485037278,-2.70926534946158,0.0178669740576808,0.999935665555608,-3.95136705858322
"11","GB41308",12256,19578,17383,12024,13477,19127,8417,4538,8765,10785,7493,10158,0.55951457886184,10.525434335813,3.29621458604542,0.00578531260051572,0.999935665555608,-4.23708893888992
"12","GB41352",23,28,26,22,20,32,14,5,9,14,18,19,0.626661969924667,1.24401223753542,2.92676414391582,0.0117797039675155,0.999935665555608,-4.355048173533
"13","GB41495",1106,2811,2459,1537,1901,2770,649,440,1144,1641,927,1374,0.736852386408133,7.50170518802062,3.31071203429486,0.00562613655857319,0.999935665555608,-3.95764351813415
"14","GB41710",191,370,75,222,97,268,86,32,22,83,109,89,1.17804538855442,3.78672161222459,2.95364686912731,0.0111866349669604,0.999935665555608,-4.04310066922254
"15","GB41792",74,128,123,97,104,176,46,32,58,62,68,68,0.701044478319032,3.38065931865513,3.95171759299955,0.00165423138639672,0.999935665555608,-3.8623208085228
"16","GB41902",251,332,191,244,249,279,188,153,274,314,284,273,-0.282143881251556,5.03705755950752,-2.75761084621113,0.0162911162985261,0.999935665555608,-3.91995868052148
"17","GB42215",91,133,95,74,62,90,59,35,38,80,34,52,0.553375188529435,3.11053828962478,2.69789819247779,0.01825861411387,0.999935665555608,-4.20070363810256
"18","GB42643",14,12,3,3,7,9,19,14,16,14,11,20,-1.40793870547469,0.518419611369719,-3.80356360847402,0.00219009865956425,0.999935665555608,-4.32547755021485
"19","GB42652",149,348,214,168,230,284,73,63,147,188,152,165,0.484659784513054,4.45073854659032,2.81320988122265,0.0146468591533983,0.999935665555608,-3.96280782273273
"20","GB42653",476,612,480,310,390,601,305,192,268,251,323,263,0.455661914206441,5.53936293484582,2.77471995523149,0.0157667320418977,0.999935665555608,-3.92969844604803
"21","GB42684",20,33,25,42,37,30,30,25,31,46,37,39,-0.532399224345049,2.11166768860627,-2.62426661187037,0.0210061062647138,0.999935665555608,-4.3228724301879
"22","GB42797",210,222,427,273,157,431,45,86,199,154,125,110,0.941783045520983,4.50327626696439,2.86618564777988,0.0132324974152366,0.999935665555608,-3.9562610671481
"23","GB42875",643,933,599,631,586,876,379,269,412,736,563,491,0.265111120554968,6.22126348954188,2.76638964538063,0.0160199495833777,0.999935665555608,-3.97871645384573
"24","GB42907",77,117,180,165,79,124,56,45,75,33,62,25,1.02384744261359,3.29879531176104,2.81110892198776,0.0147059172185562,0.999935665555608,-4.15155083510026
"25","GB43173",73,144,117,92,71,141,45,47,50,79,65,56,0.527268203744379,3.33434754781359,3.06696648466374,0.00899549507289342,0.999935665555608,-4.07315578873808
"26","GB43246",386,312,481,435,267,646,153,135,178,193,247,240,0.767614455880013,5.18867076132217,3.55769170356658,0.00350119993297971,0.999935665555608,-3.63725426939523
"27","GB43465",112,179,129,104,86,182,67,54,89,83,67,84,0.473395051178536,3.68209853836057,2.86262338888036,0.0133232293945497,0.999935665555608,-4.06676301735242
"28","GB43516",93,97,23,133,111,81,84,41,175,331,294,118,-1.24990977607651,3.80307614509541,-2.99241361743192,0.0103831177697727,0.999935665555608,-4.00875766757063
"29","GB43693",32,46,46,25,13,43,7,8,20,22,12,18,0.848431984838614,1.47423398147121,2.67924310014256,0.0189195936727049,0.999935665555608,-4.37120479236521
"30","GB43729",26,16,22,20,19,25,25,13,32,32,40,24,-0.703797124682941,1.66907945517591,-3.06765690976475,0.00898354747860403,0.999935665555608,-4.29532250393063
"31","GB44096",53,70,37,48,39,41,45,36,49,58,57,56,-0.425555589188616,2.68953145936036,-2.68071543497409,0.018866588573338,0.999935665555608,-4.25328450947935
"32","GB44214",398,558,634,517,616,761,346,182,277,401,333,395,0.507789507397602,5.80627809842705,3.22824148827262,0.00659411074522868,0.999935665555608,-3.77027972554234
"33","GB44222",759,1111,1033,687,802,1338,432,287,574,583,575,669,0.519097921802521,6.50146938660719,3.72526393483999,0.0025419447744214,0.999935665555608,-3.69629827034334
"34","GB44404",168,197,109,108,155,156,126,96,133,192,179,165,-0.350235984171378,4.26963567186948,-2.92363031940876,0.0118508340543045,0.999935665555608,-3.93361402229203
"35","GB44500",830,1211,1150,784,853,1443,604,392,584,756,562,768,0.396059514392909,6.69262534938812,2.77949561540843,0.0156233411101917,0.999935665555608,-4.02576730345673
"36","GB44526",4535,4657,5489,3843,4760,7895,2324,1964,2311,3654,2686,3530,0.551208267217692,8.92995435016228,3.1149498826367,0.00820170077943892,0.999935665555608,-4.14554317902965
"37","GB45008",258,372,264,273,250,318,226,162,311,384,295,303,-0.283391585752019,5.20786755005164,-3.15892666590627,0.00753573282853104,0.999935665555608,-3.75206933600512
"38","GB45255",10,17,18,11,15,10,14,6,17,21,22,20,-0.63095976269438,0.965608415804574,-2.66424777255772,0.0194677773679911,0.999935665555608,-4.40430988845826
"39","GB45318",378,780,516,477,377,756,286,233,308,377,296,302,0.446061229353576,5.71187683316112,2.97268439648512,0.0107846238699719,0.999935665555608,-3.859195021152
"40","GB45438",23,25,27,27,19,28,5,5,8,14,25,13,0.859002289580245,1.10187030672742,3.15125657428942,0.00764786735124714,0.999935665555608,-4.34072361857432
"41","GB45582",239,283,199,160,259,202,200,115,383,370,234,256,-0.507893168870149,4.93448391876426,-2.77443952796243,0.0157751919998764,0.999935665555608,-3.91766530825397
"42","GB45748",43,146,73,93,21,104,11,74,16,23,6,11,1.79730991043786,2.17553367272895,3.04899502473495,0.00931211165491631,0.999935665555608,-4.26064846916255
"43","GB46025",23,34,32,15,20,14,18,13,40,69,37,34,-0.905822279942293,1.80320695262562,-3.12268463408198,0.00808045042680808,0.999935665555608,-4.27402906280632
"44","GB46129",144,181,154,203,114,192,99,50,65,122,120,117,0.454165517676199,4.01034325768273,2.65745582777572,0.0197211370411186,0.999935665555608,-4.07975048808688
"45","GB46226",1577,2918,2673,1520,1399,2572,1012,903,1287,926,858,845,0.657780714302909,7.5291795735561,2.6858603248755,0.0186825044429842,0.999935665555608,-4.13565959792329
"46","GB46334",138,195,127,107,104,168,151,78,144,186,143,142,-0.353703378567282,4.18079602859433,-2.96980024496244,0.0108445945576774,0.999935665555608,-3.93269018552034
"47","GB46339",372,582,309,362,446,459,338,281,375,578,463,443,-0.328463161206918,5.7575116808198,-3.13468119489792,0.00789592188365817,0.999935665555608,-3.78751495141295
"48","GB46429",879,1161,895,794,633,1050,386,294,481,585,969,421,0.503811430783197,6.4426230906495,2.81710259374375,0.0145380505986984,0.999935665555608,-3.98671042815715
"49","GB46469",34,49,32,23,20,36,12,6,16,24,16,17,0.734772219070637,1.50517410183091,3.65265757513198,0.00291961206227497,0.999935665555608,-4.24313578095373
"50","GB46976",61,73,63,59,40,93,41,28,27,31,37,21,0.736820032162945,2.54640701666486,3.0815988255418,0.00874564035963729,0.999935665555608,-4.1950989604975
"51","GB47079",799,965,740,776,1059,1187,1228,1107,969,1102,959,1021,-0.630350716128865,7.02358399425716,-2.94532440112026,0.0113670090786271,0.999935665555608,-4.0059432415392
"52","GB47270",144,83,284,267,110,222,545,116,385,300,342,236,-1.19854755496348,4.87214651715187,-2.99593541812587,0.0103130224480557,0.999935665555608,-3.84842012999766
"53","GB47541",208,72,113,182,204,184,185,261,311,146,567,567,-1.39332387464975,4.81575721978389,-3.21259919287475,0.00679574874518982,0.999935665555608,-3.78092179255437
"54","GB47545",115,428,72,68,77,214,37,29,39,46,56,51,1.28794540882659,3.28147321243626,3.33882456843867,0.00532991223884647,0.999935665555608,-4.03145517346306
"55","GB47551",904,1703,1480,853,1280,1673,636,340,825,1085,700,959,0.477050881001884,6.97795813912425,2.77357930338823,0.0158011711391907,0.999935665555608,-4.05831607130151
"56","GB47566",429,685,462,380,337,620,287,177,209,388,382,307,0.377309452732912,5.59057062477058,2.83015591223549,0.0141789579795947,0.999935665555608,-3.90753728098654
"57","GB47928",112,28,31,72,77,130,144,32,156,179,212,160,-1.45553680331251,3.59696578536575,-3.47420503293875,0.00410900947836121,0.999935665555608,-3.92168930072046
"58","GB47948",647,1486,1324,862,787,1499,399,373,514,960,627,679,0.529031727518784,6.66647827672048,2.94498427602017,0.0113744415996737,0.999935665555608,-3.96787331046834
"59","GB48110",112,35,26,33,19,41,43,59,100,99,70,45,-1.16232607032577,2.72613008988706,-3.15027972571197,0.00766226779577125,0.999935665555608,-4.15358422262385
"60","GB48152",195,298,177,199,210,270,198,126,238,256,256,245,-0.316961377210423,4.85196122155562,-3.34109421939391,0.00530669261344863,0.999935665555608,-3.696801451277
"61","GB48161",534,865,758,569,346,812,232,319,377,425,238,334,0.615296398224224,5.86862850355721,2.61762050546817,0.021273036178615,0.999935665555608,-4.01445869180564
"62","GB48167",1165,2436,2153,1556,1675,2329,728,467,930,1820,1093,1197,0.593151434973562,7.451916690798,3.3928827520375,0.00480368578137856,0.999935665555608,-3.93002563356564
"63","GB48301",370,930,670,571,433,802,279,178,307,653,370,378,0.470966392656062,5.89119907850978,2.69636446539251,0.0183120946683186,0.999935665555608,-3.98147089886973
"64","GB48746",31,39,27,32,21,38,16,10,9,19,10,17,0.871519738999368,1.44102325975083,3.95006508937031,0.00165940044314499,0.999935665555608,-4.21964143453918
"65","GB48851",527,603,359,419,433,606,574,311,505,599,590,448,-0.404916265731576,6.01523785150757,-3.06824680133804,0.00897335210433692,0.999935665555608,-3.83772809462498
"66","GB48967",497,644,670,597,463,1012,321,247,362,480,352,451,0.430169129468469,5.97797153265035,2.81477510180445,0.014603012389124,0.999935665555608,-3.94070352258853
"67","GB49123",695,986,696,621,645,1036,379,268,478,785,594,542,0.30748337200572,6.3284864104009,2.92054203535513,0.0119213460374555,0.999935665555608,-3.9335746785312
"68","GB49287",67,90,120,141,82,231,22,34,29,118,39,58,0.98691643299547,3.20200890742054,2.71601714321253,0.0176382498823207,0.999935665555608,-4.18990375835044
"69","GB49730",29,99,84,76,50,70,6,20,22,60,28,35,1.0273042689198,2.37078674027332,2.66598108523925,0.0194036295387736,0.999935665555608,-4.29847413713056
"70","GB49764",116,197,111,114,104,145,55,73,71,91,61,58,0.612126644536276,3.62729747259273,3.55738408710024,0.00350326349357225,0.999935665555608,-3.88914097815399
"71","GB49775",6854,7121,6116,5132,6218,8361,4341,2602,3732,4209,3709,3742,0.456987250625142,9.34677069314767,2.75396233608669,0.0164051336188399,0.999935665555608,-4.25149934792669
"72","GB49862",17,27,16,14,24,27,10,7,8,6,22,5,0.869253962167971,0.85585671704644,2.64279090186924,0.0202791871556979,0.999935665555608,-4.41450973042218
"73","GB50234",25,55,41,43,47,62,19,12,25,36,28,27,0.525287815102103,2.10408499790869,2.71869448189725,0.0175483471594405,0.999935665555608,-4.31007030343447
"74","GB50763",203,428,286,246,260,416,95,109,169,247,177,266,0.462506467455696,4.87569089193876,2.62517489959845,0.0209698802714957,0.999935665555608,-3.99648128236506
"75","GB50974",1679,2516,2429,1669,1971,2424,1007,614,1038,1822,1463,1345,0.507575525718297,7.68124717754401,3.84755497351295,0.00201464170343707,0.999935665555608,-3.84888201697793
"76","GB50984",249,345,216,251,240,278,121,123,161,212,187,177,0.348703130004642,4.76205094510572,3.40448243156446,0.00469777516842808,0.999935665555608,-3.69731184857363
"77","GB51059",8691,13079,11308,8335,10509,15503,5182,3802,6146,9381,6763,7192,0.465998982407509,10.0918535089762,3.11323733193181,0.0082287913478557,0.999935665555608,-4.235865522017
"78","GB51214",24059,32465,34615,22934,22373,39083,17758,10359,16066,16842,13480,15036,0.577803595787604,11.407759809087,2.76649269630114,0.0160167928944019,0.999935665555608,-4.35965974871804
"79","GB51482",902,2074,1412,1129,1146,1699,567,353,791,1286,610,909,0.590476975434441,7.00108746233877,3.37271294004482,0.00499361211572137,0.999935665555608,-3.87740478733418
"80","GB51511",248,521,496,288,257,575,169,142,149,379,173,223,0.587621438037906,5.15887014543653,2.7327690260993,0.0170830587767577,0.999935665555608,-3.94622039659293
"81","GB51567",6,12,8,14,20,14,10,6,18,36,17,19,-0.824013895735303,0.869565912874291,-2.62361801456269,0.0210320120438615,0.999935665555608,-4.4150957308811
"82","GB51787",11963,16273,16942,10573,13749,22392,8929,5560,7090,7527,8043,9964,0.56032349384852,10.4720757940515,2.69523608940354,0.0183515384292539,0.999935665555608,-4.32765723826833
"83","GB52142",18,32,20,32,22,37,9,8,14,19,14,16,0.62630774777662,1.31136328129295,3.07921522900643,0.00878586499732747,0.999935665555608,-4.33045664947426
"84","GB52429",841,1280,797,1175,642,1566,370,303,490,1143,351,433,0.757763335779496,6.49457430136565,3.20869067957451,0.00684708908814788,0.999935665555608,-3.86262599542113
"85","GB52528",82,235,238,102,63,185,30,45,90,28,20,21,1.71562516017626,3.16042280252569,3.74159457052072,0.00246408616843798,0.999935665555608,-3.98218694770569
"86","GB52656",773,1518,1013,868,1107,1154,267,336,506,691,667,582,0.762638495336257,6.55539519826611,4.48026085366857,0.000618329207362926,0.999935665555608,-3.51112330368267
"87","GB53023",375,367,286,290,372,405,279,175,403,497,391,444,-0.357694534399232,5.5210354355133,-2.8199713903042,0.0144583716348967,0.999935665555608,-3.89833026037363
"88","GB53064",1374,3129,2565,1649,1616,2937,1259,625,1216,1722,1145,1342,0.481101063441377,7.69915436104189,2.75426234773798,0.0163957287030527,0.999935665555608,-4.13003212192398
"89","GB54242",30,46,24,32,40,44,36,16,36,63,46,52,-0.516889786867244,2.30095728346221,-2.97646436551994,0.0107065238722106,0.999935665555608,-4.24002397164277
"90","GB54363",125,282,144,162,223,171,148,93,222,342,185,233,-0.466585421449213,4.60527127491355,-2.67350790279966,0.0191274536033978,0.999935665555608,-3.9845317129409
