"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB42244",92,77,184,159,134,267,355,485,795,1181,805,889,-1.94614601234955,5.32436360551473,-10.2639431809168,9.76851168497684e-08,0.000936897955706129,6.74794719416423
"2","GB42621",482,389,2183,2016,1458,3763,2815,10095,18861,29140,13014,8836,-2.73326395110718,8.9137506804815,-6.89510563911141,9.13569131293631e-06,0.021905103845593,2.86063190285225
"3","GB45696",20,15,127,81,91,256,263,504,684,1026,362,622,-2.44663082399763,4.56793914327937,-7.14696422120305,6.21292592492745e-06,0.021905103845593,3.61944143332393
"4","GB55007",106,75,416,292,242,327,588,1010,1193,1122,731,1072,-1.76190043167931,5.80640384707825,-6.95597777385391,8.31645327339606e-06,0.021905103845593,3.50288972130829
"5","GB54097",559,329,3563,1158,1717,1847,6864,10047,8096,11208,6923,4481,-2.38118329339952,8.57033291653876,-6.33436695898775,2.22230503993787e-05,0.0355235460634068,2.32091593474179
"6","GB54356",30,5,61,33,44,83,93,153,132,264,308,146,-1.87323321768665,3.25361826410253,-6.34147630978835,2.19680930043922e-05,0.0355235460634068,2.45942981443629
"7","GB52428",1674,582,2740,1718,2561,3363,5235,6566,9258,7215,5029,7954,-1.4845461908581,8.81657436558407,-5.72200642712768,6.16412442405964e-05,0.0844573105016514,1.53894702681425
"8","GB40148",604,313,1758,797,904,971,3411,3643,3242,4327,3254,2258,-1.6677692873698,7.68588991658094,-5.52923478336807,8.59080934434268e-05,0.102993065526988,1.44130704902473
"9","GB45417",423,192,1074,826,915,1338,1241,1536,1525,3183,2018,1569,-1.01598041917763,7.11544640506385,-5.38398661080886,0.000110695290278275,0.117964281006549,1.30269526782755
"10","GB42632",48,20,61,96,93,120,27,25,52,57,51,55,0.984682040812854,2.73850172471406,5.29266955063652,0.000130013338268694,0.124695792733504,1.02356740417016
"11","GB42409",7,2,124,31,38,34,86,265,145,510,147,293,-2.70396494105524,3.08553347054348,-5.17821491782351,0.000159309093965188,0.138903047292738,0.838499837643324
"12","GB43882",77,56,198,123,200,239,201,370,451,676,388,281,-1.09075978291541,4.81596879373216,-4.99705053397688,0.00022053860722594,0.155925477395813,0.808692759389736
