"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","GB40010",1016,1179,1129,2279,7477,6617,3610,2936,3653,3518,4915,8976,-1.0499380874806,8.65115264418077,-2.51920855034454,0.025197954316341,0.999064149729163,-4.38871160031137
"2","GB40095",128,116,122,143,350,319,153,175,311,318,314,489,-0.660421467645575,4.80895025377672,-2.84374788239969,0.0134936551007157,0.999064149729163,-4.17408961353049
"3","GB40389",1978,2364,2805,2491,3446,6659,3520,5098,6899,7247,5119,4697,-0.903291336585541,8.99618833388703,-3.23204657477252,0.00633703617833694,0.999064149729163,-4.30665731970139
"4","GB40624",129,86,172,140,372,599,157,227,354,288,593,638,-0.781391915925625,5.04191987900626,-2.70884403803851,0.0175149561760618,0.999064149729163,-4.20621447497007
"5","GB40699",7,9,10,13,31,16,0,5,7,7,13,15,1.15133992843184,0.143446432721335,2.68078523551311,0.0184878438894214,0.999064149729163,-4.47770674977699
"6","GB40865",1532,1628,2037,2704,4217,4520,2417,2886,4939,4430,4939,3869,-0.675529464329582,8.62920182535671,-2.65268060839758,0.0195149894650424,0.999064149729163,-4.36818443369497
"7","GB41316",12,24,23,20,47,50,17,34,119,65,44,55,-0.844946050951745,2.18803200460207,-2.76856003471542,0.0156078038994851,0.999064149729163,-4.38019818510729
"8","GB41366",272,276,366,494,857,900,712,494,1014,728,831,928,-0.846733354068903,6.26024373240829,-2.60187744672979,0.0215141296265084,0.999064149729163,-4.26432741368246
"9","GB41630",394,307,345,631,983,828,805,460,1458,1040,1036,1132,-0.94668254794114,6.48932802656574,-2.58580065860938,0.0221871260954198,0.999064149729163,-4.27972429341641
"10","GB41703",500,509,553,713,1036,1513,506,705,2156,1270,1288,1614,-0.675625409950443,6.86407004293788,-2.67265079741024,0.0187795988625949,0.999064149729163,-4.28094142644775
"11","GB41719",109,152,197,187,242,367,164,289,604,273,366,270,-0.676056201086572,4.9611855022019,-2.60238908942748,0.0214930394814029,0.999064149729163,-4.23094055594215
